"Step","251221_A2C - global_step","251221_A2C - global_step__MIN","251221_A2C - global_step__MAX"
"0","500","500","500"
"1","1000","1000","1000"
"2","1500","1500","1500"
"3","2000","2000","2000"
"4","2500","2500","2500"
"5","3000","3000","3000"
"6","3500","3500","3500"
"7","4000","4000","4000"
"8","4500","4500","4500"
"9","5000","5000","5000"
"10","5500","5500","5500"
"11","6000","6000","6000"
"12","6500","6500","6500"
"13","7000","7000","7000"
"14","7500","7500","7500"
"15","8000","8000","8000"
"16","8500","8500","8500"
"17","9000","9000","9000"
"18","9500","9500","9500"
"19","10000","10000","10000"
"20","10500","10500","10500"
"21","11000","11000","11000"
"22","11500","11500","11500"
"23","12000","12000","12000"
"24","12500","12500","12500"
"25","13000","13000","13000"
"26","13500","13500","13500"
"27","14000","14000","14000"
"28","14500","14500","14500"
"29","15000","15000","15000"
"30","15500","15500","15500"
"31","16000","16000","16000"
"32","16500","16500","16500"
"33","17000","17000","17000"
"34","17500","17500","17500"
"35","18000","18000","18000"
"36","18500","18500","18500"
"37","19000","19000","19000"
"38","19500","19500","19500"
"39","20000","20000","20000"
"40","20500","20500","20500"
"41","21000","21000","21000"
"42","21500","21500","21500"
"43","22000","22000","22000"
"44","22500","22500","22500"
"45","23000","23000","23000"
"46","23500","23500","23500"
"47","24000","24000","24000"
"48","24500","24500","24500"
"49","25000","25000","25000"
"50","25500","25500","25500"
"51","26000","26000","26000"
"52","26500","26500","26500"
"53","27000","27000","27000"
"54","27500","27500","27500"
"55","28000","28000","28000"
"56","28500","28500","28500"
"57","29000","29000","29000"
"58","29500","29500","29500"
"59","30000","30000","30000"
"60","30500","30500","30500"
"61","31000","31000","31000"
"62","31500","31500","31500"
"63","32000","32000","32000"
"64","32500","32500","32500"
"65","33000","33000","33000"
"66","33500","33500","33500"
"67","34000","34000","34000"
"68","34500","34500","34500"
"69","35000","35000","35000"
"70","35500","35500","35500"
"71","36000","36000","36000"
"72","36500","36500","36500"
"73","37000","37000","37000"
"74","37500","37500","37500"
"75","38000","38000","38000"
"76","38500","38500","38500"
"77","39000","39000","39000"
"78","39500","39500","39500"
"79","40000","40000","40000"
"80","40500","40500","40500"
"81","41000","41000","41000"
"82","41500","41500","41500"
"83","42000","42000","42000"
"84","42500","42500","42500"
"85","43000","43000","43000"
"86","43500","43500","43500"
"87","44000","44000","44000"
"88","44500","44500","44500"
"89","45000","45000","45000"
"90","45500","45500","45500"
"91","46000","46000","46000"
"92","46500","46500","46500"
"93","47000","47000","47000"
"94","47500","47500","47500"
"95","48000","48000","48000"
"96","48500","48500","48500"
"97","49000","49000","49000"
"98","49500","49500","49500"
"99","50000","50000","50000"
"100","50500","50500","50500"
"101","51000","51000","51000"
"102","51500","51500","51500"
"103","52000","52000","52000"
"104","52500","52500","52500"
"105","53000","53000","53000"
"106","53500","53500","53500"
"107","54000","54000","54000"
"108","54500","54500","54500"
"109","55000","55000","55000"
"110","55500","55500","55500"
"111","56000","56000","56000"
"112","56500","56500","56500"
"113","57000","57000","57000"
"114","57500","57500","57500"
"115","58000","58000","58000"
"116","58500","58500","58500"
"117","59000","59000","59000"
"118","59500","59500","59500"
"119","60000","60000","60000"
"120","60500","60500","60500"
"121","61000","61000","61000"
"122","61500","61500","61500"
"123","62000","62000","62000"
"124","62500","62500","62500"
"125","63000","63000","63000"
"126","63500","63500","63500"
"127","64000","64000","64000"
"128","64500","64500","64500"
"129","65000","65000","65000"
"130","65500","65500","65500"
"131","66000","66000","66000"
"132","66500","66500","66500"
"133","67000","67000","67000"
"134","67500","67500","67500"
"135","68000","68000","68000"
"136","68500","68500","68500"
"137","69000","69000","69000"
"138","69500","69500","69500"
"139","70000","70000","70000"
"140","70500","70500","70500"
"141","71000","71000","71000"
"142","71500","71500","71500"
"143","72000","72000","72000"
"144","72500","72500","72500"
"145","73000","73000","73000"
"146","73500","73500","73500"
"147","74000","74000","74000"
"148","74500","74500","74500"
"149","75000","75000","75000"
"150","75500","75500","75500"
"151","76000","76000","76000"
"152","76500","76500","76500"
"153","77000","77000","77000"
"154","77500","77500","77500"
"155","78000","78000","78000"
"156","78500","78500","78500"
"157","79000","79000","79000"
"158","79500","79500","79500"
"159","80000","80000","80000"
"160","80500","80500","80500"
"161","81000","81000","81000"
"162","81500","81500","81500"
"163","82000","82000","82000"
"164","82500","82500","82500"
"165","83000","83000","83000"
"166","83500","83500","83500"
"167","84000","84000","84000"
"168","84500","84500","84500"
"169","85000","85000","85000"
"170","85500","85500","85500"
"171","86000","86000","86000"
"172","86500","86500","86500"
"173","87000","87000","87000"
"174","87500","87500","87500"
"175","88000","88000","88000"
"176","88500","88500","88500"
"177","89000","89000","89000"
"178","89500","89500","89500"
"179","90000","90000","90000"
"180","90500","90500","90500"
"181","91000","91000","91000"
"182","91500","91500","91500"
"183","92000","92000","92000"
"184","92500","92500","92500"
"185","93000","93000","93000"
"186","93500","93500","93500"
"187","94000","94000","94000"
"188","94500","94500","94500"
"189","95000","95000","95000"
"190","95500","95500","95500"
"191","96000","96000","96000"
"192","96500","96500","96500"
"193","97000","97000","97000"
"194","97500","97500","97500"
"195","98000","98000","98000"
"196","98500","98500","98500"
"197","99000","99000","99000"
"198","99500","99500","99500"
"199","100000","100000","100000"
"200","100500","100500","100500"
"201","101000","101000","101000"
"202","101500","101500","101500"
"203","102000","102000","102000"
"204","102500","102500","102500"
"205","103000","103000","103000"
"206","103500","103500","103500"
"207","104000","104000","104000"
"208","104500","104500","104500"
"209","105000","105000","105000"
"210","105500","105500","105500"
"211","106000","106000","106000"
"212","106500","106500","106500"
"213","107000","107000","107000"
"214","107500","107500","107500"
"215","108000","108000","108000"
"216","108500","108500","108500"
"217","109000","109000","109000"
"218","109500","109500","109500"
"219","110000","110000","110000"
"220","110500","110500","110500"
"221","111000","111000","111000"
"222","111500","111500","111500"
"223","112000","112000","112000"
"224","112500","112500","112500"
"225","113000","113000","113000"
"226","113500","113500","113500"
"227","114000","114000","114000"
"228","114500","114500","114500"
"229","115000","115000","115000"
"230","115500","115500","115500"
"231","116000","116000","116000"
"232","116500","116500","116500"
"233","117000","117000","117000"
"234","117500","117500","117500"
"235","118000","118000","118000"
"236","118500","118500","118500"
"237","119000","119000","119000"
"238","119500","119500","119500"
"239","120000","120000","120000"
"240","120500","120500","120500"
"241","121000","121000","121000"
"242","121500","121500","121500"
"243","122000","122000","122000"
"244","122500","122500","122500"
"245","123000","123000","123000"
"246","123500","123500","123500"
"247","124000","124000","124000"
"248","124500","124500","124500"
"249","125000","125000","125000"
"250","125500","125500","125500"
"251","126000","126000","126000"
"252","126500","126500","126500"
"253","127000","127000","127000"
"254","127500","127500","127500"
"255","128000","128000","128000"
"256","128500","128500","128500"
"257","129000","129000","129000"
"258","129500","129500","129500"
"259","130000","130000","130000"
"260","130500","130500","130500"
"261","131000","131000","131000"
"262","131500","131500","131500"
"263","132000","132000","132000"
"264","132500","132500","132500"
"265","133000","133000","133000"
"266","133500","133500","133500"
"267","134000","134000","134000"
"268","134500","134500","134500"
"269","135000","135000","135000"
"270","135500","135500","135500"
"271","136000","136000","136000"
"272","136500","136500","136500"
