"global_step","251221_A2C - rollout/ep_rew_mean","251221_A2C - rollout/ep_rew_mean__MIN","251221_A2C - rollout/ep_rew_mean__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"500","-291.1470947265625","-291.1470947265625","-291.1470947265625","0","0","0"
"1000","-179.2725830078125","-179.2725830078125","-179.2725830078125","1","1","1"
"1500","-187.06112670898438","-187.06112670898438","-187.06112670898438","2","2","2"
"2000","-217.9510955810547","-217.9510955810547","-217.9510955810547","3","3","3"
"2500","-214.8828125","-214.8828125","-214.8828125","4","4","4"
"3000","-184.89987182617188","-184.89987182617188","-184.89987182617188","5","5","5"
"3500","-146.1864776611328","-146.1864776611328","-146.1864776611328","6","6","6"
"4000","-156.51295471191406","-156.51295471191406","-156.51295471191406","7","7","7"
"4500","-177.9071807861328","-177.9071807861328","-177.9071807861328","8","8","8"
"5000","-173.45175170898438","-173.45175170898438","-173.45175170898438","9","9","9"
"5500","-169.17958068847656","-169.17958068847656","-169.17958068847656","10","10","10"
"6000","-160.94517517089844","-160.94517517089844","-160.94517517089844","11","11","11"
"6500","-161.1841583251953","-161.1841583251953","-161.1841583251953","12","12","12"
"7000","-155.99229431152344","-155.99229431152344","-155.99229431152344","13","13","13"
"7500","-173.4590301513672","-173.4590301513672","-173.4590301513672","14","14","14"
"8000","-180.18296813964844","-180.18296813964844","-180.18296813964844","15","15","15"
"8500","-179.67559814453125","-179.67559814453125","-179.67559814453125","16","16","16"
"9000","-181.8016815185547","-181.8016815185547","-181.8016815185547","17","17","17"
"9500","-181.89230346679688","-181.89230346679688","-181.89230346679688","18","18","18"
"10000","-188.79336547851562","-188.79336547851562","-188.79336547851562","19","19","19"
"10500","-184.00711059570312","-184.00711059570312","-184.00711059570312","20","20","20"
"11000","-179.1395263671875","-179.1395263671875","-179.1395263671875","21","21","21"
"11500","-179.40797424316406","-179.40797424316406","-179.40797424316406","22","22","22"
"12000","-179.16151428222656","-179.16151428222656","-179.16151428222656","23","23","23"
"12500","-173.2734375","-173.2734375","-173.2734375","24","24","24"
"13000","-170.40248107910156","-170.40248107910156","-170.40248107910156","25","25","25"
"13500","-169.71380615234375","-169.71380615234375","-169.71380615234375","26","26","26"
"14000","-172.5157470703125","-172.5157470703125","-172.5157470703125","27","27","27"
"14500","-172.87396240234375","-172.87396240234375","-172.87396240234375","28","28","28"
"15000","-174.24928283691406","-174.24928283691406","-174.24928283691406","29","29","29"
"15500","-175.94898986816406","-175.94898986816406","-175.94898986816406","30","30","30"
"16000","-169.57655334472656","-169.57655334472656","-169.57655334472656","31","31","31"
"16500","-174.71737670898438","-174.71737670898438","-174.71737670898438","32","32","32"
"17000","-174.11216735839844","-174.11216735839844","-174.11216735839844","33","33","33"
"17500","-172.71636962890625","-172.71636962890625","-172.71636962890625","34","34","34"
"18000","-175.56890869140625","-175.56890869140625","-175.56890869140625","35","35","35"
"18500","-177.81735229492188","-177.81735229492188","-177.81735229492188","36","36","36"
"19000","-174.70753479003906","-174.70753479003906","-174.70753479003906","37","37","37"
"19500","-174.60983276367188","-174.60983276367188","-174.60983276367188","38","38","38"
"20000","-176.78692626953125","-176.78692626953125","-176.78692626953125","39","39","39"
"20500","-177.99862670898438","-177.99862670898438","-177.99862670898438","40","40","40"
"21000","-175.567138671875","-175.567138671875","-175.567138671875","41","41","41"
"21500","-173.228759765625","-173.228759765625","-173.228759765625","42","42","42"
"22000","-179.25955200195312","-179.25955200195312","-179.25955200195312","43","43","43"
"22500","-181.09246826171875","-181.09246826171875","-181.09246826171875","44","44","44"
"23000","-182.7315673828125","-182.7315673828125","-182.7315673828125","45","45","45"
"23500","-181.7097930908203","-181.7097930908203","-181.7097930908203","46","46","46"
"24000","-186.084716796875","-186.084716796875","-186.084716796875","47","47","47"
"24500","-187.66561889648438","-187.66561889648438","-187.66561889648438","48","48","48"
"25000","-185.74290466308594","-185.74290466308594","-185.74290466308594","49","49","49"
"25500","-187.41116333007812","-187.41116333007812","-187.41116333007812","50","50","50"
"26000","-183.3772430419922","-183.3772430419922","-183.3772430419922","51","51","51"
"26500","-184.21429443359375","-184.21429443359375","-184.21429443359375","52","52","52"
"27000","-183.40194702148438","-183.40194702148438","-183.40194702148438","53","53","53"
"27500","-183.62684631347656","-183.62684631347656","-183.62684631347656","54","54","54"
"28000","-188.34669494628906","-188.34669494628906","-188.34669494628906","55","55","55"
"28500","-189.50143432617188","-189.50143432617188","-189.50143432617188","56","56","56"
"29000","-189.51455688476562","-189.51455688476562","-189.51455688476562","57","57","57"
"29500","-195.4897918701172","-195.4897918701172","-195.4897918701172","58","58","58"
"30000","-194.82510375976562","-194.82510375976562","-194.82510375976562","59","59","59"
"30500","-192.5971221923828","-192.5971221923828","-192.5971221923828","60","60","60"
"31000","-191.11807250976562","-191.11807250976562","-191.11807250976562","61","61","61"
"31500","-193.0744171142578","-193.0744171142578","-193.0744171142578","62","62","62"
"32000","-194.32614135742188","-194.32614135742188","-194.32614135742188","63","63","63"
"32500","-193.0408935546875","-193.0408935546875","-193.0408935546875","64","64","64"
"33000","-191.69024658203125","-191.69024658203125","-191.69024658203125","65","65","65"
"33500","-188.3675079345703","-188.3675079345703","-188.3675079345703","66","66","66"
"34000","-187.68284606933594","-187.68284606933594","-187.68284606933594","67","67","67"
"34500","-187.97402954101562","-187.97402954101562","-187.97402954101562","68","68","68"
"35000","-187.7124481201172","-187.7124481201172","-187.7124481201172","69","69","69"
"35500","-187.25759887695312","-187.25759887695312","-187.25759887695312","70","70","70"
"36000","-185.34034729003906","-185.34034729003906","-185.34034729003906","71","71","71"
"36500","-185.3496551513672","-185.3496551513672","-185.3496551513672","72","72","72"
"37000","-184.2570343017578","-184.2570343017578","-184.2570343017578","73","73","73"
"37500","-184.52442932128906","-184.52442932128906","-184.52442932128906","74","74","74"
"38000","-184.30203247070312","-184.30203247070312","-184.30203247070312","75","75","75"
"38500","-187.38661193847656","-187.38661193847656","-187.38661193847656","76","76","76"
"39000","-188.4529266357422","-188.4529266357422","-188.4529266357422","77","77","77"
"39500","-189.80709838867188","-189.80709838867188","-189.80709838867188","78","78","78"
"40000","-190.19342041015625","-190.19342041015625","-190.19342041015625","79","79","79"
"40500","-191.6930694580078","-191.6930694580078","-191.6930694580078","80","80","80"
"41000","-194.10421752929688","-194.10421752929688","-194.10421752929688","81","81","81"
"41500","-192.38168334960938","-192.38168334960938","-192.38168334960938","82","82","82"
"42000","-190.14523315429688","-190.14523315429688","-190.14523315429688","83","83","83"
"42500","-189.41893005371094","-189.41893005371094","-189.41893005371094","84","84","84"
"43000","-189.8026123046875","-189.8026123046875","-189.8026123046875","85","85","85"
"43500","-189.36427307128906","-189.36427307128906","-189.36427307128906","86","86","86"
"44000","-187.5762481689453","-187.5762481689453","-187.5762481689453","87","87","87"
"44500","-190.2653045654297","-190.2653045654297","-190.2653045654297","88","88","88"
"45000","-190.9479217529297","-190.9479217529297","-190.9479217529297","89","89","89"
"45500","-189.25155639648438","-189.25155639648438","-189.25155639648438","90","90","90"
"46000","-190.3096160888672","-190.3096160888672","-190.3096160888672","91","91","91"
"46500","-191.32522583007812","-191.32522583007812","-191.32522583007812","92","92","92"
"47000","-189.1829071044922","-189.1829071044922","-189.1829071044922","93","93","93"
"47500","-189.64581298828125","-189.64581298828125","-189.64581298828125","94","94","94"
"48000","-191.35250854492188","-191.35250854492188","-191.35250854492188","95","95","95"
"48500","-192.9325408935547","-192.9325408935547","-192.9325408935547","96","96","96"
"49000","-192.0063018798828","-192.0063018798828","-192.0063018798828","97","97","97"
"49500","-193.8185577392578","-193.8185577392578","-193.8185577392578","98","98","98"
"50000","-194.49005126953125","-194.49005126953125","-194.49005126953125","99","99","99"
"50500","-194.83633422851562","-194.83633422851562","-194.83633422851562","100","100","100"
"51000","-196.67845153808594","-196.67845153808594","-196.67845153808594","101","101","101"
"51500","-194.93588256835938","-194.93588256835938","-194.93588256835938","102","102","102"
"52000","-195.84747314453125","-195.84747314453125","-195.84747314453125","103","103","103"
"52500","-197.49838256835938","-197.49838256835938","-197.49838256835938","104","104","104"
"53000","-199.0568389892578","-199.0568389892578","-199.0568389892578","105","105","105"
"53500","-201.0049591064453","-201.0049591064453","-201.0049591064453","106","106","106"
"54000","-200.96144104003906","-200.96144104003906","-200.96144104003906","107","107","107"
"54500","-199.82083129882812","-199.82083129882812","-199.82083129882812","108","108","108"
"55000","-200.7047882080078","-200.7047882080078","-200.7047882080078","109","109","109"
"55500","-200.8809051513672","-200.8809051513672","-200.8809051513672","110","110","110"
"56000","-202.77503967285156","-202.77503967285156","-202.77503967285156","111","111","111"
"56500","-203.78878784179688","-203.78878784179688","-203.78878784179688","112","112","112"
"57000","-203.25143432617188","-203.25143432617188","-203.25143432617188","113","113","113"
"57500","-199.57496643066406","-199.57496643066406","-199.57496643066406","114","114","114"
"58000","-198.9860076904297","-198.9860076904297","-198.9860076904297","115","115","115"
"58500","-198.92901611328125","-198.92901611328125","-198.92901611328125","116","116","116"
"59000","-200.02676391601562","-200.02676391601562","-200.02676391601562","117","117","117"
"59500","-200.212890625","-200.212890625","-200.212890625","118","118","118"
"60000","-199.51144409179688","-199.51144409179688","-199.51144409179688","119","119","119"
"60500","-199.90174865722656","-199.90174865722656","-199.90174865722656","120","120","120"
"61000","-201.42718505859375","-201.42718505859375","-201.42718505859375","121","121","121"
"61500","-200.36087036132812","-200.36087036132812","-200.36087036132812","122","122","122"
"62000","-202.03375244140625","-202.03375244140625","-202.03375244140625","123","123","123"
"62500","-203.31492614746094","-203.31492614746094","-203.31492614746094","124","124","124"
"63000","-205.39517211914062","-205.39517211914062","-205.39517211914062","125","125","125"
"63500","-209.12152099609375","-209.12152099609375","-209.12152099609375","126","126","126"
"64000","-207.70184326171875","-207.70184326171875","-207.70184326171875","127","127","127"
"64500","-206.27622985839844","-206.27622985839844","-206.27622985839844","128","128","128"
"65000","-205.17294311523438","-205.17294311523438","-205.17294311523438","129","129","129"
"65500","-202.861328125","-202.861328125","-202.861328125","130","130","130"
"66000","-205.69659423828125","-205.69659423828125","-205.69659423828125","131","131","131"
"66500","-202.21205139160156","-202.21205139160156","-202.21205139160156","132","132","132"
"67000","-201.17791748046875","-201.17791748046875","-201.17791748046875","133","133","133"
"67500","-202.63079833984375","-202.63079833984375","-202.63079833984375","134","134","134"
"68000","-202.7900848388672","-202.7900848388672","-202.7900848388672","135","135","135"
"68500","-201.7841339111328","-201.7841339111328","-201.7841339111328","136","136","136"
"69000","-204.06130981445312","-204.06130981445312","-204.06130981445312","137","137","137"
"69500","-203.01571655273438","-203.01571655273438","-203.01571655273438","138","138","138"
"70000","-202.49630737304688","-202.49630737304688","-202.49630737304688","139","139","139"
"70500","-202.7572021484375","-202.7572021484375","-202.7572021484375","140","140","140"
"71000","-205.790771484375","-205.790771484375","-205.790771484375","141","141","141"
"71500","-207.50564575195312","-207.50564575195312","-207.50564575195312","142","142","142"
"72000","-204.697265625","-204.697265625","-204.697265625","143","143","143"
"72500","-204.097900390625","-204.097900390625","-204.097900390625","144","144","144"
"73000","-205.5657501220703","-205.5657501220703","-205.5657501220703","145","145","145"
"73500","-204.53370666503906","-204.53370666503906","-204.53370666503906","146","146","146"
"74000","-202.53695678710938","-202.53695678710938","-202.53695678710938","147","147","147"
"74500","-202.27593994140625","-202.27593994140625","-202.27593994140625","148","148","148"
"75000","-202.68533325195312","-202.68533325195312","-202.68533325195312","149","149","149"
"75500","-202.13340759277344","-202.13340759277344","-202.13340759277344","150","150","150"
"76000","-203.00755310058594","-203.00755310058594","-203.00755310058594","151","151","151"
"76500","-201.56698608398438","-201.56698608398438","-201.56698608398438","152","152","152"
"77000","-201.8663330078125","-201.8663330078125","-201.8663330078125","153","153","153"
"77500","-202.22662353515625","-202.22662353515625","-202.22662353515625","154","154","154"
"78000","-199.19329833984375","-199.19329833984375","-199.19329833984375","155","155","155"
