"global_step","251221_A2C - time/fps","251221_A2C - time/fps__MIN","251221_A2C - time/fps__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"500","24","24","24","0","0","0"
"1000","20","20","20","1","1","1"
"1500","24","24","24","2","2","2"
"2000","25","25","25","3","3","3"
"2500","26","26","26","4","4","4"
"3000","27","27","27","5","5","5"
"3500","25","25","25","6","6","6"
"4000","27","27","27","7","7","7"
"4500","27","27","27","8","8","8"
"5000","26","26","26","9","9","9"
"5500","25","25","25","10","10","10"
"6000","24","24","24","11","11","11"
"6500","25","25","25","12","12","12"
"7000","25","25","25","13","13","13"
"7500","26","26","26","14","14","14"
"8000","26","26","26","15","15","15"
"8500","26","26","26","16","16","16"
"9000","27","27","27","17","17","17"
"9500","27","27","27","18","18","18"
"10000","28","28","28","19","19","19"
"10500","28","28","28","20","20","20"
"11000","28","28","28","21","21","21"
"11500","29","29","29","22","22","22"
"12000","29","29","29","23","23","23"
"12500","28","28","28","24","24","24"
"13000","28","28","28","25","25","25"
"13500","28","28","28","26","26","26"
"14000","28","28","28","27","27","27"
"14500","28","28","28","28","28","28"
"15000","29","29","29","29","29","29"
"15500","29","29","29","30","30","30"
"16000","29","29","29","31","31","31"
"16500","30","30","30","32","32","32"
"17000","31","31","31","33","33","33"
"17500","31","31","31","34","34","34"
"18000","31","31","31","35","35","35"
"18500","32","32","32","36","36","36"
"19000","32","32","32","37","37","37"
"19500","32","32","32","38","38","38"
"20000","32","32","32","39","39","39"
"20500","32","32","32","40","40","40"
"21000","31","31","31","41","41","41"
"21500","32","32","32","42","42","42"
"22000","32","32","32","43","43","43"
"22500","32","32","32","44","44","44"
"23000","32","32","32","45","45","45"
"23500","32","32","32","46","46","46"
"24000","33","33","33","47","47","47"
"24500","33","33","33","48","48","48"
"25000","32","32","32","49","49","49"
"25500","32","32","32","50","50","50"
"26000","32","32","32","51","51","51"
"26500","32","32","32","52","52","52"
"27000","32","32","32","53","53","53"
"27500","32","32","32","54","54","54"
"28000","33","33","33","55","55","55"
"28500","33","33","33","56","56","56"
"29000","32","32","32","57","57","57"
"29500","32","32","32","58","58","58"
"30000","32","32","32","59","59","59"
"30500","32","32","32","60","60","60"
"31000","33","33","33","61","61","61"
"31500","33","33","33","62","62","62"
"32000","33","33","33","63","63","63"
"32500","33","33","33","64","64","64"
"33000","33","33","33","65","65","65"
"33500","34","34","34","66","66","66"
"34000","34","34","34","67","67","67"
"34500","34","34","34","68","68","68"
"35000","34","34","34","69","69","69"
"35500","34","34","34","70","70","70"
"36000","34","34","34","71","71","71"
"36500","34","34","34","72","72","72"
"37000","34","34","34","73","73","73"
"37500","34","34","34","74","74","74"
"38000","34","34","34","75","75","75"
"38500","34","34","34","76","76","76"
"39000","34","34","34","77","77","77"
"39500","35","35","35","78","78","78"
"40000","35","35","35","79","79","79"
"40500","35","35","35","80","80","80"
"41000","35","35","35","81","81","81"
"41500","34","34","34","82","82","82"
"42000","34","34","34","83","83","83"
"42500","35","35","35","84","84","84"
"43000","35","35","35","85","85","85"
"43500","35","35","35","86","86","86"
"44000","35","35","35","87","87","87"
"44500","35","35","35","88","88","88"
"45000","35","35","35","89","89","89"
"45500","35","35","35","90","90","90"
"46000","35","35","35","91","91","91"
"46500","35","35","35","92","92","92"
"47000","35","35","35","93","93","93"
"47500","35","35","35","94","94","94"
"48000","35","35","35","95","95","95"
"48500","35","35","35","96","96","96"
"49000","36","36","36","97","97","97"
"49500","36","36","36","98","98","98"
"50000","36","36","36","99","99","99"
"50500","36","36","36","100","100","100"
"51000","37","37","37","101","101","101"
"51500","37","37","37","102","102","102"
"52000","37","37","37","103","103","103"
"52500","37","37","37","104","104","104"
"53000","37","37","37","105","105","105"
"53500","37","37","37","106","106","106"
"54000","37","37","37","107","107","107"
"54500","37","37","37","108","108","108"
"55000","37","37","37","109","109","109"
"55500","37","37","37","110","110","110"
"56000","37","37","37","111","111","111"
"56500","37","37","37","112","112","112"
"57000","37","37","37","113","113","113"
"57500","37","37","37","114","114","114"
"58000","37","37","37","115","115","115"
"58500","37","37","37","116","116","116"
"59000","37","37","37","117","117","117"
"59500","37","37","37","118","118","118"
"60000","38","38","38","119","119","119"
"60500","38","38","38","120","120","120"
"61000","38","38","38","121","121","121"
"61500","38","38","38","122","122","122"
"62000","38","38","38","123","123","123"
"62500","38","38","38","124","124","124"
"63000","38","38","38","125","125","125"
"63500","38","38","38","126","126","126"
"64000","38","38","38","127","127","127"
"64500","38","38","38","128","128","128"
"65000","38","38","38","129","129","129"
"65500","38","38","38","130","130","130"
"66000","39","39","39","131","131","131"
"66500","38","38","38","132","132","132"
"67000","38","38","38","133","133","133"
"67500","38","38","38","134","134","134"
"68000","39","39","39","135","135","135"
"68500","38","38","38","136","136","136"
"69000","38","38","38","137","137","137"
"69500","38","38","38","138","138","138"
"70000","39","39","39","139","139","139"
"70500","38","38","38","140","140","140"
"71000","38","38","38","141","141","141"
"71500","38","38","38","142","142","142"
"72000","39","39","39","143","143","143"
"72500","39","39","39","144","144","144"
"73000","39","39","39","145","145","145"
"73500","39","39","39","146","146","146"
"74000","38","38","38","147","147","147"
"74500","38","38","38","148","148","148"
"75000","38","38","38","149","149","149"
"75500","39","39","39","150","150","150"
"76000","39","39","39","151","151","151"
"76500","39","39","39","152","152","152"
"77000","39","39","39","153","153","153"
"77500","39","39","39","154","154","154"
"78000","40","40","40","155","155","155"
"78500","40","40","40","156","156","156"
"79000","40","40","40","157","157","157"
"79500","40","40","40","158","158","158"
"80000","40","40","40","159","159","159"
"80500","40","40","40","160","160","160"
"81000","40","40","40","161","161","161"
"81500","40","40","40","162","162","162"
"82000","40","40","40","163","163","163"
"82500","40","40","40","164","164","164"
"83000","41","41","41","165","165","165"
"83500","41","41","41","166","166","166"
"84000","41","41","41","167","167","167"
"84500","41","41","41","168","168","168"
"85000","41","41","41","169","169","169"
"85500","41","41","41","170","170","170"
"86000","41","41","41","171","171","171"
"86500","41","41","41","172","172","172"
"87000","41","41","41","173","173","173"
"87500","41","41","41","174","174","174"
"88000","41","41","41","175","175","175"
"88500","41","41","41","176","176","176"
"89000","41","41","41","177","177","177"
"89500","41","41","41","178","178","178"
"90000","40","40","40","179","179","179"
"90500","40","40","40","180","180","180"
"91000","40","40","40","181","181","181"
"91500","40","40","40","182","182","182"
"92000","40","40","40","183","183","183"
"92500","40","40","40","184","184","184"
"93000","40","40","40","185","185","185"
"93500","40","40","40","186","186","186"
"94000","40","40","40","187","187","187"
"94500","40","40","40","188","188","188"
"95000","40","40","40","189","189","189"
"95500","40","40","40","190","190","190"
"96000","40","40","40","191","191","191"
"96500","39","39","39","192","192","192"
"97000","40","40","40","193","193","193"
"97500","40","40","40","194","194","194"
"98000","40","40","40","195","195","195"
"98500","40","40","40","196","196","196"
"99000","39","39","39","197","197","197"
"99500","40","40","40","198","198","198"
"100000","40","40","40","199","199","199"
"100500","40","40","40","200","200","200"
"101000","40","40","40","201","201","201"
"101500","40","40","40","202","202","202"
"102000","40","40","40","203","203","203"
"102500","40","40","40","204","204","204"
"103000","40","40","40","205","205","205"
"103500","40","40","40","206","206","206"
"104000","40","40","40","207","207","207"
"104500","40","40","40","208","208","208"
"105000","40","40","40","209","209","209"
"105500","40","40","40","210","210","210"
"106000","40","40","40","211","211","211"
"106500","40","40","40","212","212","212"
"107000","40","40","40","213","213","213"
"107500","41","41","41","214","214","214"
"108000","41","41","41","215","215","215"
"108500","41","41","41","216","216","216"
"109000","41","41","41","217","217","217"
"109500","41","41","41","218","218","218"
"110000","41","41","41","219","219","219"
"110500","41","41","41","220","220","220"
"111000","41","41","41","221","221","221"
"111500","41","41","41","222","222","222"
"112000","41","41","41","223","223","223"
"112500","41","41","41","224","224","224"
"113000","41","41","41","225","225","225"
"113500","41","41","41","226","226","226"
"114000","41","41","41","227","227","227"
"114500","41","41","41","228","228","228"
"115000","42","42","42","229","229","229"
"115500","41","41","41","230","230","230"
"116000","41","41","41","231","231","231"
"116500","41","41","41","232","232","232"
"117000","41","41","41","233","233","233"
"117500","41","41","41","234","234","234"
"118000","41","41","41","235","235","235"
"118500","41","41","41","236","236","236"
"119000","42","42","42","237","237","237"
"119500","42","42","42","238","238","238"
"120000","42","42","42","239","239","239"
"120500","42","42","42","240","240","240"
"121000","42","42","42","241","241","241"
"121500","42","42","42","242","242","242"
"122000","42","42","42","243","243","243"
"122500","42","42","42","244","244","244"
"123000","42","42","42","245","245","245"
"123500","42","42","42","246","246","246"
"124000","42","42","42","247","247","247"
"124500","43","43","43","248","248","248"
"125000","43","43","43","249","249","249"
"125500","43","43","43","250","250","250"
"126000","43","43","43","251","251","251"
"126500","43","43","43","252","252","252"
"127000","43","43","43","253","253","253"
"127500","43","43","43","254","254","254"
"128000","43","43","43","255","255","255"
"128500","44","44","44","256","256","256"
"129000","44","44","44","257","257","257"
"129500","44","44","44","258","258","258"
"130000","44","44","44","259","259","259"
"130500","44","44","44","260","260","260"
"131000","44","44","44","261","261","261"
"131500","44","44","44","262","262","262"
"132000","43","43","43","263","263","263"
"132500","44","44","44","264","264","264"
"133000","43","43","43","265","265","265"
"133500","44","44","44","266","266","266"
"134000","44","44","44","267","267","267"
"134500","44","44","44","268","268","268"
"135000","44","44","44","269","269","269"
"135500","44","44","44","270","270","270"
"136000","44","44","44","271","271","271"
"136500","44","44","44","272","272","272"
"137000","44","44","44","273","273","273"
"137500","44","44","44","274","274","274"
"138000","44","44","44","275","275","275"
"138500","44","44","44","276","276","276"
"139000","44","44","44","277","277","277"
"139500","44","44","44","278","278","278"
"140000","44","44","44","279","279","279"
"140500","44","44","44","280","280","280"
"141000","44","44","44","281","281","281"
"141500","44","44","44","282","282","282"
"142000","44","44","44","283","283","283"
"142500","44","44","44","284","284","284"
"143000","44","44","44","285","285","285"
"143500","44","44","44","286","286","286"
"144000","45","45","45","287","287","287"
"144500","45","45","45","288","288","288"
"145000","45","45","45","289","289","289"
"145500","45","45","45","290","290","290"
"146000","45","45","45","291","291","291"
"146500","45","45","45","292","292","292"
"147000","45","45","45","293","293","293"
"147500","45","45","45","294","294","294"
"148000","45","45","45","295","295","295"
"148500","45","45","45","296","296","296"
"149000","45","45","45","297","297","297"
"149500","45","45","45","298","298","298"
"150000","45","45","45","299","299","299"
"150500","45","45","45","300","300","300"
"151000","45","45","45","301","301","301"
"151500","45","45","45","302","302","302"
"152000","45","45","45","303","303","303"
"152500","45","45","45","304","304","304"
"153000","45","45","45","305","305","305"
"153500","45","45","45","306","306","306"
"154000","45","45","45","307","307","307"
"154500","45","45","45","308","308","308"
"155000","46","46","46","309","309","309"
"155500","46","46","46","310","310","310"
"156000","46","46","46","311","311","311"
"156500","46","46","46","312","312","312"
"157000","46","46","46","313","313","313"
"157500","46","46","46","314","314","314"
"158000","46","46","46","315","315","315"
"158500","46","46","46","316","316","316"
"159000","46","46","46","317","317","317"
"159500","46","46","46","318","318","318"
"160000","46","46","46","319","319","319"
"160500","46","46","46","320","320","320"
"161000","46","46","46","321","321","321"
"161500","47","47","47","322","322","322"
"162000","47","47","47","323","323","323"
"162500","47","47","47","324","324","324"
"163000","47","47","47","325","325","325"
"163500","47","47","47","326","326","326"
"164000","47","47","47","327","327","327"
"164500","46","46","46","328","328","328"
"165000","46","46","46","329","329","329"
"165500","47","47","47","330","330","330"
"166000","47","47","47","331","331","331"
"166500","47","47","47","332","332","332"
"167000","47","47","47","333","333","333"
"167500","47","47","47","334","334","334"
"168000","47","47","47","335","335","335"
"168500","47","47","47","336","336","336"
"169000","47","47","47","337","337","337"
