"global_step","251221_A2C - train/final_recall","251221_A2C - train/final_recall__MIN","251221_A2C - train/final_recall__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"500","0.2961125671863556","0.2961125671863556","0.2961125671863556","0","0","0"
"1000","0.27183061838150024","0.27183061838150024","0.27183061838150024","1","1","1"
"1500","0.20105592906475067","0.20105592906475067","0.20105592906475067","2","2","2"
"2000","0.5028949975967407","0.5028949975967407","0.5028949975967407","3","3","3"
"2500","0.3430842459201813","0.3430842459201813","0.3430842459201813","4","4","4"
"3000","0.12244386225938797","0.12244386225938797","0.12244386225938797","5","5","5"
"3500","0.561567485332489","0.561567485332489","0.561567485332489","6","6","6"
"4000","0.3298252820968628","0.3298252820968628","0.3298252820968628","7","7","7"
"4500","0.39384421706199646","0.39384421706199646","0.39384421706199646","8","8","8"
"5000","0.591953694820404","0.591953694820404","0.591953694820404","9","9","9"
"5500","0.5822810530662537","0.5822810530662537","0.5822810530662537","10","10","10"
"6000","0.32920145988464355","0.32920145988464355","0.32920145988464355","11","11","11"
"6500","0.38987815380096436","0.38987815380096436","0.38987815380096436","12","12","12"
"7000","0.4774460792541504","0.4774460792541504","0.4774460792541504","13","13","13"
"7500","0.4653802514076233","0.4653802514076233","0.4653802514076233","14","14","14"
"8000","0.29998719692230225","0.29998719692230225","0.29998719692230225","15","15","15"
"8500","0.11323171854019165","0.11323171854019165","0.11323171854019165","16","16","16"
"9000","0.07951635867357254","0.07951635867357254","0.07951635867357254","17","17","17"
"9500","0.4330591559410095","0.4330591559410095","0.4330591559410095","18","18","18"
"10000","0.16088204085826874","0.16088204085826874","0.16088204085826874","19","19","19"
"10500","0.2137366533279419","0.2137366533279419","0.2137366533279419","20","20","20"
"11000","0.07558359950780869","0.07558359950780869","0.07558359950780869","21","21","21"
"11500","0.07387198507785797","0.07387198507785797","0.07387198507785797","22","22","22"
"12000","0.4176018238067627","0.4176018238067627","0.4176018238067627","23","23","23"
"12500","0.483236163854599","0.483236163854599","0.483236163854599","24","24","24"
"13000","0.5078267455101013","0.5078267455101013","0.5078267455101013","25","25","25"
"13500","0.26585763692855835","0.26585763692855835","0.26585763692855835","26","26","26"
"14000","0.38811394572257996","0.38811394572257996","0.38811394572257996","27","27","27"
"14500","0.21782982349395752","0.21782982349395752","0.21782982349395752","28","28","28"
"15000","0.14216478168964386","0.14216478168964386","0.14216478168964386","29","29","29"
"15500","0.21447952091693878","0.21447952091693878","0.21447952091693878","30","30","30"
"16000","0.4041024446487427","0.4041024446487427","0.4041024446487427","31","31","31"
"16500","0.02210216037929058","0.02210216037929058","0.02210216037929058","32","32","32"
"17000","0.38422703742980957","0.38422703742980957","0.38422703742980957","33","33","33"
"17500","0.19791178405284882","0.19791178405284882","0.19791178405284882","34","34","34"
"18000","0.17458690702915192","0.17458690702915192","0.17458690702915192","35","35","35"
"18500","0.11264821887016296","0.11264821887016296","0.11264821887016296","36","36","36"
"19000","0.31275010108947754","0.31275010108947754","0.31275010108947754","37","37","37"
"19500","0.5257571339607239","0.5257571339607239","0.5257571339607239","38","38","38"
"20000","0.28880447149276733","0.28880447149276733","0.28880447149276733","39","39","39"
"20500","0.5057047009468079","0.5057047009468079","0.5057047009468079","40","40","40"
"21000","0.35323983430862427","0.35323983430862427","0.35323983430862427","41","41","41"
"21500","0.23271068930625916","0.23271068930625916","0.23271068930625916","42","42","42"
"22000","0.20742830634117126","0.20742830634117126","0.20742830634117126","43","43","43"
"22500","0.425170361995697","0.425170361995697","0.425170361995697","44","44","44"
"23000","0.28924039006233215","0.28924039006233215","0.28924039006233215","45","45","45"
"23500","0.21677593886852264","0.21677593886852264","0.21677593886852264","46","46","46"
"24000","0.19689014554023743","0.19689014554023743","0.19689014554023743","47","47","47"
"24500","0.20310287177562714","0.20310287177562714","0.20310287177562714","48","48","48"
"25000","0.3406512141227722","0.3406512141227722","0.3406512141227722","49","49","49"
"25500","0.428363174200058","0.428363174200058","0.428363174200058","50","50","50"
"26000","0.5292357802391052","0.5292357802391052","0.5292357802391052","51","51","51"
"26500","0.40565958619117737","0.40565958619117737","0.40565958619117737","52","52","52"
"27000","0.38736823201179504","0.38736823201179504","0.38736823201179504","53","53","53"
"27500","0.1282983273267746","0.1282983273267746","0.1282983273267746","54","54","54"
"28000","0.094122976064682","0.094122976064682","0.094122976064682","55","55","55"
"28500","0.1773083359003067","0.1773083359003067","0.1773083359003067","56","56","56"
"29000","0.3191514015197754","0.3191514015197754","0.3191514015197754","57","57","57"
"29500","0.2774120271205902","0.2774120271205902","0.2774120271205902","58","58","58"
"30000","0.43317362666130066","0.43317362666130066","0.43317362666130066","59","59","59"
"30500","0.19082939624786377","0.19082939624786377","0.19082939624786377","60","60","60"
"31000","0.2866227924823761","0.2866227924823761","0.2866227924823761","61","61","61"
"31500","0.09385078400373459","0.09385078400373459","0.09385078400373459","62","62","62"
"32000","0.37215447425842285","0.37215447425842285","0.37215447425842285","63","63","63"
"32500","0.12473297119140625","0.12473297119140625","0.12473297119140625","64","64","64"
"33000","0.10651545226573944","0.10651545226573944","0.10651545226573944","65","65","65"
"33500","0.36587509512901306","0.36587509512901306","0.36587509512901306","66","66","66"
"34000","0.2967197895050049","0.2967197895050049","0.2967197895050049","67","67","67"
"34500","0.24669568240642548","0.24669568240642548","0.24669568240642548","68","68","68"
"35000","0.3916037678718567","0.3916037678718567","0.3916037678718567","69","69","69"
"35500","0.2565499544143677","0.2565499544143677","0.2565499544143677","70","70","70"
"36000","0.12618295848369598","0.12618295848369598","0.12618295848369598","71","71","71"
"36500","0.24597685039043427","0.24597685039043427","0.24597685039043427","72","72","72"
"37000","0.21568074822425842","0.21568074822425842","0.21568074822425842","73","73","73"
"37500","0.6406963467597961","0.6406963467597961","0.6406963467597961","74","74","74"
"38000","0.37179091572761536","0.37179091572761536","0.37179091572761536","75","75","75"
"38500","0.3210427165031433","0.3210427165031433","0.3210427165031433","76","76","76"
"39000","0.46060341596603394","0.46060341596603394","0.46060341596603394","77","77","77"
"39500","0.2764345705509186","0.2764345705509186","0.2764345705509186","78","78","78"
"40000","0.4148789346218109","0.4148789346218109","0.4148789346218109","79","79","79"
"40500","0.20502476394176483","0.20502476394176483","0.20502476394176483","80","80","80"
"41000","0.2641720473766327","0.2641720473766327","0.2641720473766327","81","81","81"
"41500","0.36049121618270874","0.36049121618270874","0.36049121618270874","82","82","82"
"42000","0.34931105375289917","0.34931105375289917","0.34931105375289917","83","83","83"
"42500","0.19823603332042694","0.19823603332042694","0.19823603332042694","84","84","84"
"43000","0.19053038954734802","0.19053038954734802","0.19053038954734802","85","85","85"
"43500","0.16262021660804749","0.16262021660804749","0.16262021660804749","86","86","86"
"44000","0.25427135825157166","0.25427135825157166","0.25427135825157166","87","87","87"
"44500","0.16075748205184937","0.16075748205184937","0.16075748205184937","88","88","88"
"45000","0.221218079328537","0.221218079328537","0.221218079328537","89","89","89"
"45500","0.5029988884925842","0.5029988884925842","0.5029988884925842","90","90","90"
"46000","0.14697986841201782","0.14697986841201782","0.14697986841201782","91","91","91"
"46500","0.3034976124763489","0.3034976124763489","0.3034976124763489","92","92","92"
"47000","0.2800629436969757","0.2800629436969757","0.2800629436969757","93","93","93"
"47500","0.24699309468269348","0.24699309468269348","0.24699309468269348","94","94","94"
"48000","0.14234037697315216","0.14234037697315216","0.14234037697315216","95","95","95"
"48500","0.16845637559890747","0.16845637559890747","0.16845637559890747","96","96","96"
"49000","0.3948434591293335","0.3948434591293335","0.3948434591293335","97","97","97"
"49500","0.26373183727264404","0.26373183727264404","0.26373183727264404","98","98","98"
"50000","0.43182796239852905","0.43182796239852905","0.43182796239852905","99","99","99"
"50500","0.0013486177194863558","0.0013486177194863558","0.0013486177194863558","100","100","100"
"51000","0.12056367099285126","0.12056367099285126","0.12056367099285126","101","101","101"
"51500","0.2126942276954651","0.2126942276954651","0.2126942276954651","102","102","102"
"52000","0.14283140003681183","0.14283140003681183","0.14283140003681183","103","103","103"
"52500","0.13241611421108246","0.13241611421108246","0.13241611421108246","104","104","104"
"53000","0.17215318977832794","0.17215318977832794","0.17215318977832794","105","105","105"
"53500","0.5819063782691956","0.5819063782691956","0.5819063782691956","106","106","106"
"54000","0.637628436088562","0.637628436088562","0.637628436088562","107","107","107"
"54500","0.3572150468826294","0.3572150468826294","0.3572150468826294","108","108","108"
"55000","0.09370053559541702","0.09370053559541702","0.09370053559541702","109","109","109"
"55500","0.1214626356959343","0.1214626356959343","0.1214626356959343","110","110","110"
"56000","0.28785204887390137","0.28785204887390137","0.28785204887390137","111","111","111"
"56500","0.35627982020378113","0.35627982020378113","0.35627982020378113","112","112","112"
"57000","0.22157607972621918","0.22157607972621918","0.22157607972621918","113","113","113"
"57500","0.30907535552978516","0.30907535552978516","0.30907535552978516","114","114","114"
"58000","0.11982811242341995","0.11982811242341995","0.11982811242341995","115","115","115"
"58500","0.5116037726402283","0.5116037726402283","0.5116037726402283","116","116","116"
"59000","0.12636755406856537","0.12636755406856537","0.12636755406856537","117","117","117"
"59500","0.09012407809495926","0.09012407809495926","0.09012407809495926","118","118","118"
"60000","0.15273182094097137","0.15273182094097137","0.15273182094097137","119","119","119"
"60500","0.0952681377530098","0.0952681377530098","0.0952681377530098","120","120","120"
"61000","0.1225036233663559","0.1225036233663559","0.1225036233663559","121","121","121"
"61500","0.3567010164260864","0.3567010164260864","0.3567010164260864","122","122","122"
"62000","0.12911202013492584","0.12911202013492584","0.12911202013492584","123","123","123"
"62500","0.49272260069847107","0.49272260069847107","0.49272260069847107","124","124","124"
"63000","0.06410094350576401","0.06410094350576401","0.06410094350576401","125","125","125"
"63500","0.06735044717788696","0.06735044717788696","0.06735044717788696","126","126","126"
"64000","0.21294452250003815","0.21294452250003815","0.21294452250003815","127","127","127"
"64500","0.2433399111032486","0.2433399111032486","0.2433399111032486","128","128","128"
"65000","0.13857872784137726","0.13857872784137726","0.13857872784137726","129","129","129"
"65500","0.21477152407169342","0.21477152407169342","0.21477152407169342","130","130","130"
"66000","0.3183138072490692","0.3183138072490692","0.3183138072490692","131","131","131"
"66500","0.5869007110595703","0.5869007110595703","0.5869007110595703","132","132","132"
"67000","0.2972494959831238","0.2972494959831238","0.2972494959831238","133","133","133"
"67500","0.16518455743789673","0.16518455743789673","0.16518455743789673","134","134","134"
"68000","0.011577813886106014","0.011577813886106014","0.011577813886106014","135","135","135"
"68500","0.217729389667511","0.217729389667511","0.217729389667511","136","136","136"
