"global_step","251221_A2C - train/final_pos_count","251221_A2C - train/final_pos_count__MIN","251221_A2C - train/final_pos_count__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"500","15","15","15","0","0","0"
"1000","15","15","15","1","1","1"
"1500","5","5","5","2","2","2"
"2000","15","15","15","3","3","3"
"2500","9","9","9","4","4","4"
"3000","3","3","3","5","5","5"
"3500","15","15","15","6","6","6"
"4000","15","15","15","7","7","7"
"4500","14","14","14","8","8","8"
"5000","15","15","15","9","9","9"
"5500","15","15","15","10","10","10"
"6000","14","14","14","11","11","11"
"6500","6","6","6","12","12","12"
"7000","13","13","13","13","13","13"
"7500","15","15","15","14","14","14"
"8000","13","13","13","15","15","15"
"8500","7","7","7","16","16","16"
"9000","3","3","3","17","17","17"
"9500","15","15","15","18","18","18"
"10000","14","14","14","19","19","19"
"10500","9","9","9","20","20","20"
"11000","3","3","3","21","21","21"
"11500","3","3","3","22","22","22"
"12000","15","15","15","23","23","23"
"12500","15","15","15","24","24","24"
"13000","15","15","15","25","25","25"
"13500","12","12","12","26","26","26"
"14000","15","15","15","27","27","27"
"14500","5","5","5","28","28","28"
"15000","6","6","6","29","29","29"
"15500","5","5","5","30","30","30"
"16000","6","6","6","31","31","31"
"16500","4","4","4","32","32","32"
"17000","15","15","15","33","33","33"
"17500","14","14","14","34","34","34"
"18000","8","8","8","35","35","35"
"18500","3","3","3","36","36","36"
"19000","15","15","15","37","37","37"
"19500","15","15","15","38","38","38"
"20000","10","10","10","39","39","39"
"20500","15","15","15","40","40","40"
"21000","8","8","8","41","41","41"
"21500","7","7","7","42","42","42"
"22000","3","3","3","43","43","43"
"22500","13","13","13","44","44","44"
"23000","6","6","6","45","45","45"
"23500","5","5","5","46","46","46"
"24000","6","6","6","47","47","47"
"24500","4","4","4","48","48","48"
"25000","15","15","15","49","49","49"
"25500","13","13","13","50","50","50"
"26000","14","14","14","51","51","51"
"26500","15","15","15","52","52","52"
"27000","15","15","15","53","53","53"
"27500","3","3","3","54","54","54"
"28000","4","4","4","55","55","55"
"28500","12","12","12","56","56","56"
"29000","11","11","11","57","57","57"
"29500","15","15","15","58","58","58"
"30000","15","15","15","59","59","59"
"30500","9","9","9","60","60","60"
"31000","6","6","6","61","61","61"
"31500","3","3","3","62","62","62"
"32000","12","12","12","63","63","63"
"32500","4","4","4","64","64","64"
"33000","4","4","4","65","65","65"
"33500","6","6","6","66","66","66"
"34000","9","9","9","67","67","67"
"34500","5","5","5","68","68","68"
"35000","13","13","13","69","69","69"
"35500","7","7","7","70","70","70"
"36000","4","4","4","71","71","71"
"36500","3","3","3","72","72","72"
"37000","5","5","5","73","73","73"
"37500","15","15","15","74","74","74"
"38000","15","15","15","75","75","75"
"38500","15","15","15","76","76","76"
"39000","15","15","15","77","77","77"
"39500","15","15","15","78","78","78"
"40000","9","9","9","79","79","79"
"40500","6","6","6","80","80","80"
"41000","14","14","14","81","81","81"
"41500","15","15","15","82","82","82"
"42000","5","5","5","83","83","83"
"42500","6","6","6","84","84","84"
"43000","8","8","8","85","85","85"
"43500","6","6","6","86","86","86"
"44000","5","5","5","87","87","87"
"44500","5","5","5","88","88","88"
"45000","6","6","6","89","89","89"
"45500","7","7","7","90","90","90"
"46000","5","5","5","91","91","91"
"46500","15","15","15","92","92","92"
"47000","5","5","5","93","93","93"
"47500","4","4","4","94","94","94"
"48000","3","3","3","95","95","95"
"48500","3","3","3","96","96","96"
"49000","12","12","12","97","97","97"
"49500","11","11","11","98","98","98"
"50000","14","14","14","99","99","99"
"50500","3","3","3","100","100","100"
"51000","12","12","12","101","101","101"
"51500","4","4","4","102","102","102"
"52000","5","5","5","103","103","103"
"52500","5","5","5","104","104","104"
"53000","5","5","5","105","105","105"
"53500","14","14","14","106","106","106"
"54000","15","15","15","107","107","107"
"54500","6","6","6","108","108","108"
"55000","4","4","4","109","109","109"
"55500","3","3","3","110","110","110"
"56000","5","5","5","111","111","111"
"56500","15","15","15","112","112","112"
"57000","5","5","5","113","113","113"
"57500","11","11","11","114","114","114"
"58000","3","3","3","115","115","115"
"58500","15","15","15","116","116","116"
"59000","14","14","14","117","117","117"
"59500","15","15","15","118","118","118"
"60000","7","7","7","119","119","119"
"60500","3","3","3","120","120","120"
"61000","9","9","9","121","121","121"
"61500","5","5","5","122","122","122"
"62000","4","4","4","123","123","123"
"62500","14","14","14","124","124","124"
"63000","5","5","5","125","125","125"
"63500","3","3","3","126","126","126"
"64000","4","4","4","127","127","127"
"64500","7","7","7","128","128","128"
"65000","5","5","5","129","129","129"
"65500","13","13","13","130","130","130"
"66000","10","10","10","131","131","131"
"66500","14","14","14","132","132","132"
"67000","12","12","12","133","133","133"
"67500","15","15","15","134","134","134"
"68000","5","5","5","135","135","135"
"68500","11","11","11","136","136","136"
"69000","4","4","4","137","137","137"
"69500","14","14","14","138","138","138"
"70000","14","14","14","139","139","139"
"70500","7","7","7","140","140","140"
"71000","13","13","13","141","141","141"
"71500","4","4","4","142","142","142"
"72000","5","5","5","143","143","143"
"72500","3","3","3","144","144","144"
"73000","14","14","14","145","145","145"
"73500","15","15","15","146","146","146"
"74000","15","15","15","147","147","147"
"74500","8","8","8","148","148","148"
"75000","5","5","5","149","149","149"
"75500","9","9","9","150","150","150"
"76000","13","13","13","151","151","151"
"76500","15","15","15","152","152","152"
"77000","14","14","14","153","153","153"
"77500","10","10","10","154","154","154"
"78000","6","6","6","155","155","155"
"78500","13","13","13","156","156","156"
"79000","15","15","15","157","157","157"
"79500","15","15","15","158","158","158"
"80000","4","4","4","159","159","159"
"80500","9","9","9","160","160","160"
"81000","8","8","8","161","161","161"
"81500","13","13","13","162","162","162"
"82000","10","10","10","163","163","163"
"82500","15","15","15","164","164","164"
"83000","3","3","3","165","165","165"
"83500","9","9","9","166","166","166"
"84000","15","15","15","167","167","167"
"84500","15","15","15","168","168","168"
"85000","9","9","9","169","169","169"
"85500","9","9","9","170","170","170"
"86000","12","12","12","171","171","171"
"86500","14","14","14","172","172","172"
"87000","15","15","15","173","173","173"
"87500","6","6","6","174","174","174"
"88000","15","15","15","175","175","175"
"88500","12","12","12","176","176","176"
"89000","10","10","10","177","177","177"
"89500","13","13","13","178","178","178"
"90000","15","15","15","179","179","179"
"90500","6","6","6","180","180","180"
"91000","15","15","15","181","181","181"
"91500","15","15","15","182","182","182"
"92000","5","5","5","183","183","183"
"92500","6","6","6","184","184","184"
"93000","4","4","4","185","185","185"
"93500","8","8","8","186","186","186"
"94000","15","15","15","187","187","187"
"94500","7","7","7","188","188","188"
"95000","4","4","4","189","189","189"
"95500","12","12","12","190","190","190"
"96000","3","3","3","191","191","191"
"96500","6","6","6","192","192","192"
"97000","4","4","4","193","193","193"
"97500","6","6","6","194","194","194"
"98000","6","6","6","195","195","195"
"98500","15","15","15","196","196","196"
"99000","14","14","14","197","197","197"
"99500","10","10","10","198","198","198"
"100000","15","15","15","199","199","199"
"100500","15","15","15","200","200","200"
"101000","12","12","12","201","201","201"
"101500","15","15","15","202","202","202"
"102000","5","5","5","203","203","203"
"102500","6","6","6","204","204","204"
"103000","13","13","13","205","205","205"
"103500","14","14","14","206","206","206"
"104000","4","4","4","207","207","207"
"104500","15","15","15","208","208","208"
"105000","3","3","3","209","209","209"
"105500","5","5","5","210","210","210"
"106000","14","14","14","211","211","211"
"106500","14","14","14","212","212","212"
"107000","14","14","14","213","213","213"
"107500","15","15","15","214","214","214"
"108000","10","10","10","215","215","215"
"108500","15","15","15","216","216","216"
"109000","15","15","15","217","217","217"
"109500","15","15","15","218","218","218"
"110000","8","8","8","219","219","219"
"110500","14","14","14","220","220","220"
"111000","15","15","15","221","221","221"
"111500","15","15","15","222","222","222"
"112000","15","15","15","223","223","223"
"112500","15","15","15","224","224","224"
"113000","15","15","15","225","225","225"
"113500","10","10","10","226","226","226"
"114000","14","14","14","227","227","227"
"114500","14","14","14","228","228","228"
"115000","15","15","15","229","229","229"
"115500","6","6","6","230","230","230"
"116000","7","7","7","231","231","231"
"116500","5","5","5","232","232","232"
"117000","7","7","7","233","233","233"
"117500","7","7","7","234","234","234"
"118000","10","10","10","235","235","235"
"118500","6","6","6","236","236","236"
"119000","13","13","13","237","237","237"
"119500","15","15","15","238","238","238"
"120000","15","15","15","239","239","239"
"120500","15","15","15","240","240","240"
"121000","15","15","15","241","241","241"
"121500","15","15","15","242","242","242"
"122000","14","14","14","243","243","243"
"122500","14","14","14","244","244","244"
"123000","15","15","15","245","245","245"
"123500","8","8","8","246","246","246"
"124000","14","14","14","247","247","247"
"124500","12","12","12","248","248","248"
"125000","15","15","15","249","249","249"
"125500","14","14","14","250","250","250"
"126000","3","3","3","251","251","251"
"126500","14","14","14","252","252","252"
"127000","15","15","15","253","253","253"
"127500","12","12","12","254","254","254"
"128000","15","15","15","255","255","255"
"128500","11","11","11","256","256","256"
"129000","5","5","5","257","257","257"
"129500","6","6","6","258","258","258"
"130000","14","14","14","259","259","259"
"130500","15","15","15","260","260","260"
"131000","6","6","6","261","261","261"
"131500","13","13","13","262","262","262"
"132000","15","15","15","263","263","263"
"132500","15","15","15","264","264","264"
"133000","14","14","14","265","265","265"
"133500","14","14","14","266","266","266"
"134000","12","12","12","267","267","267"
"134500","14","14","14","268","268","268"
"135000","15","15","15","269","269","269"
"135500","14","14","14","270","270","270"
"136000","15","15","15","271","271","271"
"136500","6","6","6","272","272","272"
"137000","3","3","3","273","273","273"
"137500","13","13","13","274","274","274"
"138000","4","4","4","275","275","275"
"138500","5","5","5","276","276","276"
"139000","7","7","7","277","277","277"
"139500","7","7","7","278","278","278"
"140000","5","5","5","279","279","279"
"140500","6","6","6","280","280","280"
"141000","11","11","11","281","281","281"
"141500","6","6","6","282","282","282"
"142000","15","15","15","283","283","283"
"142500","3","3","3","284","284","284"
"143000","3","3","3","285","285","285"
"143500","14","14","14","286","286","286"
"144000","3","3","3","287","287","287"
"144500","14","14","14","288","288","288"
"145000","15","15","15","289","289","289"
"145500","15","15","15","290","290","290"
"146000","15","15","15","291","291","291"
"146500","15","15","15","292","292","292"
"147000","13","13","13","293","293","293"
"147500","15","15","15","294","294","294"
"148000","6","6","6","295","295","295"
"148500","15","15","15","296","296","296"
"149000","15","15","15","297","297","297"
"149500","4","4","4","298","298","298"
"150000","4","4","4","299","299","299"
"150500","9","9","9","300","300","300"
"151000","5","5","5","301","301","301"
"151500","7","7","7","302","302","302"
"152000","6","6","6","303","303","303"
"152500","15","15","15","304","304","304"
"153000","15","15","15","305","305","305"
"153500","10","10","10","306","306","306"
"154000","14","14","14","307","307","307"
"154500","14","14","14","308","308","308"
"155000","13","13","13","309","309","309"
"155500","15","15","15","310","310","310"
"156000","13","13","13","311","311","311"
"156500","11","11","11","312","312","312"
"157000","15","15","15","313","313","313"
"157500","7","7","7","314","314","314"
"158000","14","14","14","315","315","315"
"158500","15","15","15","316","316","316"
"159000","6","6","6","317","317","317"
"159500","13","13","13","318","318","318"
"160000","8","8","8","319","319","319"
"160500","12","12","12","320","320","320"
"161000","15","15","15","321","321","321"
"161500","13","13","13","322","322","322"
"162000","10","10","10","323","323","323"
"162500","15","15","15","324","324","324"
"163000","3","3","3","325","325","325"
"163500","5","5","5","326","326","326"
"164000","4","4","4","327","327","327"
"164500","12","12","12","328","328","328"
"165000","15","15","15","329","329","329"
"165500","3","3","3","330","330","330"
"166000","9","9","9","331","331","331"
"166500","8","8","8","332","332","332"
"167000","14","14","14","333","333","333"
"167500","15","15","15","334","334","334"
"168000","5","5","5","335","335","335"
"168500","10","10","10","336","336","336"
"169000","8","8","8","337","337","337"
"169500","15","15","15","338","338","338"
"170000","15","15","15","339","339","339"
"170500","13","13","13","340","340","340"
"171000","14","14","14","341","341","341"
"171500","10","10","10","342","342","342"
"172000","8","8","8","343","343","343"
"172500","15","15","15","344","344","344"
"173000","14","14","14","345","345","345"
"173500","5","5","5","346","346","346"
"174000","15","15","15","347","347","347"
"174500","12","12","12","348","348","348"
"175000","15","15","15","349","349","349"
"175500","14","14","14","350","350","350"
"176000","14","14","14","351","351","351"
"176500","13","13","13","352","352","352"
"177000","10","10","10","353","353","353"
"177500","10","10","10","354","354","354"
"178000","14","14","14","355","355","355"
"178500","15","15","15","356","356","356"
"179000","11","11","11","357","357","357"
"179500","15","15","15","358","358","358"
"180000","13","13","13","359","359","359"
"180500","9","9","9","360","360","360"
"181000","14","14","14","361","361","361"
"181500","12","12","12","362","362","362"
"182000","13","13","13","363","363","363"
"182500","7","7","7","364","364","364"
"183000","15","15","15","365","365","365"
"183500","15","15","15","366","366","366"
"184000","3","3","3","367","367","367"
"184500","14","14","14","368","368","368"
"185000","9","9","9","369","369","369"
"185500","15","15","15","370","370","370"
"186000","10","10","10","371","371","371"
"186500","14","14","14","372","372","372"
"187000","15","15","15","373","373","373"
"187500","15","15","15","374","374","374"
"188000","15","15","15","375","375","375"
"188500","4","4","4","376","376","376"
"189000","15","15","15","377","377","377"
"189500","15","15","15","378","378","378"
"190000","15","15","15","379","379","379"
"190500","6","6","6","380","380","380"
"191000","14","14","14","381","381","381"
"191500","4","4","4","382","382","382"
"192000","14","14","14","383","383","383"
"192500","14","14","14","384","384","384"
"193000","14","14","14","385","385","385"
"193500","9","9","9","386","386","386"
"194000","14","14","14","387","387","387"
"194500","6","6","6","388","388","388"
"195000","5","5","5","389","389","389"
"195500","5","5","5","390","390","390"
"196000","5","5","5","391","391","391"
"196500","6","6","6","392","392","392"
"197000","13","13","13","393","393","393"
"197500","11","11","11","394","394","394"
"198000","8","8","8","395","395","395"
"198500","14","14","14","396","396","396"
"199000","4","4","4","397","397","397"
"199500","5","5","5","398","398","398"
"200000","6","6","6","399","399","399"
"200500","10","10","10","400","400","400"
"201000","11","11","11","401","401","401"
"201500","15","15","15","402","402","402"
"202000","9","9","9","403","403","403"
"202500","11","11","11","404","404","404"
"203000","15","15","15","405","405","405"
"203500","3","3","3","406","406","406"
"204000","13","13","13","407","407","407"
"204500","11","11","11","408","408","408"
"205000","15","15","15","409","409","409"
"205500","15","15","15","410","410","410"
"206000","9","9","9","411","411","411"
"206500","4","4","4","412","412","412"
"207000","15","15","15","413","413","413"
"207500","11","11","11","414","414","414"
"208000","8","8","8","415","415","415"
"208500","5","5","5","416","416","416"
"209000","5","5","5","417","417","417"
"209500","14","14","14","418","418","418"
"210000","9","9","9","419","419","419"
"210500","13","13","13","420","420","420"
"211000","7","7","7","421","421","421"
"211500","15","15","15","422","422","422"
"212000","9","9","9","423","423","423"
"212500","5","5","5","424","424","424"
"213000","5","5","5","425","425","425"
"213500","5","5","5","426","426","426"
"214000","15","15","15","427","427","427"
"214500","14","14","14","428","428","428"
"215000","6","6","6","429","429","429"
"215500","10","10","10","430","430","430"
"216000","5","5","5","431","431","431"
"216500","15","15","15","432","432","432"
"217000","6","6","6","433","433","433"
"217500","4","4","4","434","434","434"
"218000","14","14","14","435","435","435"
"218500","4","4","4","436","436","436"
"219000","15","15","15","437","437","437"
"219500","13","13","13","438","438","438"
"220000","15","15","15","439","439","439"
"220500","15","15","15","440","440","440"
"221000","13","13","13","441","441","441"
"221500","15","15","15","442","442","442"
"222000","14","14","14","443","443","443"
"222500","14","14","14","444","444","444"
"223000","15","15","15","445","445","445"
"223500","5","5","5","446","446","446"
"224000","6","6","6","447","447","447"
"224500","14","14","14","448","448","448"
"225000","8","8","8","449","449","449"
"225500","5","5","5","450","450","450"
"226000","5","5","5","451","451","451"
"226500","5","5","5","452","452","452"
"227000","5","5","5","453","453","453"
"227500","6","6","6","454","454","454"
"228000","5","5","5","455","455","455"
"228500","15","15","15","456","456","456"
"229000","7","7","7","457","457","457"
"229500","13","13","13","458","458","458"
"230000","13","13","13","459","459","459"
"230500","13","13","13","460","460","460"
"231000","14","14","14","461","461","461"
"231500","12","12","12","462","462","462"
"232000","13","13","13","463","463","463"
"232500","3","3","3","464","464","464"
"233000","14","14","14","465","465","465"
"233500","15","15","15","466","466","466"
"234000","13","13","13","467","467","467"
"234500","4","4","4","468","468","468"
"235000","15","15","15","469","469","469"
"235500","12","12","12","470","470","470"
"236000","11","11","11","471","471","471"
"236500","6","6","6","472","472","472"
"237000","10","10","10","473","473","473"
"237500","14","14","14","474","474","474"
"238000","14","14","14","475","475","475"
"238500","12","12","12","476","476","476"
"239000","15","15","15","477","477","477"
"239500","13","13","13","478","478","478"
"240000","10","10","10","479","479","479"
"240500","11","11","11","480","480","480"
"241000","15","15","15","481","481","481"
"241500","15","15","15","482","482","482"
"242000","12","12","12","483","483","483"
"242500","7","7","7","484","484","484"
"243000","15","15","15","485","485","485"
"243500","15","15","15","486","486","486"
"244000","4","4","4","487","487","487"
"244500","4","4","4","488","488","488"
"245000","6","6","6","489","489","489"
"245500","11","11","11","490","490","490"
"246000","10","10","10","491","491","491"
"246500","14","14","14","492","492","492"
"247000","15","15","15","493","493","493"
"247500","12","12","12","494","494","494"
"248000","15","15","15","495","495","495"
"248500","3","3","3","496","496","496"
"249000","3","3","3","497","497","497"
"249500","11","11","11","498","498","498"
"250000","15","15","15","499","499","499"
"250500","5","5","5","500","500","500"
"251000","11","11","11","501","501","501"
"251500","15","15","15","502","502","502"
"252000","15","15","15","503","503","503"
"252500","9","9","9","504","504","504"
"253000","12","12","12","505","505","505"
"253500","7","7","7","506","506","506"
"254000","15","15","15","507","507","507"
"254500","6","6","6","508","508","508"
"255000","12","12","12","509","509","509"
"255500","5","5","5","510","510","510"
"256000","6","6","6","511","511","511"
"256500","5","5","5","512","512","512"
"257000","5","5","5","513","513","513"
"257500","5","5","5","514","514","514"
"258000","15","15","15","515","515","515"
"258500","5","5","5","516","516","516"
"259000","5","5","5","517","517","517"
"259500","8","8","8","518","518","518"
"260000","6","6","6","519","519","519"
"260500","5","5","5","520","520","520"
"261000","5","5","5","521","521","521"
"261500","5","5","5","522","522","522"
"262000","5","5","5","523","523","523"
"262500","15","15","15","524","524","524"
"263000","5","5","5","525","525","525"
"263500","5","5","5","526","526","526"
"264000","5","5","5","527","527","527"
"264500","6","6","6","528","528","528"
"265000","5","5","5","529","529","529"
"265500","5","5","5","530","530","530"
"266000","5","5","5","531","531","531"
"266500","5","5","5","532","532","532"
"267000","15","15","15","533","533","533"
"267500","15","15","15","534","534","534"
"268000","14","14","14","535","535","535"
"268500","6","6","6","536","536","536"
"269000","5","5","5","537","537","537"
"269500","5","5","5","538","538","538"
"270000","5","5","5","539","539","539"
"270500","6","6","6","540","540","540"
"271000","5","5","5","541","541","541"
"271500","5","5","5","542","542","542"
"272000","5","5","5","543","543","543"
"272500","5","5","5","544","544","544"
"273000","5","5","5","545","545","545"
"273500","5","5","5","546","546","546"
"274000","5","5","5","547","547","547"
"274500","5","5","5","548","548","548"
"275000","9","9","9","549","549","549"
"275500","5","5","5","550","550","550"
"276000","5","5","5","551","551","551"
"276500","5","5","5","552","552","552"
"277000","5","5","5","553","553","553"
"277500","5","5","5","554","554","554"
"278000","5","5","5","555","555","555"
"278500","5","5","5","556","556","556"
"279000","5","5","5","557","557","557"
"279500","5","5","5","558","558","558"
"280000","15","15","15","559","559","559"
"280500","15","15","15","560","560","560"
"281000","5","5","5","561","561","561"
"281500","15","15","15","562","562","562"
"282000","5","5","5","563","563","563"
"282500","3","3","3","564","564","564"
"283000","3","3","3","565","565","565"
"283500","5","5","5","566","566","566"
"284000","3","3","3","567","567","567"
"284500","5","5","5","568","568","568"
"285000","3","3","3","569","569","569"
"285500","6","6","6","570","570","570"
"286000","4","4","4","571","571","571"
"286500","9","9","9","572","572","572"
"287000","5","5","5","573","573","573"
"287500","11","11","11","574","574","574"
"288000","7","7","7","575","575","575"
"288500","5","5","5","576","576","576"
"289000","5","5","5","577","577","577"
"289500","7","7","7","578","578","578"
"290000","5","5","5","579","579","579"
"290500","6","6","6","580","580","580"
"291000","6","6","6","581","581","581"
"291500","3","3","3","582","582","582"
"292000","7","7","7","583","583","583"
"292500","5","5","5","584","584","584"
"293000","3","3","3","585","585","585"
"293500","4","4","4","586","586","586"
"294000","4","4","4","587","587","587"
"294500","6","6","6","588","588","588"
"295000","15","15","15","589","589","589"
"295500","4","4","4","590","590","590"
"296000","7","7","7","591","591","591"
"296500","5","5","5","592","592","592"
"297000","15","15","15","593","593","593"
"297500","8","8","8","594","594","594"
"298000","5","5","5","595","595","595"
"298500","15","15","15","596","596","596"
"299000","15","15","15","597","597","597"
"299500","9","9","9","598","598","598"
"300000","12","12","12","599","599","599"
"300500","12","12","12","600","600","600"
"301000","9","9","9","601","601","601"
"301500","14","14","14","602","602","602"
"302000","7","7","7","603","603","603"
"302500","14","14","14","604","604","604"
"303000","15","15","15","605","605","605"
"303500","9","9","9","606","606","606"
"304000","15","15","15","607","607","607"
"304500","15","15","15","608","608","608"
"305000","7","7","7","609","609","609"
"305500","12","12","12","610","610","610"
"306000","15","15","15","611","611","611"
"306500","4","4","4","612","612","612"
"307000","3","3","3","613","613","613"
"307500","5","5","5","614","614","614"
"308000","4","4","4","615","615","615"
"308500","5","5","5","616","616","616"
"309000","5","5","5","617","617","617"
"309500","5","5","5","618","618","618"
"310000","5","5","5","619","619","619"
"310500","5","5","5","620","620","620"
"311000","5","5","5","621","621","621"
"311500","5","5","5","622","622","622"
"312000","5","5","5","623","623","623"
"312500","5","5","5","624","624","624"
"313000","5","5","5","625","625","625"
"313500","15","15","15","626","626","626"
"314000","5","5","5","627","627","627"
"314500","8","8","8","628","628","628"
"315000","5","5","5","629","629","629"
"315500","5","5","5","630","630","630"
"316000","5","5","5","631","631","631"
"316500","5","5","5","632","632","632"
"317000","5","5","5","633","633","633"
"317500","5","5","5","634","634","634"
"318000","5","5","5","635","635","635"
"318500","5","5","5","636","636","636"
"319000","5","5","5","637","637","637"
"319500","5","5","5","638","638","638"
"320000","5","5","5","639","639","639"
"320500","5","5","5","640","640","640"
"321000","5","5","5","641","641","641"
"321500","5","5","5","642","642","642"
"322000","5","5","5","643","643","643"
"322500","5","5","5","644","644","644"
"323000","5","5","5","645","645","645"
"323500","5","5","5","646","646","646"
"324000","5","5","5","647","647","647"
"324500","5","5","5","648","648","648"
