"global_step","251221_A2C - train/final_neg_count","251221_A2C - train/final_neg_count__MIN","251221_A2C - train/final_neg_count__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"500","3","3","3","0","0","0"
"1000","10","10","10","1","1","1"
"1500","15","15","15","2","2","2"
"2000","7","7","7","3","3","3"
"2500","15","15","15","4","4","4"
"3000","14","14","14","5","5","5"
"3500","13","13","13","6","6","6"
"4000","10","10","10","7","7","7"
"4500","3","3","3","8","8","8"
"5000","3","3","3","9","9","9"
"5500","4","4","4","10","10","10"
"6000","14","14","14","11","11","11"
"6500","13","13","13","12","12","12"
"7000","13","13","13","13","13","13"
"7500","9","9","9","14","14","14"
"8000","14","14","14","15","15","15"
"8500","3","3","3","16","16","16"
"9000","3","3","3","17","17","17"
"9500","15","15","15","18","18","18"
"10000","5","5","5","19","19","19"
"10500","15","15","15","20","20","20"
"11000","13","13","13","21","21","21"
"11500","3","3","3","22","22","22"
"12000","5","5","5","23","23","23"
"12500","3","3","3","24","24","24"
"13000","14","14","14","25","25","25"
"13500","7","7","7","26","26","26"
"14000","12","12","12","27","27","27"
"14500","13","13","13","28","28","28"
"15000","3","3","3","29","29","29"
"15500","5","5","5","30","30","30"
"16000","13","13","13","31","31","31"
"16500","3","3","3","32","32","32"
"17000","3","3","3","33","33","33"
"17500","4","4","4","34","34","34"
"18000","8","8","8","35","35","35"
"18500","6","6","6","36","36","36"
"19000","6","6","6","37","37","37"
"19500","8","8","8","38","38","38"
"20000","13","13","13","39","39","39"
"20500","14","14","14","40","40","40"
"21000","15","15","15","41","41","41"
"21500","3","3","3","42","42","42"
"22000","11","11","11","43","43","43"
"22500","12","12","12","44","44","44"
"23000","3","3","3","45","45","45"
"23500","11","11","11","46","46","46"
"24000","14","14","14","47","47","47"
"24500","12","12","12","48","48","48"
"25000","3","3","3","49","49","49"
"25500","11","11","11","50","50","50"
"26000","4","4","4","51","51","51"
"26500","8","8","8","52","52","52"
"27000","4","4","4","53","53","53"
"27500","3","3","3","54","54","54"
"28000","9","9","9","55","55","55"
"28500","4","4","4","56","56","56"
"29000","4","4","4","57","57","57"
"29500","3","3","3","58","58","58"
"30000","4","4","4","59","59","59"
"30500","14","14","14","60","60","60"
"31000","4","4","4","61","61","61"
"31500","12","12","12","62","62","62"
"32000","4","4","4","63","63","63"
"32500","15","15","15","64","64","64"
"33000","15","15","15","65","65","65"
"33500","13","13","13","66","66","66"
"34000","10","10","10","67","67","67"
"34500","12","12","12","68","68","68"
"35000","13","13","13","69","69","69"
"35500","4","4","4","70","70","70"
"36000","10","10","10","71","71","71"
"36500","14","14","14","72","72","72"
"37000","12","12","12","73","73","73"
"37500","10","10","10","74","74","74"
"38000","3","3","3","75","75","75"
"38500","4","4","4","76","76","76"
"39000","3","3","3","77","77","77"
"39500","6","6","6","78","78","78"
"40000","7","7","7","79","79","79"
"40500","14","14","14","80","80","80"
"41000","13","13","13","81","81","81"
"41500","9","9","9","82","82","82"
"42000","15","15","15","83","83","83"
"42500","11","11","11","84","84","84"
"43000","5","5","5","85","85","85"
"43500","6","6","6","86","86","86"
"44000","4","4","4","87","87","87"
"44500","15","15","15","88","88","88"
"45000","14","14","14","89","89","89"
"45500","6","6","6","90","90","90"
"46000","10","10","10","91","91","91"
"46500","3","3","3","92","92","92"
"47000","13","13","13","93","93","93"
"47500","3","3","3","94","94","94"
"48000","12","12","12","95","95","95"
"48500","11","11","11","96","96","96"
"49000","7","7","7","97","97","97"
"49500","4","4","4","98","98","98"
"50000","11","11","11","99","99","99"
"50500","4","4","4","100","100","100"
"51000","3","3","3","101","101","101"
"51500","15","15","15","102","102","102"
"52000","15","15","15","103","103","103"
"52500","3","3","3","104","104","104"
"53000","10","10","10","105","105","105"
"53500","4","4","4","106","106","106"
"54000","5","5","5","107","107","107"
"54500","8","8","8","108","108","108"
"55000","7","7","7","109","109","109"
"55500","6","6","6","110","110","110"
"56000","6","6","6","111","111","111"
"56500","4","4","4","112","112","112"
"57000","3","3","3","113","113","113"
"57500","10","10","10","114","114","114"
"58000","8","8","8","115","115","115"
"58500","3","3","3","116","116","116"
"59000","15","15","15","117","117","117"
"59500","3","3","3","118","118","118"
"60000","13","13","13","119","119","119"
"60500","14","14","14","120","120","120"
"61000","3","3","3","121","121","121"
"61500","15","15","15","122","122","122"
"62000","11","11","11","123","123","123"
"62500","3","3","3","124","124","124"
"63000","4","4","4","125","125","125"
"63500","3","3","3","126","126","126"
"64000","7","7","7","127","127","127"
"64500","3","3","3","128","128","128"
"65000","15","15","15","129","129","129"
"65500","10","10","10","130","130","130"
"66000","5","5","5","131","131","131"
"66500","4","4","4","132","132","132"
"67000","12","12","12","133","133","133"
"67500","6","6","6","134","134","134"
"68000","13","13","13","135","135","135"
"68500","14","14","14","136","136","136"
"69000","8","8","8","137","137","137"
"69500","5","5","5","138","138","138"
"70000","5","5","5","139","139","139"
"70500","9","9","9","140","140","140"
"71000","3","3","3","141","141","141"
"71500","14","14","14","142","142","142"
"72000","12","12","12","143","143","143"
"72500","14","14","14","144","144","144"
