"global_step","251221_A2C - train/final_feat_cross","251221_A2C - train/final_feat_cross__MIN","251221_A2C - train/final_feat_cross__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"500","2.157909870147705","2.157909870147705","2.157909870147705","0","0","0"
"1000","1.693444013595581","1.693444013595581","1.693444013595581","1","1","1"
"1500","2.0634915828704834","2.0634915828704834","2.0634915828704834","2","2","2"
"2000","1.8367730379104614","1.8367730379104614","1.8367730379104614","3","3","3"
"2500","2.025461196899414","2.025461196899414","2.025461196899414","4","4","4"
"3000","1.8719524145126343","1.8719524145126343","1.8719524145126343","5","5","5"
"3500","2.0572144985198975","2.0572144985198975","2.0572144985198975","6","6","6"
"4000","2.117112159729004","2.117112159729004","2.117112159729004","7","7","7"
"4500","1.6674429178237915","1.6674429178237915","1.6674429178237915","8","8","8"
"5000","1.8037872314453125","1.8037872314453125","1.8037872314453125","9","9","9"
"5500","2.0161495208740234","2.0161495208740234","2.0161495208740234","10","10","10"
"6000","2.2713112831115723","2.2713112831115723","2.2713112831115723","11","11","11"
"6500","2.0606207847595215","2.0606207847595215","2.0606207847595215","12","12","12"
"7000","1.8594120740890503","1.8594120740890503","1.8594120740890503","13","13","13"
"7500","2.044522285461426","2.044522285461426","2.044522285461426","14","14","14"
"8000","2.1991734504699707","2.1991734504699707","2.1991734504699707","15","15","15"
"8500","2.3145625591278076","2.3145625591278076","2.3145625591278076","16","16","16"
"9000","2.4306344985961914","2.4306344985961914","2.4306344985961914","17","17","17"
"9500","2.1590805053710938","2.1590805053710938","2.1590805053710938","18","18","18"
"10000","2.2562055587768555","2.2562055587768555","2.2562055587768555","19","19","19"
"10500","2.1597697734832764","2.1597697734832764","2.1597697734832764","20","20","20"
"11000","2.1738321781158447","2.1738321781158447","2.1738321781158447","21","21","21"
"11500","2.412200927734375","2.412200927734375","2.412200927734375","22","22","22"
"12000","1.8712128400802612","1.8712128400802612","1.8712128400802612","23","23","23"
"12500","2.000439405441284","2.000439405441284","2.000439405441284","24","24","24"
"13000","1.8556101322174072","1.8556101322174072","1.8556101322174072","25","25","25"
"13500","1.7363612651824951","1.7363612651824951","1.7363612651824951","26","26","26"
"14000","2.1152095794677734","2.1152095794677734","2.1152095794677734","27","27","27"
"14500","2.284939765930176","2.284939765930176","2.284939765930176","28","28","28"
"15000","1.9087910652160645","1.9087910652160645","1.9087910652160645","29","29","29"
"15500","2.1027660369873047","2.1027660369873047","2.1027660369873047","30","30","30"
"16000","2.3962597846984863","2.3962597846984863","2.3962597846984863","31","31","31"
"16500","2.07651424407959","2.07651424407959","2.07651424407959","32","32","32"
"17000","2.2065107822418213","2.2065107822418213","2.2065107822418213","33","33","33"
"17500","2.0143940448760986","2.0143940448760986","2.0143940448760986","34","34","34"
"18000","2.233654022216797","2.233654022216797","2.233654022216797","35","35","35"
"18500","2.3511581420898438","2.3511581420898438","2.3511581420898438","36","36","36"
"19000","1.9124783277511597","1.9124783277511597","1.9124783277511597","37","37","37"
"19500","2.047321319580078","2.047321319580078","2.047321319580078","38","38","38"
"20000","2.176969289779663","2.176969289779663","2.176969289779663","39","39","39"
"20500","1.9524937868118286","1.9524937868118286","1.9524937868118286","40","40","40"
"21000","1.8989769220352173","1.8989769220352173","1.8989769220352173","41","41","41"
"21500","1.8882924318313599","1.8882924318313599","1.8882924318313599","42","42","42"
"22000","2.0058140754699707","2.0058140754699707","2.0058140754699707","43","43","43"
"22500","1.8339143991470337","1.8339143991470337","1.8339143991470337","44","44","44"
"23000","2.155930280685425","2.155930280685425","2.155930280685425","45","45","45"
"23500","2.304217576980591","2.304217576980591","2.304217576980591","46","46","46"
"24000","1.9933555126190186","1.9933555126190186","1.9933555126190186","47","47","47"
"24500","1.914367437362671","1.914367437362671","1.914367437362671","48","48","48"
"25000","1.4692189693450928","1.4692189693450928","1.4692189693450928","49","49","49"
"25500","2.057802438735962","2.057802438735962","2.057802438735962","50","50","50"
"26000","1.8453199863433838","1.8453199863433838","1.8453199863433838","51","51","51"
"26500","1.9242600202560425","1.9242600202560425","1.9242600202560425","52","52","52"
"27000","1.8421576023101807","1.8421576023101807","1.8421576023101807","53","53","53"
"27500","2.0399715900421143","2.0399715900421143","2.0399715900421143","54","54","54"
"28000","2.2675955295562744","2.2675955295562744","2.2675955295562744","55","55","55"
"28500","2.130431652069092","2.130431652069092","2.130431652069092","56","56","56"
"29000","2.03108549118042","2.03108549118042","2.03108549118042","57","57","57"
"29500","2.049644947052002","2.049644947052002","2.049644947052002","58","58","58"
"30000","1.6889886856079102","1.6889886856079102","1.6889886856079102","59","59","59"
"30500","2.0992746353149414","2.0992746353149414","2.0992746353149414","60","60","60"
"31000","2.0545644760131836","2.0545644760131836","2.0545644760131836","61","61","61"
"31500","2.300320625305176","2.300320625305176","2.300320625305176","62","62","62"
"32000","1.8709735870361328","1.8709735870361328","1.8709735870361328","63","63","63"
"32500","2.200251579284668","2.200251579284668","2.200251579284668","64","64","64"
"33000","1.9780910015106201","1.9780910015106201","1.9780910015106201","65","65","65"
"33500","2.2660412788391113","2.2660412788391113","2.2660412788391113","66","66","66"
"34000","2.208430051803589","2.208430051803589","2.208430051803589","67","67","67"
"34500","1.812758445739746","1.812758445739746","1.812758445739746","68","68","68"
"35000","1.5964272022247314","1.5964272022247314","1.5964272022247314","69","69","69"
"35500","2.1923322677612305","2.1923322677612305","2.1923322677612305","70","70","70"
"36000","2.2407071590423584","2.2407071590423584","2.2407071590423584","71","71","71"
"36500","1.960421085357666","1.960421085357666","1.960421085357666","72","72","72"
"37000","2.4171011447906494","2.4171011447906494","2.4171011447906494","73","73","73"
"37500","1.8856687545776367","1.8856687545776367","1.8856687545776367","74","74","74"
"38000","1.9582988023757935","1.9582988023757935","1.9582988023757935","75","75","75"
"38500","2.1161985397338867","2.1161985397338867","2.1161985397338867","76","76","76"
"39000","2.0939881801605225","2.0939881801605225","2.0939881801605225","77","77","77"
"39500","2.0896382331848145","2.0896382331848145","2.0896382331848145","78","78","78"
"40000","2.1235506534576416","2.1235506534576416","2.1235506534576416","79","79","79"
"40500","1.8851351737976074","1.8851351737976074","1.8851351737976074","80","80","80"
"41000","2.0623135566711426","2.0623135566711426","2.0623135566711426","81","81","81"
"41500","1.9180083274841309","1.9180083274841309","1.9180083274841309","82","82","82"
"42000","2.3812553882598877","2.3812553882598877","2.3812553882598877","83","83","83"
"42500","2.1880764961242676","2.1880764961242676","2.1880764961242676","84","84","84"
"43000","1.3677676916122437","1.3677676916122437","1.3677676916122437","85","85","85"
"43500","2.0970704555511475","2.0970704555511475","2.0970704555511475","86","86","86"
"44000","2.1269261837005615","2.1269261837005615","2.1269261837005615","87","87","87"
"44500","2.1329286098480225","2.1329286098480225","2.1329286098480225","88","88","88"
"45000","2.1035144329071045","2.1035144329071045","2.1035144329071045","89","89","89"
"45500","2.183756113052368","2.183756113052368","2.183756113052368","90","90","90"
"46000","2.0136892795562744","2.0136892795562744","2.0136892795562744","91","91","91"
"46500","2.0638983249664307","2.0638983249664307","2.0638983249664307","92","92","92"
"47000","2.083437919616699","2.083437919616699","2.083437919616699","93","93","93"
"47500","2.019153118133545","2.019153118133545","2.019153118133545","94","94","94"
"48000","2.0671210289001465","2.0671210289001465","2.0671210289001465","95","95","95"
"48500","1.8687351942062378","1.8687351942062378","1.8687351942062378","96","96","96"
"49000","1.707475185394287","1.707475185394287","1.707475185394287","97","97","97"
"49500","2.172511339187622","2.172511339187622","2.172511339187622","98","98","98"
"50000","2.1358225345611572","2.1358225345611572","2.1358225345611572","99","99","99"
"50500","1.8476200103759766","1.8476200103759766","1.8476200103759766","100","100","100"
"51000","2.281437873840332","2.281437873840332","2.281437873840332","101","101","101"
"51500","2.1641101837158203","2.1641101837158203","2.1641101837158203","102","102","102"
"52000","1.9868433475494385","1.9868433475494385","1.9868433475494385","103","103","103"
"52500","2.15254545211792","2.15254545211792","2.15254545211792","104","104","104"
"53000","2.1173994541168213","2.1173994541168213","2.1173994541168213","105","105","105"
"53500","1.579074740409851","1.579074740409851","1.579074740409851","106","106","106"
"54000","2.041506290435791","2.041506290435791","2.041506290435791","107","107","107"
"54500","1.8734773397445679","1.8734773397445679","1.8734773397445679","108","108","108"
"55000","2.2196133136749268","2.2196133136749268","2.2196133136749268","109","109","109"
"55500","1.9601870775222778","1.9601870775222778","1.9601870775222778","110","110","110"
"56000","1.8794394731521606","1.8794394731521606","1.8794394731521606","111","111","111"
"56500","1.9480924606323242","1.9480924606323242","1.9480924606323242","112","112","112"
"57000","2.23747181892395","2.23747181892395","2.23747181892395","113","113","113"
"57500","1.999121904373169","1.999121904373169","1.999121904373169","114","114","114"
"58000","2.053008794784546","2.053008794784546","2.053008794784546","115","115","115"
"58500","1.6717981100082397","1.6717981100082397","1.6717981100082397","116","116","116"
"59000","1.8416606187820435","1.8416606187820435","1.8416606187820435","117","117","117"
"59500","2.3013222217559814","2.3013222217559814","2.3013222217559814","118","118","118"
"60000","1.9154990911483765","1.9154990911483765","1.9154990911483765","119","119","119"
"60500","2.3979034423828125","2.3979034423828125","2.3979034423828125","120","120","120"
"61000","1.5802323818206787","1.5802323818206787","1.5802323818206787","121","121","121"
"61500","2.142324447631836","2.142324447631836","2.142324447631836","122","122","122"
"62000","1.9005626440048218","1.9005626440048218","1.9005626440048218","123","123","123"
"62500","2.021050453186035","2.021050453186035","2.021050453186035","124","124","124"
"63000","1.7218029499053955","1.7218029499053955","1.7218029499053955","125","125","125"
"63500","2.0987422466278076","2.0987422466278076","2.0987422466278076","126","126","126"
"64000","2.3626742362976074","2.3626742362976074","2.3626742362976074","127","127","127"
"64500","2.1878154277801514","2.1878154277801514","2.1878154277801514","128","128","128"
"65000","2.09867262840271","2.09867262840271","2.09867262840271","129","129","129"
"65500","2.0340685844421387","2.0340685844421387","2.0340685844421387","130","130","130"
"66000","2.1499855518341064","2.1499855518341064","2.1499855518341064","131","131","131"
"66500","1.7439547777175903","1.7439547777175903","1.7439547777175903","132","132","132"
"67000","2.059825897216797","2.059825897216797","2.059825897216797","133","133","133"
"67500","2.093442916870117","2.093442916870117","2.093442916870117","134","134","134"
