"global_step","251221_A2C - train/final_episode_iou","251221_A2C - train/final_episode_iou__MIN","251221_A2C - train/final_episode_iou__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"500","0.2684909999370575","0.2684909999370575","0.2684909999370575","0","0","0"
"1000","0.287359356880188","0.287359356880188","0.287359356880188","1","1","1"
"1500","0.16549821197986603","0.16549821197986603","0.16549821197986603","2","2","2"
"2000","0.3725629150867462","0.3725629150867462","0.3725629150867462","3","3","3"
"2500","0.2757452428340912","0.2757452428340912","0.2757452428340912","4","4","4"
"3000","0.10390356183052063","0.10390356183052063","0.10390356183052063","5","5","5"
"3500","0.4860817492008209","0.4860817492008209","0.4860817492008209","6","6","6"
"4000","0.3217276334762573","0.3217276334762573","0.3217276334762573","7","7","7"
"4500","0.29657214879989624","0.29657214879989624","0.29657214879989624","8","8","8"
"5000","0.44846677780151367","0.44846677780151367","0.44846677780151367","9","9","9"
"5500","0.35350868105888367","0.35350868105888367","0.35350868105888367","10","10","10"
"6000","0.2834208011627197","0.2834208011627197","0.2834208011627197","11","11","11"
"6500","0.32990479469299316","0.32990479469299316","0.32990479469299316","12","12","12"
"7000","0.4166739284992218","0.4166739284992218","0.4166739284992218","13","13","13"
"7500","0.3813028335571289","0.3813028335571289","0.3813028335571289","14","14","14"
"8000","0.30025702714920044","0.30025702714920044","0.30025702714920044","15","15","15"
"8500","0.138391375541687","0.138391375541687","0.138391375541687","16","16","16"
"9000","0.09551886469125748","0.09551886469125748","0.09551886469125748","17","17","17"
"9500","0.40161949396133423","0.40161949396133423","0.40161949396133423","18","18","18"
"10000","0.18235690891742706","0.18235690891742706","0.18235690891742706","19","19","19"
"10500","0.2676324248313904","0.2676324248313904","0.2676324248313904","20","20","20"
"11000","0.10106091946363449","0.10106091946363449","0.10106091946363449","21","21","21"
"11500","0.09001447260379791","0.09001447260379791","0.09001447260379791","22","22","22"
"12000","0.3659019470214844","0.3659019470214844","0.3659019470214844","23","23","23"
"12500","0.3499475419521332","0.3499475419521332","0.3499475419521332","24","24","24"
"13000","0.39849749207496643","0.39849749207496643","0.39849749207496643","25","25","25"
"13500","0.2585258483886719","0.2585258483886719","0.2585258483886719","26","26","26"
"14000","0.37029320001602173","0.37029320001602173","0.37029320001602173","27","27","27"
"14500","0.1805008053779602","0.1805008053779602","0.1805008053779602","28","28","28"
"15000","0.14321431517601013","0.14321431517601013","0.14321431517601013","29","29","29"
"15500","0.17624327540397644","0.17624327540397644","0.17624327540397644","30","30","30"
"16000","0.3110685348510742","0.3110685348510742","0.3110685348510742","31","31","31"
"16500","0.11863671988248825","0.11863671988248825","0.11863671988248825","32","32","32"
"17000","0.3742179870605469","0.3742179870605469","0.3742179870605469","33","33","33"
"17500","0.25977474451065063","0.25977474451065063","0.25977474451065063","34","34","34"
"18000","0.2437819391489029","0.2437819391489029","0.2437819391489029","35","35","35"
"18500","0.13773861527442932","0.13773861527442932","0.13773861527442932","36","36","36"
"19000","0.3387001156806946","0.3387001156806946","0.3387001156806946","37","37","37"
"19500","0.4183112382888794","0.4183112382888794","0.4183112382888794","38","38","38"
"20000","0.35834434628486633","0.35834434628486633","0.35834434628486633","39","39","39"
"20500","0.3403993546962738","0.3403993546962738","0.3403993546962738","40","40","40"
"21000","0.3166944980621338","0.3166944980621338","0.3166944980621338","41","41","41"
"21500","0.26795780658721924","0.26795780658721924","0.26795780658721924","42","42","42"
"22000","0.22432701289653778","0.22432701289653778","0.22432701289653778","43","43","43"
"22500","0.39444875717163086","0.39444875717163086","0.39444875717163086","44","44","44"
"23000","0.22681613266468048","0.22681613266468048","0.22681613266468048","45","45","45"
"23500","0.2223661094903946","0.2223661094903946","0.2223661094903946","46","46","46"
"24000","0.192345529794693","0.192345529794693","0.192345529794693","47","47","47"
"24500","0.2124713659286499","0.2124713659286499","0.2124713659286499","48","48","48"
"25000","0.3459782004356384","0.3459782004356384","0.3459782004356384","49","49","49"
"25500","0.31345826387405396","0.31345826387405396","0.31345826387405396","50","50","50"
"26000","0.37748292088508606","0.37748292088508606","0.37748292088508606","51","51","51"
"26500","0.4645441472530365","0.4645441472530365","0.4645441472530365","52","52","52"
"27000","0.3506777584552765","0.3506777584552765","0.3506777584552765","53","53","53"
"27500","0.1152283251285553","0.1152283251285553","0.1152283251285553","54","54","54"
"28000","0.09691905975341797","0.09691905975341797","0.09691905975341797","55","55","55"
"28500","0.2285095602273941","0.2285095602273941","0.2285095602273941","56","56","56"
"29000","0.29809027910232544","0.29809027910232544","0.29809027910232544","57","57","57"
"29500","0.2479386329650879","0.2479386329650879","0.2479386329650879","58","58","58"
"30000","0.3187715411186218","0.3187715411186218","0.3187715411186218","59","59","59"
"30500","0.16908466815948486","0.16908466815948486","0.16908466815948486","60","60","60"
"31000","0.15254412591457367","0.15254412591457367","0.15254412591457367","61","61","61"
"31500","0.11315318942070007","0.11315318942070007","0.11315318942070007","62","62","62"
"32000","0.3015344738960266","0.3015344738960266","0.3015344738960266","63","63","63"
"32500","0.15386508405208588","0.15386508405208588","0.15386508405208588","64","64","64"
"33000","0.14817111194133759","0.14817111194133759","0.14817111194133759","65","65","65"
"33500","0.33122676610946655","0.33122676610946655","0.33122676610946655","66","66","66"
"34000","0.3036733865737915","0.3036733865737915","0.3036733865737915","67","67","67"
"34500","0.308918297290802","0.308918297290802","0.308918297290802","68","68","68"
"35000","0.3045310080051422","0.3045310080051422","0.3045310080051422","69","69","69"
"35500","0.27091464400291443","0.27091464400291443","0.27091464400291443","70","70","70"
"36000","0.16370145976543427","0.16370145976543427","0.16370145976543427","71","71","71"
"36500","0.2108183056116104","0.2108183056116104","0.2108183056116104","72","72","72"
"37000","0.22669310867786407","0.22669310867786407","0.22669310867786407","73","73","73"
"37500","0.39449378848075867","0.39449378848075867","0.39449378848075867","74","74","74"
"38000","0.5013831257820129","0.5013831257820129","0.5013831257820129","75","75","75"
"38500","0.38440337777137756","0.38440337777137756","0.38440337777137756","76","76","76"
"39000","0.4014475345611572","0.4014475345611572","0.4014475345611572","77","77","77"
"39500","0.335643470287323","0.335643470287323","0.335643470287323","78","78","78"
"40000","0.335448682308197","0.335448682308197","0.335448682308197","79","79","79"
"40500","0.26687613129615784","0.26687613129615784","0.26687613129615784","80","80","80"
"41000","0.21827371418476105","0.21827371418476105","0.21827371418476105","81","81","81"
"41500","0.4702554941177368","0.4702554941177368","0.4702554941177368","82","82","82"
"42000","0.2880699634552002","0.2880699634552002","0.2880699634552002","83","83","83"
"42500","0.2015252411365509","0.2015252411365509","0.2015252411365509","84","84","84"
"43000","0.25385406613349915","0.25385406613349915","0.25385406613349915","85","85","85"
"43500","0.20392157137393951","0.20392157137393951","0.20392157137393951","86","86","86"
"44000","0.20734542608261108","0.20734542608261108","0.20734542608261108","87","87","87"
"44500","0.15462727844715118","0.15462727844715118","0.15462727844715118","88","88","88"
"45000","0.24939510226249695","0.24939510226249695","0.24939510226249695","89","89","89"
