"global_step","251221_A2C - train/explained_variance","251221_A2C - train/explained_variance__MIN","251221_A2C - train/explained_variance__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"500","-0.0054732561111450195","-0.0054732561111450195","-0.0054732561111450195","0","0","0"
"1000","-0.9854609966278076","-0.9854609966278076","-0.9854609966278076","1","1","1"
"1500","-0.028777122497558594","-0.028777122497558594","-0.028777122497558594","2","2","2"
"2000","0.0015810132026672363","0.0015810132026672363","0.0015810132026672363","3","3","3"
"2500","-0.0009561777114868164","-0.0009561777114868164","-0.0009561777114868164","4","4","4"
"3000","-0.16566884517669678","-0.16566884517669678","-0.16566884517669678","5","5","5"
"3500","-0.1102985143661499","-0.1102985143661499","-0.1102985143661499","6","6","6"
"4000","-0.0032232999801635742","-0.0032232999801635742","-0.0032232999801635742","7","7","7"
"4500","0.009943902492523193","0.009943902492523193","0.009943902492523193","8","8","8"
"5000","0.009004056453704834","0.009004056453704834","0.009004056453704834","9","9","9"
"5500","-1.1063880920410156","-1.1063880920410156","-1.1063880920410156","10","10","10"
"6000","-0.06688916683197021","-0.06688916683197021","-0.06688916683197021","11","11","11"
"6500","-0.002866506576538086","-0.002866506576538086","-0.002866506576538086","12","12","12"
"7000","0.3530350923538208","0.3530350923538208","0.3530350923538208","13","13","13"
"7500","0.001135408878326416","0.001135408878326416","0.001135408878326416","14","14","14"
"8000","-0.02491903305053711","-0.02491903305053711","-0.02491903305053711","15","15","15"
"8500","0.014949381351470947","0.014949381351470947","0.014949381351470947","16","16","16"
"9000","-0.01059103012084961","-0.01059103012084961","-0.01059103012084961","17","17","17"
"9500","0","0","0","18","18","18"
"10000","-0.00010526180267333984","-0.00010526180267333984","-0.00010526180267333984","19","19","19"
"10500","0.4722737669944763","0.4722737669944763","0.4722737669944763","20","20","20"
"11000","-0.058965325355529785","-0.058965325355529785","-0.058965325355529785","21","21","21"
"11500","-0.014428853988647461","-0.014428853988647461","-0.014428853988647461","22","22","22"
"12000","-0.02299034595489502","-0.02299034595489502","-0.02299034595489502","23","23","23"
"12500","-0.0015503168106079102","-0.0015503168106079102","-0.0015503168106079102","24","24","24"
"13000","-0.3568570613861084","-0.3568570613861084","-0.3568570613861084","25","25","25"
"13500","0.09035241603851318","0.09035241603851318","0.09035241603851318","26","26","26"
"14000","-0.012833595275878906","-0.012833595275878906","-0.012833595275878906","27","27","27"
"14500","-0.08682739734649658","-0.08682739734649658","-0.08682739734649658","28","28","28"
"15000","-0.003110647201538086","-0.003110647201538086","-0.003110647201538086","29","29","29"
"15500","-0.41369712352752686","-0.41369712352752686","-0.41369712352752686","30","30","30"
"16000","-0.07190024852752686","-0.07190024852752686","-0.07190024852752686","31","31","31"
"16500","0.07245045900344849","0.07245045900344849","0.07245045900344849","32","32","32"
"17000","-0.00859212875366211","-0.00859212875366211","-0.00859212875366211","33","33","33"
"17500","0.016446590423583984","0.016446590423583984","0.016446590423583984","34","34","34"
"18000","-0.0298001766204834","-0.0298001766204834","-0.0298001766204834","35","35","35"
"18500","-0.020090818405151367","-0.020090818405151367","-0.020090818405151367","36","36","36"
"19000","0.5245304107666016","0.5245304107666016","0.5245304107666016","37","37","37"
"19500","-0.22306358814239502","-0.22306358814239502","-0.22306358814239502","38","38","38"
"20000","-0.11669206619262695","-0.11669206619262695","-0.11669206619262695","39","39","39"
"20500","-0.016999363899230957","-0.016999363899230957","-0.016999363899230957","40","40","40"
"21000","-0.1213231086730957","-0.1213231086730957","-0.1213231086730957","41","41","41"
"21500","-0.4733846187591553","-0.4733846187591553","-0.4733846187591553","42","42","42"
"22000","-0.3952823877334595","-0.3952823877334595","-0.3952823877334595","43","43","43"
"22500","-0.007965326309204102","-0.007965326309204102","-0.007965326309204102","44","44","44"
"23000","0","0","0","45","45","45"
"23500","0.08696067333221436","0.08696067333221436","0.08696067333221436","46","46","46"
"24000","0","0","0","47","47","47"
"24500","0.12870162725448608","0.12870162725448608","0.12870162725448608","48","48","48"
"25000","-0.2848163843154907","-0.2848163843154907","-0.2848163843154907","49","49","49"
"25500","0.004781782627105713","0.004781782627105713","0.004781782627105713","50","50","50"
"26000","-0.00043511390686035156","-0.00043511390686035156","-0.00043511390686035156","51","51","51"
"26500","0","0","0","52","52","52"
"27000","-0.06482279300689697","-0.06482279300689697","-0.06482279300689697","53","53","53"
"27500","0.05757009983062744","0.05757009983062744","0.05757009983062744","54","54","54"
"28000","0.0037886500358581543","0.0037886500358581543","0.0037886500358581543","55","55","55"
"28500","0.012954115867614746","0.012954115867614746","0.012954115867614746","56","56","56"
"29000","-18.570192337036133","-18.570192337036133","-18.570192337036133","57","57","57"
"29500","5.960464477539063e-8","5.960464477539063e-8","5.960464477539063e-8","58","58","58"
"30000","0.06239598989486694","0.06239598989486694","0.06239598989486694","59","59","59"
"30500","0.18254321813583374","0.18254321813583374","0.18254321813583374","60","60","60"
"31000","-14.076383590698242","-14.076383590698242","-14.076383590698242","61","61","61"
"31500","-1.2241623401641846","-1.2241623401641846","-1.2241623401641846","62","62","62"
"32000","0.005709052085876465","0.005709052085876465","0.005709052085876465","63","63","63"
"32500","-0.5782054662704468","-0.5782054662704468","-0.5782054662704468","64","64","64"
"33000","0.15011334419250488","0.15011334419250488","0.15011334419250488","65","65","65"
"33500","0.14160537719726562","0.14160537719726562","0.14160537719726562","66","66","66"
"34000","0.11222243309020996","0.11222243309020996","0.11222243309020996","67","67","67"
"34500","-0.3217121362686157","-0.3217121362686157","-0.3217121362686157","68","68","68"
"35000","-1.5224103927612305","-1.5224103927612305","-1.5224103927612305","69","69","69"
"35500","-0.04355216026306152","-0.04355216026306152","-0.04355216026306152","70","70","70"
"36000","-0.20921814441680908","-0.20921814441680908","-0.20921814441680908","71","71","71"
"36500","0.0018519163131713867","0.0018519163131713867","0.0018519163131713867","72","72","72"
"37000","-0.0054433345794677734","-0.0054433345794677734","-0.0054433345794677734","73","73","73"
"37500","-0.010161161422729492","-0.010161161422729492","-0.010161161422729492","74","74","74"
"38000","-0.009778857231140137","-0.009778857231140137","-0.009778857231140137","75","75","75"
"38500","0","0","0","76","76","76"
"39000","0.00008440017700195312","0.00008440017700195312","0.00008440017700195312","77","77","77"
"39500","0.0006328821182250977","0.0006328821182250977","0.0006328821182250977","78","78","78"
"40000","-0.03973889350891113","-0.03973889350891113","-0.03973889350891113","79","79","79"
"40500","-0.0017458200454711914","-0.0017458200454711914","-0.0017458200454711914","80","80","80"
"41000","-0.0006418228149414062","-0.0006418228149414062","-0.0006418228149414062","81","81","81"
"41500","-0.12205803394317627","-0.12205803394317627","-0.12205803394317627","82","82","82"
"42000","-0.004635810852050781","-0.004635810852050781","-0.004635810852050781","83","83","83"
"42500","0.028766989707946777","0.028766989707946777","0.028766989707946777","84","84","84"
"43000","0.04230433702468872","0.04230433702468872","0.04230433702468872","85","85","85"
"43500","-0.8565412759780884","-0.8565412759780884","-0.8565412759780884","86","86","86"
"44000","0.19115018844604492","0.19115018844604492","0.19115018844604492","87","87","87"
"44500","0.0023406147956848145","0.0023406147956848145","0.0023406147956848145","88","88","88"
"45000","-0.027345776557922363","-0.027345776557922363","-0.027345776557922363","89","89","89"
"45500","-0.009583115577697754","-0.009583115577697754","-0.009583115577697754","90","90","90"
"46000","0.03800392150878906","0.03800392150878906","0.03800392150878906","91","91","91"
"46500","-0.013972997665405273","-0.013972997665405273","-0.013972997665405273","92","92","92"
"47000","-0.6294511556625366","-0.6294511556625366","-0.6294511556625366","93","93","93"
"47500","0.1068297028541565","0.1068297028541565","0.1068297028541565","94","94","94"
"48000","0.05316197872161865","0.05316197872161865","0.05316197872161865","95","95","95"
"48500","0.06905186176300049","0.06905186176300049","0.06905186176300049","96","96","96"
"49000","-0.08006703853607178","-0.08006703853607178","-0.08006703853607178","97","97","97"
"49500","0","0","0","98","98","98"
"50000","0.0644029974937439","0.0644029974937439","0.0644029974937439","99","99","99"
"50500","0.04876011610031128","0.04876011610031128","0.04876011610031128","100","100","100"
"51000","-0.0023005008697509766","-0.0023005008697509766","-0.0023005008697509766","101","101","101"
"51500","-0.08778393268585205","-0.08778393268585205","-0.08778393268585205","102","102","102"
"52000","-0.0002695322036743164","-0.0002695322036743164","-0.0002695322036743164","103","103","103"
"52500","0.006315827369689941","0.006315827369689941","0.006315827369689941","104","104","104"
"53000","-1.3027994632720947","-1.3027994632720947","-1.3027994632720947","105","105","105"
"53500","-0.10057389736175537","-0.10057389736175537","-0.10057389736175537","106","106","106"
"54000","0.029477477073669434","0.029477477073669434","0.029477477073669434","107","107","107"
"54500","-0.18682396411895752","-0.18682396411895752","-0.18682396411895752","108","108","108"
"55000","0.057552218437194824","0.057552218437194824","0.057552218437194824","109","109","109"
"55500","-0.06662154197692871","-0.06662154197692871","-0.06662154197692871","110","110","110"
"56000","0.5758091807365417","0.5758091807365417","0.5758091807365417","111","111","111"
"56500","-0.04574143886566162","-0.04574143886566162","-0.04574143886566162","112","112","112"
"57000","0","0","0","113","113","113"
"57500","-0.7462027072906494","-0.7462027072906494","-0.7462027072906494","114","114","114"
"58000","0.3664745092391968","0.3664745092391968","0.3664745092391968","115","115","115"
"58500","-0.015369415283203125","-0.015369415283203125","-0.015369415283203125","116","116","116"
"59000","-0.04758906364440918","-0.04758906364440918","-0.04758906364440918","117","117","117"
"59500","-0.14838969707489014","-0.14838969707489014","-0.14838969707489014","118","118","118"
"60000","-0.4639735221862793","-0.4639735221862793","-0.4639735221862793","119","119","119"
"60500","0.4278552532196045","0.4278552532196045","0.4278552532196045","120","120","120"
"61000","-0.32239317893981934","-0.32239317893981934","-0.32239317893981934","121","121","121"
"61500","0.03907144069671631","0.03907144069671631","0.03907144069671631","122","122","122"
"62000","0.03393429517745972","0.03393429517745972","0.03393429517745972","123","123","123"
"62500","-0.0013382434844970703","-0.0013382434844970703","-0.0013382434844970703","124","124","124"
"63000","0.569858968257904","0.569858968257904","0.569858968257904","125","125","125"
"63500","-0.00507199764251709","-0.00507199764251709","-0.00507199764251709","126","126","126"
"64000","-1.9818344116210938","-1.9818344116210938","-1.9818344116210938","127","127","127"
"64500","0.06135326623916626","0.06135326623916626","0.06135326623916626","128","128","128"
"65000","-0.005870223045349121","-0.005870223045349121","-0.005870223045349121","129","129","129"
"65500","-5.204920768737793","-5.204920768737793","-5.204920768737793","130","130","130"
"66000","-0.11720907688140869","-0.11720907688140869","-0.11720907688140869","131","131","131"
"66500","0.05427747964859009","0.05427747964859009","0.05427747964859009","132","132","132"
"67000","-0.02862715721130371","-0.02862715721130371","-0.02862715721130371","133","133","133"
"67500","-0.44641995429992676","-0.44641995429992676","-0.44641995429992676","134","134","134"
"68000","0.008893847465515137","0.008893847465515137","0.008893847465515137","135","135","135"
"68500","0.0310247540473938","0.0310247540473938","0.0310247540473938","136","136","136"
"69000","0.002602815628051758","0.002602815628051758","0.002602815628051758","137","137","137"
"69500","-0.10866928100585938","-0.10866928100585938","-0.10866928100585938","138","138","138"
"70000","0.008073270320892334","0.008073270320892334","0.008073270320892334","139","139","139"
"70500","0.05147838592529297","0.05147838592529297","0.05147838592529297","140","140","140"
"71000","0","0","0","141","141","141"
"71500","-0.16384875774383545","-0.16384875774383545","-0.16384875774383545","142","142","142"
"72000","0.4264819025993347","0.4264819025993347","0.4264819025993347","143","143","143"
"72500","0.0695374608039856","0.0695374608039856","0.0695374608039856","144","144","144"
"73000","-0.0067288875579833984","-0.0067288875579833984","-0.0067288875579833984","145","145","145"
"73500","-0.021579623222351074","-0.021579623222351074","-0.021579623222351074","146","146","146"
"74000","-0.06503486633300781","-0.06503486633300781","-0.06503486633300781","147","147","147"
"74500","0.03699690103530884","0.03699690103530884","0.03699690103530884","148","148","148"
"75000","0.12687480449676514","0.12687480449676514","0.12687480449676514","149","149","149"
"75500","-0.10169672966003418","-0.10169672966003418","-0.10169672966003418","150","150","150"
"76000","0.07029253244400024","0.07029253244400024","0.07029253244400024","151","151","151"
"76500","-0.0021822452545166016","-0.0021822452545166016","-0.0021822452545166016","152","152","152"
"77000","0","0","0","153","153","153"
"77500","0.023661375045776367","0.023661375045776367","0.023661375045776367","154","154","154"
"78000","0","0","0","155","155","155"
"78500","-0.004475593566894531","-0.004475593566894531","-0.004475593566894531","156","156","156"
"79000","-0.0011044740676879883","-0.0011044740676879883","-0.0011044740676879883","157","157","157"
"79500","0","0","0","158","158","158"
"80000","-0.023409008979797363","-0.023409008979797363","-0.023409008979797363","159","159","159"
"80500","-4.190922260284424","-4.190922260284424","-4.190922260284424","160","160","160"
"81000","-0.0002797842025756836","-0.0002797842025756836","-0.0002797842025756836","161","161","161"
"81500","0.016064822673797607","0.016064822673797607","0.016064822673797607","162","162","162"
"82000","0.024276018142700195","0.024276018142700195","0.024276018142700195","163","163","163"
"82500","-0.17014336585998535","-0.17014336585998535","-0.17014336585998535","164","164","164"
"83000","0.21884292364120483","0.21884292364120483","0.21884292364120483","165","165","165"
"83500","-0.03215062618255615","-0.03215062618255615","-0.03215062618255615","166","166","166"
"84000","-0.004633426666259766","-0.004633426666259766","-0.004633426666259766","167","167","167"
"84500","0","0","0","168","168","168"
"85000","-0.02346038818359375","-0.02346038818359375","-0.02346038818359375","169","169","169"
"85500","-0.015530228614807129","-0.015530228614807129","-0.015530228614807129","170","170","170"
"86000","0.005724668502807617","0.005724668502807617","0.005724668502807617","171","171","171"
"86500","0.01999044418334961","0.01999044418334961","0.01999044418334961","172","172","172"
"87000","0.004648149013519287","0.004648149013519287","0.004648149013519287","173","173","173"
"87500","0.016679048538208008","0.016679048538208008","0.016679048538208008","174","174","174"
"88000","0","0","0","175","175","175"
"88500","-0.002966642379760742","-0.002966642379760742","-0.002966642379760742","176","176","176"
"89000","0.059593021869659424","0.059593021869659424","0.059593021869659424","177","177","177"
"89500","0.06189459562301636","0.06189459562301636","0.06189459562301636","178","178","178"
"90000","0.0002257227897644043","0.0002257227897644043","0.0002257227897644043","179","179","179"
"90500","0.05283910036087036","0.05283910036087036","0.05283910036087036","180","180","180"
"91000","-0.020153522491455078","-0.020153522491455078","-0.020153522491455078","181","181","181"
"91500","0.0187833309173584","0.0187833309173584","0.0187833309173584","182","182","182"
"92000","0.30474233627319336","0.30474233627319336","0.30474233627319336","183","183","183"
"92500","-0.326066255569458","-0.326066255569458","-0.326066255569458","184","184","184"
"93000","-0.024703264236450195","-0.024703264236450195","-0.024703264236450195","185","185","185"
"93500","0.03587907552719116","0.03587907552719116","0.03587907552719116","186","186","186"
"94000","-0.6583337783813477","-0.6583337783813477","-0.6583337783813477","187","187","187"
"94500","0.21000021696090698","0.21000021696090698","0.21000021696090698","188","188","188"
"95000","-0.09316062927246094","-0.09316062927246094","-0.09316062927246094","189","189","189"
"95500","0.30109506845474243","0.30109506845474243","0.30109506845474243","190","190","190"
"96000","-0.06802952289581299","-0.06802952289581299","-0.06802952289581299","191","191","191"
"96500","-1.098140001296997","-1.098140001296997","-1.098140001296997","192","192","192"
"97000","-1.4511733055114746","-1.4511733055114746","-1.4511733055114746","193","193","193"
"97500","0.1580585241317749","0.1580585241317749","0.1580585241317749","194","194","194"
"98000","-0.02795696258544922","-0.02795696258544922","-0.02795696258544922","195","195","195"
"98500","5.960464477539063e-8","5.960464477539063e-8","5.960464477539063e-8","196","196","196"
"99000","-0.007599234580993652","-0.007599234580993652","-0.007599234580993652","197","197","197"
"99500","-0.0007663965225219727","-0.0007663965225219727","-0.0007663965225219727","198","198","198"
"100000","-0.015172958374023438","-0.015172958374023438","-0.015172958374023438","199","199","199"
"100500","-0.028134584426879883","-0.028134584426879883","-0.028134584426879883","200","200","200"
"101000","0.009860813617706299","0.009860813617706299","0.009860813617706299","201","201","201"
"101500","0","0","0","202","202","202"
"102000","0.194008469581604","0.194008469581604","0.194008469581604","203","203","203"
"102500","-0.15141260623931885","-0.15141260623931885","-0.15141260623931885","204","204","204"
"103000","0.04039126634597778","0.04039126634597778","0.04039126634597778","205","205","205"
"103500","-0.021091341972351074","-0.021091341972351074","-0.021091341972351074","206","206","206"
"104000","-0.5978041887283325","-0.5978041887283325","-0.5978041887283325","207","207","207"
"104500","-0.005271434783935547","-0.005271434783935547","-0.005271434783935547","208","208","208"
"105000","0.0029303431510925293","0.0029303431510925293","0.0029303431510925293","209","209","209"
"105500","0.00162583589553833","0.00162583589553833","0.00162583589553833","210","210","210"
"106000","0","0","0","211","211","211"
"106500","-0.02281010150909424","-0.02281010150909424","-0.02281010150909424","212","212","212"
"107000","0.0031440258026123047","0.0031440258026123047","0.0031440258026123047","213","213","213"
"107500","-0.0010104179382324219","-0.0010104179382324219","-0.0010104179382324219","214","214","214"
"108000","0.025743424892425537","0.025743424892425537","0.025743424892425537","215","215","215"
"108500","0.04041099548339844","0.04041099548339844","0.04041099548339844","216","216","216"
"109000","-0.01789867877960205","-0.01789867877960205","-0.01789867877960205","217","217","217"
"109500","0","0","0","218","218","218"
"110000","0","0","0","219","219","219"
"110500","0.01929652690887451","0.01929652690887451","0.01929652690887451","220","220","220"
"111000","0.18757480382919312","0.18757480382919312","0.18757480382919312","221","221","221"
"111500","0.12001341581344604","0.12001341581344604","0.12001341581344604","222","222","222"
"112000","0","0","0","223","223","223"
"112500","0.006052672863006592","0.006052672863006592","0.006052672863006592","224","224","224"
"113000","0.023436903953552246","0.023436903953552246","0.023436903953552246","225","225","225"
"113500","0.05865758657455444","0.05865758657455444","0.05865758657455444","226","226","226"
"114000","0.020737886428833008","0.020737886428833008","0.020737886428833008","227","227","227"
"114500","0","0","0","228","228","228"
"115000","-0.19836878776550293","-0.19836878776550293","-0.19836878776550293","229","229","229"
"115500","-0.14002490043640137","-0.14002490043640137","-0.14002490043640137","230","230","230"
"116000","-0.1532663106918335","-0.1532663106918335","-0.1532663106918335","231","231","231"
"116500","-0.06589055061340332","-0.06589055061340332","-0.06589055061340332","232","232","232"
"117000","-0.05946493148803711","-0.05946493148803711","-0.05946493148803711","233","233","233"
"117500","-1.8354406356811523","-1.8354406356811523","-1.8354406356811523","234","234","234"
"118000","0.24430030584335327","0.24430030584335327","0.24430030584335327","235","235","235"
"118500","0.009525060653686523","0.009525060653686523","0.009525060653686523","236","236","236"
"119000","0.28430724143981934","0.28430724143981934","0.28430724143981934","237","237","237"
"119500","-0.008404135704040527","-0.008404135704040527","-0.008404135704040527","238","238","238"
"120000","0","0","0","239","239","239"
"120500","0.13268524408340454","0.13268524408340454","0.13268524408340454","240","240","240"
"121000","-0.0001062154769897461","-0.0001062154769897461","-0.0001062154769897461","241","241","241"
"121500","-0.003821849822998047","-0.003821849822998047","-0.003821849822998047","242","242","242"
"122000","-0.0021369457244873047","-0.0021369457244873047","-0.0021369457244873047","243","243","243"
"122500","0","0","0","244","244","244"
"123000","-0.07054638862609863","-0.07054638862609863","-0.07054638862609863","245","245","245"
"123500","0.0024954676628112793","0.0024954676628112793","0.0024954676628112793","246","246","246"
"124000","0.00025975704193115234","0.00025975704193115234","0.00025975704193115234","247","247","247"
"124500","-0.041640281677246094","-0.041640281677246094","-0.041640281677246094","248","248","248"
"125000","-0.006377577781677246","-0.006377577781677246","-0.006377577781677246","249","249","249"
"125500","-0.0010886192321777344","-0.0010886192321777344","-0.0010886192321777344","250","250","250"
"126000","-0.049642324447631836","-0.049642324447631836","-0.049642324447631836","251","251","251"
"126500","-0.017168521881103516","-0.017168521881103516","-0.017168521881103516","252","252","252"
"127000","-0.0007560253143310547","-0.0007560253143310547","-0.0007560253143310547","253","253","253"
"127500","0.004692971706390381","0.004692971706390381","0.004692971706390381","254","254","254"
"128000","-0.00396120548248291","-0.00396120548248291","-0.00396120548248291","255","255","255"
"128500","0.010372400283813477","0.010372400283813477","0.010372400283813477","256","256","256"
"129000","0.1553472876548767","0.1553472876548767","0.1553472876548767","257","257","257"
"129500","0.001017928123474121","0.001017928123474121","0.001017928123474121","258","258","258"
"130000","-0.002815723419189453","-0.002815723419189453","-0.002815723419189453","259","259","259"
"130500","0.22809606790542603","0.22809606790542603","0.22809606790542603","260","260","260"
"131000","-0.005204319953918457","-0.005204319953918457","-0.005204319953918457","261","261","261"
"131500","0.013759016990661621","0.013759016990661621","0.013759016990661621","262","262","262"
"132000","-0.09592115879058838","-0.09592115879058838","-0.09592115879058838","263","263","263"
"132500","-0.04080855846405029","-0.04080855846405029","-0.04080855846405029","264","264","264"
"133000","-0.003067612648010254","-0.003067612648010254","-0.003067612648010254","265","265","265"
"133500","0.08818471431732178","0.08818471431732178","0.08818471431732178","266","266","266"
"134000","0.0301935076713562","0.0301935076713562","0.0301935076713562","267","267","267"
"134500","0.01017218828201294","0.01017218828201294","0.01017218828201294","268","268","268"
"135000","0.0285680890083313","0.0285680890083313","0.0285680890083313","269","269","269"
"135500","-0.09296870231628418","-0.09296870231628418","-0.09296870231628418","270","270","270"
"136000","-0.004700303077697754","-0.004700303077697754","-0.004700303077697754","271","271","271"
"136500","0.1322774887084961","0.1322774887084961","0.1322774887084961","272","272","272"
"137000","-0.030772686004638672","-0.030772686004638672","-0.030772686004638672","273","273","273"
"137500","-1.2020962238311768","-1.2020962238311768","-1.2020962238311768","274","274","274"
"138000","-138.15304565429688","-138.15304565429688","-138.15304565429688","275","275","275"
"138500","0.14357036352157593","0.14357036352157593","0.14357036352157593","276","276","276"
"139000","-0.013179421424865723","-0.013179421424865723","-0.013179421424865723","277","277","277"
"139500","0.0722358226776123","0.0722358226776123","0.0722358226776123","278","278","278"
"140000","-1.1920928955078125e-7","-1.1920928955078125e-7","-1.1920928955078125e-7","279","279","279"
"140500","-0.15906059741973877","-0.15906059741973877","-0.15906059741973877","280","280","280"
"141000","0.032906949520111084","0.032906949520111084","0.032906949520111084","281","281","281"
"141500","-0.35521459579467773","-0.35521459579467773","-0.35521459579467773","282","282","282"
"142000","-0.10939633846282959","-0.10939633846282959","-0.10939633846282959","283","283","283"
"142500","-0.336688756942749","-0.336688756942749","-0.336688756942749","284","284","284"
"143000","-0.028998494148254395","-0.028998494148254395","-0.028998494148254395","285","285","285"
"143500","0.10522645711898804","0.10522645711898804","0.10522645711898804","286","286","286"
"144000","0.21013134717941284","0.21013134717941284","0.21013134717941284","287","287","287"
"144500","0.018254458904266357","0.018254458904266357","0.018254458904266357","288","288","288"
"145000","-0.030530810356140137","-0.030530810356140137","-0.030530810356140137","289","289","289"
"145500","0.002878129482269287","0.002878129482269287","0.002878129482269287","290","290","290"
"146000","0","0","0","291","291","291"
"146500","-0.10675942897796631","-0.10675942897796631","-0.10675942897796631","292","292","292"
"147000","-0.3893626928329468","-0.3893626928329468","-0.3893626928329468","293","293","293"
"147500","0.2977994680404663","0.2977994680404663","0.2977994680404663","294","294","294"
"148000","0.15222406387329102","0.15222406387329102","0.15222406387329102","295","295","295"
"148500","0.40249085426330566","0.40249085426330566","0.40249085426330566","296","296","296"
"149000","-0.0389707088470459","-0.0389707088470459","-0.0389707088470459","297","297","297"
"149500","-0.33538830280303955","-0.33538830280303955","-0.33538830280303955","298","298","298"
"150000","0.019425690174102783","0.019425690174102783","0.019425690174102783","299","299","299"
"150500","-0.010051727294921875","-0.010051727294921875","-0.010051727294921875","300","300","300"
"151000","-0.9144835472106934","-0.9144835472106934","-0.9144835472106934","301","301","301"
"151500","-0.06223118305206299","-0.06223118305206299","-0.06223118305206299","302","302","302"
"152000","0.1616072654724121","0.1616072654724121","0.1616072654724121","303","303","303"
"152500","0","0","0","304","304","304"
"153000","0.019174695014953613","0.019174695014953613","0.019174695014953613","305","305","305"
"153500","0.21428579092025757","0.21428579092025757","0.21428579092025757","306","306","306"
"154000","0.0022859573364257812","0.0022859573364257812","0.0022859573364257812","307","307","307"
"154500","-0.00803065299987793","-0.00803065299987793","-0.00803065299987793","308","308","308"
"155000","0","0","0","309","309","309"
"155500","-0.13463354110717773","-0.13463354110717773","-0.13463354110717773","310","310","310"
"156000","-0.11337780952453613","-0.11337780952453613","-0.11337780952453613","311","311","311"
