"Step","251221_DQN - global_step","251221_DQN - global_step__MIN","251221_DQN - global_step__MAX"
"0","2000","2000","2000"
"1","4000","4000","4000"
"2","6000","6000","6000"
"3","8000","8000","8000"
"4","10000","10000","10000"
"5","12000","12000","12000"
"6","14000","14000","14000"
"7","16000","16000","16000"
"8","18000","18000","18000"
"9","20000","20000","20000"
"10","22000","22000","22000"
"11","24000","24000","24000"
"12","26000","26000","26000"
"13","28000","28000","28000"
"14","30000","30000","30000"
"15","32000","32000","32000"
"16","34000","34000","34000"
"17","36000","36000","36000"
"18","38000","38000","38000"
"19","40000","40000","40000"
"20","42000","42000","42000"
"21","44000","44000","44000"
"22","46000","46000","46000"
"23","48000","48000","48000"
"24","50000","50000","50000"
"25","52000","52000","52000"
"26","54000","54000","54000"
"27","56000","56000","56000"
"28","58000","58000","58000"
"29","60000","60000","60000"
"30","62000","62000","62000"
"31","64000","64000","64000"
"32","66000","66000","66000"
"33","68000","68000","68000"
"34","70000","70000","70000"
"35","72000","72000","72000"
"36","74000","74000","74000"
"37","76000","76000","76000"
"38","78000","78000","78000"
"39","80000","80000","80000"
"40","82000","82000","82000"
"41","84000","84000","84000"
"42","86000","86000","86000"
"43","88000","88000","88000"
"44","90000","90000","90000"
"45","92000","92000","92000"
"46","94000","94000","94000"
"47","96000","96000","96000"
"48","98000","98000","98000"
"49","100000","100000","100000"
"50","102000","102000","102000"
"51","104000","104000","104000"
"52","106000","106000","106000"
"53","108000","108000","108000"
"54","110000","110000","110000"
"55","112000","112000","112000"
"56","114000","114000","114000"
"57","116000","116000","116000"
"58","118000","118000","118000"
"59","120000","120000","120000"
"60","122000","122000","122000"
"61","124000","124000","124000"
"62","126000","126000","126000"
"63","128000","128000","128000"
"64","130000","130000","130000"
"65","132000","132000","132000"
"66","134000","134000","134000"
"67","136000","136000","136000"
"68","138000","138000","138000"
"69","140000","140000","140000"
"70","142000","142000","142000"
"71","144000","144000","144000"
"72","146000","146000","146000"
"73","148000","148000","148000"
"74","150000","150000","150000"
"75","152000","152000","152000"
"76","154000","154000","154000"
"77","156000","156000","156000"
"78","158000","158000","158000"
"79","160000","160000","160000"
"80","162000","162000","162000"
"81","164000","164000","164000"
"82","166000","166000","166000"
"83","168000","168000","168000"
"84","170000","170000","170000"
"85","172000","172000","172000"
"86","174000","174000","174000"
"87","176000","176000","176000"
"88","178000","178000","178000"
"89","180000","180000","180000"
"90","182000","182000","182000"
"91","184000","184000","184000"
"92","186000","186000","186000"
"93","188000","188000","188000"
"94","190000","190000","190000"
"95","192000","192000","192000"
"96","194000","194000","194000"
"97","196000","196000","196000"
"98","198000","198000","198000"
"99","200000","200000","200000"
"100","202000","202000","202000"
"101","204000","204000","204000"
"102","206000","206000","206000"
"103","208000","208000","208000"
"104","210000","210000","210000"
"105","212000","212000","212000"
"106","214000","214000","214000"
"107","216000","216000","216000"
"108","218000","218000","218000"
"109","220000","220000","220000"
"110","222000","222000","222000"
"111","224000","224000","224000"
"112","226000","226000","226000"
"113","228000","228000","228000"
"114","230000","230000","230000"
"115","232000","232000","232000"
"116","234000","234000","234000"
