"global_step","251221_DQN - rollout/exploration_rate","251221_DQN - rollout/exploration_rate__MIN","251221_DQN - rollout/exploration_rate__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"2000","0.987333357334137","0.987333357334137","0.987333357334137","0","0","0"
"4000","0.9746666550636292","0.9746666550636292","0.9746666550636292","1","1","1"
"6000","0.9620000123977661","0.9620000123977661","0.9620000123977661","2","2","2"
"8000","0.9493333101272583","0.9493333101272583","0.9493333101272583","3","3","3"
"10000","0.9366666674613953","0.9366666674613953","0.9366666674613953","4","4","4"
"12000","0.9240000247955322","0.9240000247955322","0.9240000247955322","5","5","5"
"14000","0.9113333225250244","0.9113333225250244","0.9113333225250244","6","6","6"
"16000","0.8986666798591614","0.8986666798591614","0.8986666798591614","7","7","7"
"18000","0.8859999775886536","0.8859999775886536","0.8859999775886536","8","8","8"
"20000","0.8733333349227905","0.8733333349227905","0.8733333349227905","9","9","9"
"22000","0.8606666922569275","0.8606666922569275","0.8606666922569275","10","10","10"
"24000","0.8479999899864197","0.8479999899864197","0.8479999899864197","11","11","11"
"26000","0.8353333473205566","0.8353333473205566","0.8353333473205566","12","12","12"
"28000","0.8226666450500488","0.8226666450500488","0.8226666450500488","13","13","13"
"30000","0.8100000023841858","0.8100000023841858","0.8100000023841858","14","14","14"
"32000","0.7973333597183228","0.7973333597183228","0.7973333597183228","15","15","15"
"34000","0.7846666574478149","0.7846666574478149","0.7846666574478149","16","16","16"
"36000","0.7720000147819519","0.7720000147819519","0.7720000147819519","17","17","17"
"38000","0.7593333125114441","0.7593333125114441","0.7593333125114441","18","18","18"
"40000","0.746666669845581","0.746666669845581","0.746666669845581","19","19","19"
"42000","0.734000027179718","0.734000027179718","0.734000027179718","20","20","20"
"44000","0.7213333249092102","0.7213333249092102","0.7213333249092102","21","21","21"
"46000","0.7086666822433472","0.7086666822433472","0.7086666822433472","22","22","22"
"48000","0.6959999799728394","0.6959999799728394","0.6959999799728394","23","23","23"
"50000","0.6833333373069763","0.6833333373069763","0.6833333373069763","24","24","24"
"52000","0.6706666946411133","0.6706666946411133","0.6706666946411133","25","25","25"
"54000","0.6579999923706055","0.6579999923706055","0.6579999923706055","26","26","26"
"56000","0.6453333497047424","0.6453333497047424","0.6453333497047424","27","27","27"
"58000","0.6326666474342346","0.6326666474342346","0.6326666474342346","28","28","28"
"60000","0.6200000047683716","0.6200000047683716","0.6200000047683716","29","29","29"
"62000","0.6073333621025085","0.6073333621025085","0.6073333621025085","30","30","30"
"64000","0.5946666598320007","0.5946666598320007","0.5946666598320007","31","31","31"
"66000","0.5820000171661377","0.5820000171661377","0.5820000171661377","32","32","32"
"68000","0.5693333148956299","0.5693333148956299","0.5693333148956299","33","33","33"
"70000","0.5566666722297668","0.5566666722297668","0.5566666722297668","34","34","34"
"72000","0.5440000295639038","0.5440000295639038","0.5440000295639038","35","35","35"
"74000","0.531333327293396","0.531333327293396","0.531333327293396","36","36","36"
"76000","0.518666684627533","0.518666684627533","0.518666684627533","37","37","37"
"78000","0.5059999823570251","0.5059999823570251","0.5059999823570251","38","38","38"
"80000","0.4933333396911621","0.4933333396911621","0.4933333396911621","39","39","39"
"82000","0.4806666672229767","0.4806666672229767","0.4806666672229767","40","40","40"
"84000","0.46799999475479126","0.46799999475479126","0.46799999475479126","41","41","41"
"86000","0.45533332228660583","0.45533332228660583","0.45533332228660583","42","42","42"
"88000","0.4426666796207428","0.4426666796207428","0.4426666796207428","43","43","43"
"90000","0.4300000071525574","0.4300000071525574","0.4300000071525574","44","44","44"
"92000","0.41733333468437195","0.41733333468437195","0.41733333468437195","45","45","45"
"94000","0.4046666622161865","0.4046666622161865","0.4046666622161865","46","46","46"
"96000","0.3919999897480011","0.3919999897480011","0.3919999897480011","47","47","47"
"98000","0.37933334708213806","0.37933334708213806","0.37933334708213806","48","48","48"
"100000","0.36666667461395264","0.36666667461395264","0.36666667461395264","49","49","49"
"102000","0.3540000021457672","0.3540000021457672","0.3540000021457672","50","50","50"
"104000","0.3413333296775818","0.3413333296775818","0.3413333296775818","51","51","51"
"106000","0.32866665720939636","0.32866665720939636","0.32866665720939636","52","52","52"
"108000","0.3160000145435333","0.3160000145435333","0.3160000145435333","53","53","53"
"110000","0.3033333420753479","0.3033333420753479","0.3033333420753479","54","54","54"
"112000","0.2906666696071625","0.2906666696071625","0.2906666696071625","55","55","55"
"114000","0.27799999713897705","0.27799999713897705","0.27799999713897705","56","56","56"
"116000","0.2653333246707916","0.2653333246707916","0.2653333246707916","57","57","57"
"118000","0.2526666522026062","0.2526666522026062","0.2526666522026062","58","58","58"
"120000","0.23999999463558197","0.23999999463558197","0.23999999463558197","59","59","59"
"122000","0.22733333706855774","0.22733333706855774","0.22733333706855774","60","60","60"
"124000","0.21466666460037231","0.21466666460037231","0.21466666460037231","61","61","61"
"126000","0.20200000703334808","0.20200000703334808","0.20200000703334808","62","62","62"
"128000","0.18933333456516266","0.18933333456516266","0.18933333456516266","63","63","63"
"130000","0.17666666209697723","0.17666666209697723","0.17666666209697723","64","64","64"
"132000","0.164000004529953","0.164000004529953","0.164000004529953","65","65","65"
"134000","0.15133333206176758","0.15133333206176758","0.15133333206176758","66","66","66"
"136000","0.13866665959358215","0.13866665959358215","0.13866665959358215","67","67","67"
