"global_step","251221_DQN - rollout/ep_rew_mean","251221_DQN - rollout/ep_rew_mean__MIN","251221_DQN - rollout/ep_rew_mean__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"2000","-162.14657592773438","-162.14657592773438","-162.14657592773438","0","0","0"
"4000","-194.25730895996094","-194.25730895996094","-194.25730895996094","1","1","1"
"6000","-174.19677734375","-174.19677734375","-174.19677734375","2","2","2"
"8000","-172.48214721679688","-172.48214721679688","-172.48214721679688","3","3","3"
"10000","-158.1876220703125","-158.1876220703125","-158.1876220703125","4","4","4"
"12000","-155.85159301757812","-155.85159301757812","-155.85159301757812","5","5","5"
"14000","-150.2665252685547","-150.2665252685547","-150.2665252685547","6","6","6"
"16000","-153.61557006835938","-153.61557006835938","-153.61557006835938","7","7","7"
"18000","-151.33871459960938","-151.33871459960938","-151.33871459960938","8","8","8"
"20000","-154.9705352783203","-154.9705352783203","-154.9705352783203","9","9","9"
"22000","-160.6794891357422","-160.6794891357422","-160.6794891357422","10","10","10"
"24000","-160.07542419433594","-160.07542419433594","-160.07542419433594","11","11","11"
"26000","-162.46182250976562","-162.46182250976562","-162.46182250976562","12","12","12"
"28000","-160.7222137451172","-160.7222137451172","-160.7222137451172","13","13","13"
"30000","-162.58297729492188","-162.58297729492188","-162.58297729492188","14","14","14"
"32000","-159.83045959472656","-159.83045959472656","-159.83045959472656","15","15","15"
"34000","-161.322265625","-161.322265625","-161.322265625","16","16","16"
"36000","-155.97232055664062","-155.97232055664062","-155.97232055664062","17","17","17"
"38000","-153.33407592773438","-153.33407592773438","-153.33407592773438","18","18","18"
"40000","-152.13584899902344","-152.13584899902344","-152.13584899902344","19","19","19"
"42000","-152.94093322753906","-152.94093322753906","-152.94093322753906","20","20","20"
"44000","-149.26087951660156","-149.26087951660156","-149.26087951660156","21","21","21"
"46000","-149.47503662109375","-149.47503662109375","-149.47503662109375","22","22","22"
"48000","-148.69114685058594","-148.69114685058594","-148.69114685058594","23","23","23"
"50000","-145.9879608154297","-145.9879608154297","-145.9879608154297","24","24","24"
"52000","-145.22154235839844","-145.22154235839844","-145.22154235839844","25","25","25"
"54000","-140.74729919433594","-140.74729919433594","-140.74729919433594","26","26","26"
"56000","-137.36814880371094","-137.36814880371094","-137.36814880371094","27","27","27"
"58000","-136.06008911132812","-136.06008911132812","-136.06008911132812","28","28","28"
"60000","-133.7393341064453","-133.7393341064453","-133.7393341064453","29","29","29"
"62000","-130.99468994140625","-130.99468994140625","-130.99468994140625","30","30","30"
"64000","-131.49575805664062","-131.49575805664062","-131.49575805664062","31","31","31"
"66000","-129.6228790283203","-129.6228790283203","-129.6228790283203","32","32","32"
"68000","-129.6421356201172","-129.6421356201172","-129.6421356201172","33","33","33"
"70000","-125.41436004638672","-125.41436004638672","-125.41436004638672","34","34","34"
"72000","-121.90821838378906","-121.90821838378906","-121.90821838378906","35","35","35"
"74000","-120.08827209472656","-120.08827209472656","-120.08827209472656","36","36","36"
"76000","-114.83822631835938","-114.83822631835938","-114.83822631835938","37","37","37"
"78000","-109.543212890625","-109.543212890625","-109.543212890625","38","38","38"
"80000","-105.67680358886719","-105.67680358886719","-105.67680358886719","39","39","39"
"82000","-105.47468566894531","-105.47468566894531","-105.47468566894531","40","40","40"
"84000","-105.17578125","-105.17578125","-105.17578125","41","41","41"
"86000","-103.53703308105469","-103.53703308105469","-103.53703308105469","42","42","42"
"88000","-103.9371566772461","-103.9371566772461","-103.9371566772461","43","43","43"
"90000","-104.5576400756836","-104.5576400756836","-104.5576400756836","44","44","44"
"92000","-101.15191650390625","-101.15191650390625","-101.15191650390625","45","45","45"
"94000","-103.51040649414062","-103.51040649414062","-103.51040649414062","46","46","46"
"96000","-103.57537841796875","-103.57537841796875","-103.57537841796875","47","47","47"
"98000","-99.79517364501953","-99.79517364501953","-99.79517364501953","48","48","48"
"100000","-102.17835235595703","-102.17835235595703","-102.17835235595703","49","49","49"
"102000","-103.56256103515625","-103.56256103515625","-103.56256103515625","50","50","50"
"104000","-105.68177032470703","-105.68177032470703","-105.68177032470703","51","51","51"
"106000","-107.30476379394531","-107.30476379394531","-107.30476379394531","52","52","52"
"108000","-106.28041076660156","-106.28041076660156","-106.28041076660156","53","53","53"
"110000","-109.89282989501953","-109.89282989501953","-109.89282989501953","54","54","54"
"112000","-110.37288665771484","-110.37288665771484","-110.37288665771484","55","55","55"
"114000","-108.9999008178711","-108.9999008178711","-108.9999008178711","56","56","56"
"116000","-106.86184692382812","-106.86184692382812","-106.86184692382812","57","57","57"
"118000","-107.33306884765625","-107.33306884765625","-107.33306884765625","58","58","58"
"120000","-107.34783172607422","-107.34783172607422","-107.34783172607422","59","59","59"
"122000","-104.61659240722656","-104.61659240722656","-104.61659240722656","60","60","60"
"124000","-106.28653717041016","-106.28653717041016","-106.28653717041016","61","61","61"
"126000","-107.98743438720703","-107.98743438720703","-107.98743438720703","62","62","62"
"128000","-112.05939483642578","-112.05939483642578","-112.05939483642578","63","63","63"
"130000","-111.2774658203125","-111.2774658203125","-111.2774658203125","64","64","64"
"132000","-112.0511245727539","-112.0511245727539","-112.0511245727539","65","65","65"
"134000","-110.4372329711914","-110.4372329711914","-110.4372329711914","66","66","66"
"136000","-109.13573455810547","-109.13573455810547","-109.13573455810547","67","67","67"
"138000","-110.9782485961914","-110.9782485961914","-110.9782485961914","68","68","68"
"140000","-111.1058578491211","-111.1058578491211","-111.1058578491211","69","69","69"
"142000","-110.26456451416016","-110.26456451416016","-110.26456451416016","70","70","70"
"144000","-110.91532135009766","-110.91532135009766","-110.91532135009766","71","71","71"
"146000","-108.88811492919922","-108.88811492919922","-108.88811492919922","72","72","72"
