"global_step","251221_DQN - time/fps","251221_DQN - time/fps__MIN","251221_DQN - time/fps__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"2000","42","42","42","0","0","0"
"4000","45","45","45","1","1","1"
"6000","44","44","44","2","2","2"
"8000","43","43","43","3","3","3"
"10000","42","42","42","4","4","4"
"12000","42","42","42","5","5","5"
"14000","41","41","41","6","6","6"
"16000","41","41","41","7","7","7"
"18000","41","41","41","8","8","8"
"20000","40","40","40","9","9","9"
"22000","40","40","40","10","10","10"
"24000","40","40","40","11","11","11"
"26000","40","40","40","12","12","12"
"28000","39","39","39","13","13","13"
"30000","39","39","39","14","14","14"
"32000","39","39","39","15","15","15"
"34000","39","39","39","16","16","16"
"36000","38","38","38","17","17","17"
"38000","38","38","38","18","18","18"
"40000","38","38","38","19","19","19"
"42000","38","38","38","20","20","20"
"44000","37","37","37","21","21","21"
"46000","37","37","37","22","22","22"
"48000","37","37","37","23","23","23"
"50000","37","37","37","24","24","24"
"52000","37","37","37","25","25","25"
"54000","36","36","36","26","26","26"
"56000","36","36","36","27","27","27"
"58000","36","36","36","28","28","28"
"60000","35","35","35","29","29","29"
"62000","35","35","35","30","30","30"
"64000","35","35","35","31","31","31"
"66000","34","34","34","32","32","32"
"68000","34","34","34","33","33","33"
"70000","34","34","34","34","34","34"
"72000","34","34","34","35","35","35"
"74000","33","33","33","36","36","36"
"76000","33","33","33","37","37","37"
"78000","33","33","33","38","38","38"
"80000","32","32","32","39","39","39"
"82000","32","32","32","40","40","40"
"84000","32","32","32","41","41","41"
"86000","32","32","32","42","42","42"
"88000","32","32","32","43","43","43"
"90000","32","32","32","44","44","44"
"92000","31","31","31","45","45","45"
"94000","31","31","31","46","46","46"
"96000","31","31","31","47","47","47"
"98000","31","31","31","48","48","48"
"100000","31","31","31","49","49","49"
"102000","31","31","31","50","50","50"
"104000","31","31","31","51","51","51"
"106000","30","30","30","52","52","52"
"108000","30","30","30","53","53","53"
"110000","30","30","30","54","54","54"
"112000","30","30","30","55","55","55"
"114000","30","30","30","56","56","56"
"116000","29","29","29","57","57","57"
"118000","30","30","30","58","58","58"
"120000","29","29","29","59","59","59"
"122000","29","29","29","60","60","60"
"124000","29","29","29","61","61","61"
"126000","29","29","29","62","62","62"
"128000","29","29","29","63","63","63"
"130000","29","29","29","64","64","64"
"132000","28","28","28","65","65","65"
"134000","28","28","28","66","66","66"
"136000","28","28","28","67","67","67"
"138000","28","28","28","68","68","68"
"140000","28","28","28","69","69","69"
"142000","28","28","28","70","70","70"
"144000","28","28","28","71","71","71"
"146000","27","27","27","72","72","72"
"148000","27","27","27","73","73","73"
"150000","27","27","27","74","74","74"
"152000","27","27","27","75","75","75"
"154000","27","27","27","76","76","76"
"156000","27","27","27","77","77","77"
"158000","27","27","27","78","78","78"
"160000","27","27","27","79","79","79"
"162000","27","27","27","80","80","80"
"164000","27","27","27","81","81","81"
"166000","27","27","27","82","82","82"
"168000","26","26","26","83","83","83"
"170000","26","26","26","84","84","84"
"172000","26","26","26","85","85","85"
"174000","26","26","26","86","86","86"
"176000","26","26","26","87","87","87"
"178000","26","26","26","88","88","88"
"180000","26","26","26","89","89","89"
"182000","26","26","26","90","90","90"
"184000","26","26","26","91","91","91"
"186000","26","26","26","92","92","92"
"188000","26","26","26","93","93","93"
"190000","26","26","26","94","94","94"
"192000","26","26","26","95","95","95"
"194000","26","26","26","96","96","96"
"196000","26","26","26","97","97","97"
"198000","26","26","26","98","98","98"
"200000","26","26","26","99","99","99"
"202000","26","26","26","100","100","100"
"204000","26","26","26","101","101","101"
"206000","25","25","25","102","102","102"
"208000","25","25","25","103","103","103"
"210000","25","25","25","104","104","104"
"212000","25","25","25","105","105","105"
"214000","25","25","25","106","106","106"
"216000","25","25","25","107","107","107"
"218000","25","25","25","108","108","108"
"220000","25","25","25","109","109","109"
"222000","25","25","25","110","110","110"
"224000","25","25","25","111","111","111"
"226000","25","25","25","112","112","112"
"228000","25","25","25","113","113","113"
"230000","25","25","25","114","114","114"
"232000","25","25","25","115","115","115"
"234000","25","25","25","116","116","116"
"236000","25","25","25","117","117","117"
"238000","25","25","25","118","118","118"
"240000","25","25","25","119","119","119"
"242000","25","25","25","120","120","120"
"244000","25","25","25","121","121","121"
"246000","25","25","25","122","122","122"
"248000","25","25","25","123","123","123"
"250000","25","25","25","124","124","124"
"252000","25","25","25","125","125","125"
"254000","25","25","25","126","126","126"
"256000","25","25","25","127","127","127"
"258000","25","25","25","128","128","128"
"260000","25","25","25","129","129","129"
"262000","25","25","25","130","130","130"
"264000","25","25","25","131","131","131"
"266000","25","25","25","132","132","132"
"268000","25","25","25","133","133","133"
"270000","24","24","24","134","134","134"
"272000","24","24","24","135","135","135"
"274000","24","24","24","136","136","136"
"276000","24","24","24","137","137","137"
"278000","24","24","24","138","138","138"
"280000","24","24","24","139","139","139"
"282000","24","24","24","140","140","140"
"284000","24","24","24","141","141","141"
"286000","24","24","24","142","142","142"
"288000","24","24","24","143","143","143"
"290000","24","24","24","144","144","144"
"292000","24","24","24","145","145","145"
"294000","24","24","24","146","146","146"
"296000","24","24","24","147","147","147"
"298000","24","24","24","148","148","148"
"300000","24","24","24","149","149","149"
"302000","24","24","24","150","150","150"
"304000","24","24","24","151","151","151"
"306000","24","24","24","152","152","152"
"308000","24","24","24","153","153","153"
"310000","24","24","24","154","154","154"
"312000","24","24","24","155","155","155"
"314000","24","24","24","156","156","156"
"316000","24","24","24","157","157","157"
"318000","24","24","24","158","158","158"
"320000","24","24","24","159","159","159"
"322000","24","24","24","160","160","160"
"324000","24","24","24","161","161","161"
"326000","24","24","24","162","162","162"
"328000","24","24","24","163","163","163"
"330000","24","24","24","164","164","164"
"332000","24","24","24","165","165","165"
"334000","24","24","24","166","166","166"
"336000","24","24","24","167","167","167"
"338000","24","24","24","168","168","168"
"340000","24","24","24","169","169","169"
"342000","24","24","24","170","170","170"
"344000","24","24","24","171","171","171"
"346000","24","24","24","172","172","172"
"348000","24","24","24","173","173","173"
"350000","24","24","24","174","174","174"
"352000","24","24","24","175","175","175"
"354000","24","24","24","176","176","176"
"356000","24","24","24","177","177","177"
"358000","24","24","24","178","178","178"
"360000","24","24","24","179","179","179"
"362000","24","24","24","180","180","180"
"364000","24","24","24","181","181","181"
"366000","24","24","24","182","182","182"
"368000","24","24","24","183","183","183"
"370000","24","24","24","184","184","184"
"372000","24","24","24","185","185","185"
"374000","24","24","24","186","186","186"
"376000","24","24","24","187","187","187"
"378000","24","24","24","188","188","188"
"380000","24","24","24","189","189","189"
"382000","24","24","24","190","190","190"
"384000","24","24","24","191","191","191"
"386000","24","24","24","192","192","192"
"388000","24","24","24","193","193","193"
"390000","24","24","24","194","194","194"
"392000","24","24","24","195","195","195"
"394000","24","24","24","196","196","196"
"396000","24","24","24","197","197","197"
"398000","24","24","24","198","198","198"
"400000","24","24","24","199","199","199"
"402000","24","24","24","200","200","200"
"404000","24","24","24","201","201","201"
"406000","24","24","24","202","202","202"
"408000","24","24","24","203","203","203"
"410000","24","24","24","204","204","204"
"412000","24","24","24","205","205","205"
"414000","24","24","24","206","206","206"
"416000","24","24","24","207","207","207"
"418000","24","24","24","208","208","208"
"420000","24","24","24","209","209","209"
"422000","24","24","24","210","210","210"
"424000","24","24","24","211","211","211"
"426000","24","24","24","212","212","212"
"428000","24","24","24","213","213","213"
"430000","24","24","24","214","214","214"
"432000","24","24","24","215","215","215"
"434000","24","24","24","216","216","216"
"436000","24","24","24","217","217","217"
"438000","24","24","24","218","218","218"
"440000","24","24","24","219","219","219"
"442000","24","24","24","220","220","220"
"444000","24","24","24","221","221","221"
"446000","24","24","24","222","222","222"
"448000","24","24","24","223","223","223"
"450000","24","24","24","224","224","224"
"452000","24","24","24","225","225","225"
"454000","24","24","24","226","226","226"
"456000","24","24","24","227","227","227"
"458000","24","24","24","228","228","228"
"460000","24","24","24","229","229","229"
"462000","24","24","24","230","230","230"
"464000","24","24","24","231","231","231"
"466000","24","24","24","232","232","232"
"468000","24","24","24","233","233","233"
"470000","24","24","24","234","234","234"
"472000","24","24","24","235","235","235"
"474000","24","24","24","236","236","236"
"476000","24","24","24","237","237","237"
"478000","24","24","24","238","238","238"
"480000","24","24","24","239","239","239"
"482000","24","24","24","240","240","240"
"484000","24","24","24","241","241","241"
"486000","24","24","24","242","242","242"
"488000","24","24","24","243","243","243"
"490000","24","24","24","244","244","244"
"492000","24","24","24","245","245","245"
"494000","24","24","24","246","246","246"
"496000","24","24","24","247","247","247"
"498000","24","24","24","248","248","248"
"500000","24","24","24","249","249","249"
"502000","24","24","24","250","250","250"
"504000","24","24","24","251","251","251"
"506000","24","24","24","252","252","252"
"508000","24","24","24","253","253","253"
"510000","24","24","24","254","254","254"
"512000","24","24","24","255","255","255"
"514000","24","24","24","256","256","256"
"516000","24","24","24","257","257","257"
"518000","24","24","24","258","258","258"
"520000","24","24","24","259","259","259"
"522000","24","24","24","260","260","260"
