"global_step","251221_DQN - train/learning_rate","251221_DQN - train/learning_rate__MIN","251221_DQN - train/learning_rate__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"2000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","0","0","0"
"4000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","1","1","1"
"6000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","2","2","2"
"8000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","3","3","3"
"10000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","4","4","4"
"12000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","5","5","5"
"14000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","6","6","6"
"16000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","7","7","7"
"18000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","8","8","8"
"20000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","9","9","9"
"22000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","10","10","10"
"24000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","11","11","11"
"26000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","12","12","12"
"28000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","13","13","13"
"30000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","14","14","14"
"32000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","15","15","15"
"34000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","16","16","16"
"36000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","17","17","17"
"38000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","18","18","18"
"40000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","19","19","19"
"42000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","20","20","20"
"44000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","21","21","21"
"46000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","22","22","22"
"48000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","23","23","23"
"50000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","24","24","24"
"52000","0.00009999999747378752","0.00009999999747378752","0.00009999999747378752","25","25","25"
