"global_step","251221_DQN - train/final_recall","251221_DQN - train/final_recall__MIN","251221_DQN - train/final_recall__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"2000","0.3804406225681305","0.3804406225681305","0.3804406225681305","0","0","0"
"4000","0.44609010219573975","0.44609010219573975","0.44609010219573975","1","1","1"
"6000","0.08020050078630447","0.08020050078630447","0.08020050078630447","2","2","2"
"8000","0.33672013878822327","0.33672013878822327","0.33672013878822327","3","3","3"
"10000","0.5684419870376587","0.5684419870376587","0.5684419870376587","4","4","4"
"12000","0.2875136435031891","0.2875136435031891","0.2875136435031891","5","5","5"
"14000","0.3500387370586395","0.3500387370586395","0.3500387370586395","6","6","6"
"16000","0.07901591807603836","0.07901591807603836","0.07901591807603836","7","7","7"
"18000","0.3183731436729431","0.3183731436729431","0.3183731436729431","8","8","8"
"20000","0.2049109935760498","0.2049109935760498","0.2049109935760498","9","9","9"
"22000","0.42426007986068726","0.42426007986068726","0.42426007986068726","10","10","10"
"24000","0.21805864572525024","0.21805864572525024","0.21805864572525024","11","11","11"
"26000","0.32192423939704895","0.32192423939704895","0.32192423939704895","12","12","12"
"28000","0.20665408670902252","0.20665408670902252","0.20665408670902252","13","13","13"
"30000","0.520247757434845","0.520247757434845","0.520247757434845","14","14","14"
"32000","0.3686522841453552","0.3686522841453552","0.3686522841453552","15","15","15"
"34000","0.10964479297399521","0.10964479297399521","0.10964479297399521","16","16","16"
"36000","0.6235519647598267","0.6235519647598267","0.6235519647598267","17","17","17"
"38000","0.3096103072166443","0.3096103072166443","0.3096103072166443","18","18","18"
"40000","0.3705654740333557","0.3705654740333557","0.3705654740333557","19","19","19"
"42000","0.2939017415046692","0.2939017415046692","0.2939017415046692","20","20","20"
"44000","0.15954503417015076","0.15954503417015076","0.15954503417015076","21","21","21"
"46000","0.3994583487510681","0.3994583487510681","0.3994583487510681","22","22","22"
"48000","0.17104484140872955","0.17104484140872955","0.17104484140872955","23","23","23"
"50000","0.46491044759750366","0.46491044759750366","0.46491044759750366","24","24","24"
"52000","0.21668437123298645","0.21668437123298645","0.21668437123298645","25","25","25"
"54000","0.3170813322067261","0.3170813322067261","0.3170813322067261","26","26","26"
"56000","0.42761799693107605","0.42761799693107605","0.42761799693107605","27","27","27"
