"global_step","251221_DQN - train/final_pos_count","251221_DQN - train/final_pos_count__MIN","251221_DQN - train/final_pos_count__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"2000","5","5","5","0","0","0"
"4000","4","4","4","1","1","1"
"6000","6","6","6","2","2","2"
"8000","12","12","12","3","3","3"
"10000","14","14","14","4","4","4"
"12000","6","6","6","5","5","5"
"14000","11","11","11","6","6","6"
"16000","4","4","4","7","7","7"
"18000","9","9","9","8","8","8"
"20000","15","15","15","9","9","9"
"22000","14","14","14","10","10","10"
"24000","15","15","15","11","11","11"
"26000","12","12","12","12","12","12"
"28000","8","8","8","13","13","13"
"30000","12","12","12","14","14","14"
"32000","11","11","11","15","15","15"
"34000","10","10","10","16","16","16"
"36000","11","11","11","17","17","17"
"38000","15","15","15","18","18","18"
"40000","13","13","13","19","19","19"
"42000","15","15","15","20","20","20"
"44000","12","12","12","21","21","21"
"46000","12","12","12","22","22","22"
"48000","11","11","11","23","23","23"
"50000","10","10","10","24","24","24"
"52000","10","10","10","25","25","25"
"54000","12","12","12","26","26","26"
"56000","15","15","15","27","27","27"
"58000","15","15","15","28","28","28"
"60000","14","14","14","29","29","29"
"62000","14","14","14","30","30","30"
"64000","15","15","15","31","31","31"
"66000","14","14","14","32","32","32"
"68000","15","15","15","33","33","33"
"70000","12","12","12","34","34","34"
"72000","11","11","11","35","35","35"
"74000","13","13","13","36","36","36"
"76000","15","15","15","37","37","37"
"78000","13","13","13","38","38","38"
"80000","12","12","12","39","39","39"
"82000","15","15","15","40","40","40"
"84000","15","15","15","41","41","41"
"86000","13","13","13","42","42","42"
"88000","14","14","14","43","43","43"
"90000","15","15","15","44","44","44"
"92000","14","14","14","45","45","45"
"94000","15","15","15","46","46","46"
"96000","13","13","13","47","47","47"
"98000","15","15","15","48","48","48"
"100000","9","9","9","49","49","49"
"102000","14","14","14","50","50","50"
"104000","6","6","6","51","51","51"
"106000","13","13","13","52","52","52"
"108000","14","14","14","53","53","53"
"110000","15","15","15","54","54","54"
"112000","13","13","13","55","55","55"
"114000","15","15","15","56","56","56"
"116000","15","15","15","57","57","57"
"118000","13","13","13","58","58","58"
"120000","14","14","14","59","59","59"
"122000","15","15","15","60","60","60"
"124000","15","15","15","61","61","61"
"126000","10","10","10","62","62","62"
"128000","15","15","15","63","63","63"
"130000","10","10","10","64","64","64"
"132000","11","11","11","65","65","65"
"134000","4","4","4","66","66","66"
"136000","13","13","13","67","67","67"
"138000","15","15","15","68","68","68"
"140000","15","15","15","69","69","69"
"142000","15","15","15","70","70","70"
"144000","13","13","13","71","71","71"
"146000","15","15","15","72","72","72"
"148000","15","15","15","73","73","73"
"150000","13","13","13","74","74","74"
"152000","13","13","13","75","75","75"
"154000","13","13","13","76","76","76"
"156000","14","14","14","77","77","77"
"158000","14","14","14","78","78","78"
"160000","15","15","15","79","79","79"
"162000","14","14","14","80","80","80"
"164000","14","14","14","81","81","81"
"166000","13","13","13","82","82","82"
"168000","15","15","15","83","83","83"
"170000","14","14","14","84","84","84"
"172000","15","15","15","85","85","85"
"174000","13","13","13","86","86","86"
"176000","8","8","8","87","87","87"
"178000","11","11","11","88","88","88"
"180000","14","14","14","89","89","89"
"182000","15","15","15","90","90","90"
"184000","15","15","15","91","91","91"
"186000","13","13","13","92","92","92"
"188000","15","15","15","93","93","93"
"190000","15","15","15","94","94","94"
"192000","13","13","13","95","95","95"
"194000","15","15","15","96","96","96"
"196000","15","15","15","97","97","97"
"198000","14","14","14","98","98","98"
"200000","15","15","15","99","99","99"
"202000","11","11","11","100","100","100"
"204000","15","15","15","101","101","101"
"206000","14","14","14","102","102","102"
"208000","15","15","15","103","103","103"
"210000","13","13","13","104","104","104"
"212000","15","15","15","105","105","105"
"214000","14","14","14","106","106","106"
"216000","11","11","11","107","107","107"
"218000","14","14","14","108","108","108"
"220000","12","12","12","109","109","109"
"222000","15","15","15","110","110","110"
"224000","14","14","14","111","111","111"
"226000","14","14","14","112","112","112"
"228000","14","14","14","113","113","113"
"230000","15","15","15","114","114","114"
"232000","13","13","13","115","115","115"
"234000","15","15","15","116","116","116"
"236000","14","14","14","117","117","117"
"238000","14","14","14","118","118","118"
"240000","14","14","14","119","119","119"
"242000","13","13","13","120","120","120"
"244000","13","13","13","121","121","121"
"246000","11","11","11","122","122","122"
"248000","14","14","14","123","123","123"
"250000","15","15","15","124","124","124"
"252000","15","15","15","125","125","125"
"254000","15","15","15","126","126","126"
"256000","15","15","15","127","127","127"
"258000","14","14","14","128","128","128"
"260000","15","15","15","129","129","129"
"262000","15","15","15","130","130","130"
"264000","14","14","14","131","131","131"
"266000","15","15","15","132","132","132"
"268000","13","13","13","133","133","133"
"270000","10","10","10","134","134","134"
"272000","13","13","13","135","135","135"
"274000","15","15","15","136","136","136"
"276000","15","15","15","137","137","137"
"278000","14","14","14","138","138","138"
"280000","13","13","13","139","139","139"
"282000","15","15","15","140","140","140"
"284000","11","11","11","141","141","141"
"286000","11","11","11","142","142","142"
"288000","15","15","15","143","143","143"
"290000","15","15","15","144","144","144"
"292000","13","13","13","145","145","145"
"294000","12","12","12","146","146","146"
"296000","14","14","14","147","147","147"
"298000","14","14","14","148","148","148"
"300000","15","15","15","149","149","149"
"302000","15","15","15","150","150","150"
"304000","15","15","15","151","151","151"
"306000","11","11","11","152","152","152"
"308000","10","10","10","153","153","153"
"310000","15","15","15","154","154","154"
