"global_step","251221_DQN - train/final_neg_count","251221_DQN - train/final_neg_count__MIN","251221_DQN - train/final_neg_count__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"2000","6","6","6","0","0","0"
"4000","6","6","6","1","1","1"
"6000","3","3","3","2","2","2"
"8000","13","13","13","3","3","3"
"10000","14","14","14","4","4","4"
"12000","13","13","13","5","5","5"
"14000","14","14","14","6","6","6"
"16000","7","7","7","7","7","7"
"18000","13","13","13","8","8","8"
"20000","11","11","11","9","9","9"
"22000","3","3","3","10","10","10"
"24000","4","4","4","11","11","11"
"26000","7","7","7","12","12","12"
"28000","11","11","11","13","13","13"
"30000","6","6","6","14","14","14"
"32000","4","4","4","15","15","15"
"34000","13","13","13","16","16","16"
"36000","10","10","10","17","17","17"
"38000","8","8","8","18","18","18"
"40000","6","6","6","19","19","19"
"42000","10","10","10","20","20","20"
"44000","4","4","4","21","21","21"
"46000","6","6","6","22","22","22"
"48000","6","6","6","23","23","23"
"50000","5","5","5","24","24","24"
"52000","4","4","4","25","25","25"
"54000","8","8","8","26","26","26"
"56000","5","5","5","27","27","27"
"58000","5","5","5","28","28","28"
"60000","7","7","7","29","29","29"
"62000","10","10","10","30","30","30"
"64000","8","8","8","31","31","31"
"66000","6","6","6","32","32","32"
"68000","6","6","6","33","33","33"
"70000","13","13","13","34","34","34"
"72000","3","3","3","35","35","35"
"74000","7","7","7","36","36","36"
"76000","6","6","6","37","37","37"
"78000","8","8","8","38","38","38"
"80000","8","8","8","39","39","39"
"82000","8","8","8","40","40","40"
"84000","4","4","4","41","41","41"
"86000","4","4","4","42","42","42"
"88000","5","5","5","43","43","43"
"90000","8","8","8","44","44","44"
"92000","8","8","8","45","45","45"
"94000","6","6","6","46","46","46"
"96000","10","10","10","47","47","47"
"98000","8","8","8","48","48","48"
"100000","6","6","6","49","49","49"
"102000","6","6","6","50","50","50"
"104000","7","7","7","51","51","51"
"106000","6","6","6","52","52","52"
"108000","7","7","7","53","53","53"
"110000","4","4","4","54","54","54"
"112000","3","3","3","55","55","55"
"114000","5","5","5","56","56","56"
"116000","7","7","7","57","57","57"
"118000","4","4","4","58","58","58"
"120000","7","7","7","59","59","59"
"122000","8","8","8","60","60","60"
"124000","4","4","4","61","61","61"
"126000","4","4","4","62","62","62"
"128000","6","6","6","63","63","63"
"130000","5","5","5","64","64","64"
"132000","4","4","4","65","65","65"
"134000","3","3","3","66","66","66"
"136000","4","4","4","67","67","67"
"138000","7","7","7","68","68","68"
"140000","5","5","5","69","69","69"
"142000","8","8","8","70","70","70"
"144000","6","6","6","71","71","71"
"146000","7","7","7","72","72","72"
"148000","7","7","7","73","73","73"
"150000","5","5","5","74","74","74"
"152000","7","7","7","75","75","75"
"154000","5","5","5","76","76","76"
"156000","7","7","7","77","77","77"
"158000","7","7","7","78","78","78"
"160000","6","6","6","79","79","79"
"162000","7","7","7","80","80","80"
"164000","6","6","6","81","81","81"
"166000","9","9","9","82","82","82"
"168000","4","4","4","83","83","83"
"170000","3","3","3","84","84","84"
"172000","5","5","5","85","85","85"
"174000","5","5","5","86","86","86"
"176000","5","5","5","87","87","87"
"178000","6","6","6","88","88","88"
"180000","8","8","8","89","89","89"
"182000","4","4","4","90","90","90"
"184000","8","8","8","91","91","91"
"186000","7","7","7","92","92","92"
"188000","9","9","9","93","93","93"
"190000","12","12","12","94","94","94"
"192000","3","3","3","95","95","95"
"194000","11","11","11","96","96","96"
"196000","7","7","7","97","97","97"
"198000","9","9","9","98","98","98"
"200000","7","7","7","99","99","99"
"202000","7","7","7","100","100","100"
"204000","3","3","3","101","101","101"
"206000","10","10","10","102","102","102"
"208000","3","3","3","103","103","103"
"210000","5","5","5","104","104","104"
"212000","5","5","5","105","105","105"
"214000","7","7","7","106","106","106"
"216000","4","4","4","107","107","107"
"218000","8","8","8","108","108","108"
"220000","4","4","4","109","109","109"
"222000","10","10","10","110","110","110"
"224000","4","4","4","111","111","111"
"226000","6","6","6","112","112","112"
"228000","6","6","6","113","113","113"
"230000","8","8","8","114","114","114"
"232000","11","11","11","115","115","115"
"234000","5","5","5","116","116","116"
"236000","3","3","3","117","117","117"
"238000","7","7","7","118","118","118"
"240000","8","8","8","119","119","119"
"242000","3","3","3","120","120","120"
"244000","10","10","10","121","121","121"
"246000","5","5","5","122","122","122"
"248000","7","7","7","123","123","123"
"250000","8","8","8","124","124","124"
"252000","5","5","5","125","125","125"
"254000","3","3","3","126","126","126"
"256000","3","3","3","127","127","127"
"258000","6","6","6","128","128","128"
"260000","7","7","7","129","129","129"
"262000","8","8","8","130","130","130"
"264000","6","6","6","131","131","131"
"266000","3","3","3","132","132","132"
"268000","7","7","7","133","133","133"
"270000","3","3","3","134","134","134"
"272000","8","8","8","135","135","135"
"274000","11","11","11","136","136","136"
"276000","5","5","5","137","137","137"
"278000","6","6","6","138","138","138"
"280000","5","5","5","139","139","139"
"282000","5","5","5","140","140","140"
"284000","4","4","4","141","141","141"
"286000","5","5","5","142","142","142"
"288000","4","4","4","143","143","143"
"290000","7","7","7","144","144","144"
"292000","8","8","8","145","145","145"
"294000","11","11","11","146","146","146"
"296000","6","6","6","147","147","147"
"298000","7","7","7","148","148","148"
"300000","5","5","5","149","149","149"
"302000","9","9","9","150","150","150"
"304000","6","6","6","151","151","151"
"306000","8","8","8","152","152","152"
"308000","3","3","3","153","153","153"
"310000","7","7","7","154","154","154"
"312000","12","12","12","155","155","155"
"314000","12","12","12","156","156","156"
"316000","7","7","7","157","157","157"
"318000","3","3","3","158","158","158"
"320000","9","9","9","159","159","159"
"322000","10","10","10","160","160","160"
"324000","6","6","6","161","161","161"
"326000","4","4","4","162","162","162"
"328000","13","13","13","163","163","163"
"330000","10","10","10","164","164","164"
"332000","3","3","3","165","165","165"
"334000","5","5","5","166","166","166"
"336000","15","15","15","167","167","167"
"338000","6","6","6","168","168","168"
"340000","4","4","4","169","169","169"
"342000","8","8","8","170","170","170"
"344000","7","7","7","171","171","171"
"346000","8","8","8","172","172","172"
"348000","11","11","11","173","173","173"
"350000","7","7","7","174","174","174"
"352000","13","13","13","175","175","175"
"354000","6","6","6","176","176","176"
"356000","6","6","6","177","177","177"
"358000","3","3","3","178","178","178"
"360000","13","13","13","179","179","179"
"362000","6","6","6","180","180","180"
"364000","14","14","14","181","181","181"
"366000","12","12","12","182","182","182"
"368000","6","6","6","183","183","183"
"370000","14","14","14","184","184","184"
"372000","15","15","15","185","185","185"
"374000","5","5","5","186","186","186"
"376000","3","3","3","187","187","187"
"378000","9","9","9","188","188","188"
"380000","7","7","7","189","189","189"
"382000","3","3","3","190","190","190"
"384000","4","4","4","191","191","191"
"386000","5","5","5","192","192","192"
"388000","6","6","6","193","193","193"
"390000","6","6","6","194","194","194"
"392000","3","3","3","195","195","195"
"394000","3","3","3","196","196","196"
"396000","5","5","5","197","197","197"
"398000","6","6","6","198","198","198"
"400000","7","7","7","199","199","199"
"402000","7","7","7","200","200","200"
"404000","6","6","6","201","201","201"
"406000","4","4","4","202","202","202"
"408000","4","4","4","203","203","203"
"410000","5","5","5","204","204","204"
"412000","15","15","15","205","205","205"
"414000","3","3","3","206","206","206"
"416000","3","3","3","207","207","207"
"418000","3","3","3","208","208","208"
"420000","11","11","11","209","209","209"
"422000","13","13","13","210","210","210"
"424000","6","6","6","211","211","211"
"426000","5","5","5","212","212","212"
"428000","10","10","10","213","213","213"
"430000","4","4","4","214","214","214"
"432000","6","6","6","215","215","215"
"434000","8","8","8","216","216","216"
"436000","12","12","12","217","217","217"
"438000","5","5","5","218","218","218"
"440000","3","3","3","219","219","219"
"442000","4","4","4","220","220","220"
"444000","12","12","12","221","221","221"
"446000","3","3","3","222","222","222"
"448000","4","4","4","223","223","223"
"450000","4","4","4","224","224","224"
"452000","12","12","12","225","225","225"
"454000","5","5","5","226","226","226"
"456000","13","13","13","227","227","227"
"458000","12","12","12","228","228","228"
"460000","3","3","3","229","229","229"
"462000","9","9","9","230","230","230"
"464000","3","3","3","231","231","231"
"466000","12","12","12","232","232","232"
"468000","3","3","3","233","233","233"
"470000","6","6","6","234","234","234"
"472000","6","6","6","235","235","235"
"474000","6","6","6","236","236","236"
"476000","3","3","3","237","237","237"
"478000","3","3","3","238","238","238"
"480000","15","15","15","239","239","239"
"482000","7","7","7","240","240","240"
"484000","6","6","6","241","241","241"
"486000","15","15","15","242","242","242"
"488000","10","10","10","243","243","243"
"490000","5","5","5","244","244","244"
"492000","4","4","4","245","245","245"
"494000","5","5","5","246","246","246"
"496000","9","9","9","247","247","247"
"498000","13","13","13","248","248","248"
"500000","7","7","7","249","249","249"
"502000","3","3","3","250","250","250"
"504000","3","3","3","251","251","251"
"506000","14","14","14","252","252","252"
"508000","7","7","7","253","253","253"
"510000","14","14","14","254","254","254"
"512000","4","4","4","255","255","255"
"514000","14","14","14","256","256","256"
"516000","8","8","8","257","257","257"
"518000","5","5","5","258","258","258"
"520000","10","10","10","259","259","259"
"522000","11","11","11","260","260","260"
"524000","3","3","3","261","261","261"
"526000","3","3","3","262","262","262"
"528000","5","5","5","263","263","263"
"530000","3","3","3","264","264","264"
"532000","6","6","6","265","265","265"
"534000","3","3","3","266","266","266"
"536000","3","3","3","267","267","267"
"538000","14","14","14","268","268","268"
"540000","10","10","10","269","269","269"
"542000","8","8","8","270","270","270"
"544000","5","5","5","271","271","271"
"546000","5","5","5","272","272","272"
"548000","4","4","4","273","273","273"
"550000","3","3","3","274","274","274"
"552000","4","4","4","275","275","275"
"554000","11","11","11","276","276","276"
"556000","8","8","8","277","277","277"
"558000","3","3","3","278","278","278"
"560000","10","10","10","279","279","279"
"562000","3","3","3","280","280","280"
"564000","13","13","13","281","281","281"
"566000","13","13","13","282","282","282"
"568000","6","6","6","283","283","283"
"570000","3","3","3","284","284","284"
"572000","14","14","14","285","285","285"
"574000","10","10","10","286","286","286"
"576000","3","3","3","287","287","287"
"578000","15","15","15","288","288","288"
"580000","6","6","6","289","289","289"
"582000","9","9","9","290","290","290"
"584000","3","3","3","291","291","291"
"586000","6","6","6","292","292","292"
"588000","4","4","4","293","293","293"
"590000","7","7","7","294","294","294"
"592000","3","3","3","295","295","295"
"594000","6","6","6","296","296","296"
"596000","4","4","4","297","297","297"
"598000","3","3","3","298","298","298"
"600000","11","11","11","299","299","299"
"602000","14","14","14","300","300","300"
"604000","3","3","3","301","301","301"
"606000","14","14","14","302","302","302"
"608000","12","12","12","303","303","303"
"610000","5","5","5","304","304","304"
"612000","15","15","15","305","305","305"
"614000","13","13","13","306","306","306"
"616000","12","12","12","307","307","307"
"618000","6","6","6","308","308","308"
"620000","15","15","15","309","309","309"
"622000","5","5","5","310","310","310"
"624000","8","8","8","311","311","311"
"626000","3","3","3","312","312","312"
"628000","6","6","6","313","313","313"
"630000","4","4","4","314","314","314"
"632000","12","12","12","315","315","315"
"634000","12","12","12","316","316","316"
"636000","12","12","12","317","317","317"
"638000","3","3","3","318","318","318"
"640000","6","6","6","319","319","319"
"642000","7","7","7","320","320","320"
"644000","4","4","4","321","321","321"
"646000","6","6","6","322","322","322"
"648000","6","6","6","323","323","323"
"650000","15","15","15","324","324","324"
"652000","10","10","10","325","325","325"
"654000","9","9","9","326","326","326"
"656000","5","5","5","327","327","327"
"658000","3","3","3","328","328","328"
"660000","13","13","13","329","329","329"
"662000","3","3","3","330","330","330"
"664000","13","13","13","331","331","331"
"666000","14","14","14","332","332","332"
"668000","14","14","14","333","333","333"
"670000","7","7","7","334","334","334"
"672000","11","11","11","335","335","335"
"674000","6","6","6","336","336","336"
"676000","8","8","8","337","337","337"
"678000","3","3","3","338","338","338"
"680000","3","3","3","339","339","339"
"682000","10","10","10","340","340","340"
"684000","6","6","6","341","341","341"
"686000","5","5","5","342","342","342"
"688000","5","5","5","343","343","343"
"690000","13","13","13","344","344","344"
"692000","4","4","4","345","345","345"
"694000","13","13","13","346","346","346"
"696000","4","4","4","347","347","347"
"698000","4","4","4","348","348","348"
"700000","11","11","11","349","349","349"
"702000","6","6","6","350","350","350"
"704000","8","8","8","351","351","351"
"706000","8","8","8","352","352","352"
"708000","7","7","7","353","353","353"
"710000","14","14","14","354","354","354"
"712000","13","13","13","355","355","355"
"714000","12","12","12","356","356","356"
"716000","3","3","3","357","357","357"
"718000","3","3","3","358","358","358"
"720000","11","11","11","359","359","359"
"722000","6","6","6","360","360","360"
"724000","11","11","11","361","361","361"
"726000","4","4","4","362","362","362"
"728000","6","6","6","363","363","363"
"730000","3","3","3","364","364","364"
"732000","13","13","13","365","365","365"
"734000","4","4","4","366","366","366"
"736000","3","3","3","367","367","367"
"738000","10","10","10","368","368","368"
"740000","11","11","11","369","369","369"
"742000","3","3","3","370","370","370"
"744000","5","5","5","371","371","371"
"746000","9","9","9","372","372","372"
"748000","6","6","6","373","373","373"
"750000","11","11","11","374","374","374"
"752000","14","14","14","375","375","375"
"754000","4","4","4","376","376","376"
"756000","6","6","6","377","377","377"
"758000","4","4","4","378","378","378"
"760000","3","3","3","379","379","379"
"762000","10","10","10","380","380","380"
"764000","5","5","5","381","381","381"
"766000","3","3","3","382","382","382"
"768000","4","4","4","383","383","383"
"770000","3","3","3","384","384","384"
"772000","7","7","7","385","385","385"
"774000","3","3","3","386","386","386"
"776000","6","6","6","387","387","387"
"778000","13","13","13","388","388","388"
"780000","3","3","3","389","389","389"
"782000","13","13","13","390","390","390"
"784000","3","3","3","391","391","391"
