"global_step","251221_DQN - train/final_feat_cross","251221_DQN - train/final_feat_cross__MIN","251221_DQN - train/final_feat_cross__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"2000","1.8384456634521484","1.8384456634521484","1.8384456634521484","0","0","0"
"4000","2.0830535888671875","2.0830535888671875","2.0830535888671875","1","1","1"
"6000","2.1608173847198486","2.1608173847198486","2.1608173847198486","2","2","2"
"8000","2.1661291122436523","2.1661291122436523","2.1661291122436523","3","3","3"
"10000","1.9267537593841553","1.9267537593841553","1.9267537593841553","4","4","4"
"12000","2.007169246673584","2.007169246673584","2.007169246673584","5","5","5"
"14000","1.8498777151107788","1.8498777151107788","1.8498777151107788","6","6","6"
"16000","1.8481054306030273","1.8481054306030273","1.8481054306030273","7","7","7"
"18000","1.7949086427688599","1.7949086427688599","1.7949086427688599","8","8","8"
"20000","1.78195059299469","1.78195059299469","1.78195059299469","9","9","9"
"22000","1.9104589223861694","1.9104589223861694","1.9104589223861694","10","10","10"
"24000","2.2279813289642334","2.2279813289642334","2.2279813289642334","11","11","11"
"26000","2.0751354694366455","2.0751354694366455","2.0751354694366455","12","12","12"
"28000","2.1037940979003906","2.1037940979003906","2.1037940979003906","13","13","13"
"30000","1.9497252702713013","1.9497252702713013","1.9497252702713013","14","14","14"
"32000","2.248509168624878","2.248509168624878","2.248509168624878","15","15","15"
"34000","1.4171167612075806","1.4171167612075806","1.4171167612075806","16","16","16"
"36000","1.9883418083190918","1.9883418083190918","1.9883418083190918","17","17","17"
"38000","1.8803775310516357","1.8803775310516357","1.8803775310516357","18","18","18"
"40000","2.1256778240203857","2.1256778240203857","2.1256778240203857","19","19","19"
"42000","2.0610735416412354","2.0610735416412354","2.0610735416412354","20","20","20"
"44000","2.1593751907348633","2.1593751907348633","2.1593751907348633","21","21","21"
"46000","1.5323450565338135","1.5323450565338135","1.5323450565338135","22","22","22"
"48000","1.638281226158142","1.638281226158142","1.638281226158142","23","23","23"
"50000","1.8294286727905273","1.8294286727905273","1.8294286727905273","24","24","24"
"52000","1.9457628726959229","1.9457628726959229","1.9457628726959229","25","25","25"
"54000","1.608878493309021","1.608878493309021","1.608878493309021","26","26","26"
"56000","1.8449251651763916","1.8449251651763916","1.8449251651763916","27","27","27"
"58000","2.0676565170288086","2.0676565170288086","2.0676565170288086","28","28","28"
"60000","2.1366562843322754","2.1366562843322754","2.1366562843322754","29","29","29"
"62000","1.8654416799545288","1.8654416799545288","1.8654416799545288","30","30","30"
"64000","2.192063331604004","2.192063331604004","2.192063331604004","31","31","31"
"66000","1.7479872703552246","1.7479872703552246","1.7479872703552246","32","32","32"
"68000","1.9914891719818115","1.9914891719818115","1.9914891719818115","33","33","33"
"70000","2.113870859146118","2.113870859146118","2.113870859146118","34","34","34"
"72000","1.7145724296569824","1.7145724296569824","1.7145724296569824","35","35","35"
"74000","1.9351129531860352","1.9351129531860352","1.9351129531860352","36","36","36"
"76000","2.1805970668792725","2.1805970668792725","2.1805970668792725","37","37","37"
"78000","1.7174551486968994","1.7174551486968994","1.7174551486968994","38","38","38"
"80000","2.1387627124786377","2.1387627124786377","2.1387627124786377","39","39","39"
"82000","1.9243860244750977","1.9243860244750977","1.9243860244750977","40","40","40"
"84000","1.9281237125396729","1.9281237125396729","1.9281237125396729","41","41","41"
"86000","2.0714166164398193","2.0714166164398193","2.0714166164398193","42","42","42"
"88000","2.2794857025146484","2.2794857025146484","2.2794857025146484","43","43","43"
"90000","2.288153648376465","2.288153648376465","2.288153648376465","44","44","44"
"92000","2.0821197032928467","2.0821197032928467","2.0821197032928467","45","45","45"
"94000","1.9250234365463257","1.9250234365463257","1.9250234365463257","46","46","46"
"96000","1.84711492061615","1.84711492061615","1.84711492061615","47","47","47"
"98000","2.110297918319702","2.110297918319702","2.110297918319702","48","48","48"
"100000","2.0816807746887207","2.0816807746887207","2.0816807746887207","49","49","49"
"102000","1.9906442165374756","1.9906442165374756","1.9906442165374756","50","50","50"
"104000","1.7645200490951538","1.7645200490951538","1.7645200490951538","51","51","51"
"106000","2.1163647174835205","2.1163647174835205","2.1163647174835205","52","52","52"
"108000","1.893056035041809","1.893056035041809","1.893056035041809","53","53","53"
"110000","2.0301926136016846","2.0301926136016846","2.0301926136016846","54","54","54"
"112000","1.8438729047775269","1.8438729047775269","1.8438729047775269","55","55","55"
"114000","1.7431812286376953","1.7431812286376953","1.7431812286376953","56","56","56"
"116000","1.8507592678070068","1.8507592678070068","1.8507592678070068","57","57","57"
"118000","2.0905604362487793","2.0905604362487793","2.0905604362487793","58","58","58"
"120000","1.8986197710037231","1.8986197710037231","1.8986197710037231","59","59","59"
"122000","1.9080884456634521","1.9080884456634521","1.9080884456634521","60","60","60"
"124000","2.0983502864837646","2.0983502864837646","2.0983502864837646","61","61","61"
"126000","1.7385838031768799","1.7385838031768799","1.7385838031768799","62","62","62"
"128000","2.0275607109069824","2.0275607109069824","2.0275607109069824","63","63","63"
"130000","1.6296590566635132","1.6296590566635132","1.6296590566635132","64","64","64"
"132000","2.252521514892578","2.252521514892578","2.252521514892578","65","65","65"
"134000","1.9379624128341675","1.9379624128341675","1.9379624128341675","66","66","66"
"136000","2.010472059249878","2.010472059249878","2.010472059249878","67","67","67"
"138000","2.03823184967041","2.03823184967041","2.03823184967041","68","68","68"
"140000","2.257923126220703","2.257923126220703","2.257923126220703","69","69","69"
"142000","2.1928374767303467","2.1928374767303467","2.1928374767303467","70","70","70"
"144000","1.5936906337738037","1.5936906337738037","1.5936906337738037","71","71","71"
"146000","1.8498858213424683","1.8498858213424683","1.8498858213424683","72","72","72"
"148000","2.0703694820404053","2.0703694820404053","2.0703694820404053","73","73","73"
"150000","2.193448781967163","2.193448781967163","2.193448781967163","74","74","74"
"152000","1.9170444011688232","1.9170444011688232","1.9170444011688232","75","75","75"
"154000","2.0268003940582275","2.0268003940582275","2.0268003940582275","76","76","76"
"156000","2.0338470935821533","2.0338470935821533","2.0338470935821533","77","77","77"
"158000","2.1625478267669678","2.1625478267669678","2.1625478267669678","78","78","78"
"160000","1.9417413473129272","1.9417413473129272","1.9417413473129272","79","79","79"
"162000","1.8375569581985474","1.8375569581985474","1.8375569581985474","80","80","80"
"164000","2.1841483116149902","2.1841483116149902","2.1841483116149902","81","81","81"
"166000","1.8822940587997437","1.8822940587997437","1.8822940587997437","82","82","82"
"168000","1.843737006187439","1.843737006187439","1.843737006187439","83","83","83"
"170000","2.1296370029449463","2.1296370029449463","2.1296370029449463","84","84","84"
"172000","2.1060545444488525","2.1060545444488525","2.1060545444488525","85","85","85"
"174000","2.133384943008423","2.133384943008423","2.133384943008423","86","86","86"
"176000","2.1933960914611816","2.1933960914611816","2.1933960914611816","87","87","87"
"178000","1.7317869663238525","1.7317869663238525","1.7317869663238525","88","88","88"
"180000","2.156019926071167","2.156019926071167","2.156019926071167","89","89","89"
"182000","1.8645620346069336","1.8645620346069336","1.8645620346069336","90","90","90"
"184000","1.9848369359970093","1.9848369359970093","1.9848369359970093","91","91","91"
"186000","2.1857080459594727","2.1857080459594727","2.1857080459594727","92","92","92"
"188000","2.1341466903686523","2.1341466903686523","2.1341466903686523","93","93","93"
"190000","1.7797292470932007","1.7797292470932007","1.7797292470932007","94","94","94"
"192000","1.9285998344421387","1.9285998344421387","1.9285998344421387","95","95","95"
"194000","1.9812848567962646","1.9812848567962646","1.9812848567962646","96","96","96"
"196000","1.9140774011611938","1.9140774011611938","1.9140774011611938","97","97","97"
"198000","1.7828844785690308","1.7828844785690308","1.7828844785690308","98","98","98"
"200000","2.1490633487701416","2.1490633487701416","2.1490633487701416","99","99","99"
"202000","1.9570720195770264","1.9570720195770264","1.9570720195770264","100","100","100"
"204000","1.7283475399017334","1.7283475399017334","1.7283475399017334","101","101","101"
"206000","2.127133369445801","2.127133369445801","2.127133369445801","102","102","102"
"208000","2.1755950450897217","2.1755950450897217","2.1755950450897217","103","103","103"
"210000","2.0886237621307373","2.0886237621307373","2.0886237621307373","104","104","104"
"212000","1.561661720275879","1.561661720275879","1.561661720275879","105","105","105"
"214000","2.0966105461120605","2.0966105461120605","2.0966105461120605","106","106","106"
"216000","2.2747490406036377","2.2747490406036377","2.2747490406036377","107","107","107"
"218000","1.9378652572631836","1.9378652572631836","1.9378652572631836","108","108","108"
"220000","1.85435152053833","1.85435152053833","1.85435152053833","109","109","109"
"222000","2.0674796104431152","2.0674796104431152","2.0674796104431152","110","110","110"
"224000","2.3856430053710938","2.3856430053710938","2.3856430053710938","111","111","111"
"226000","2.136989116668701","2.136989116668701","2.136989116668701","112","112","112"
"228000","1.8997828960418701","1.8997828960418701","1.8997828960418701","113","113","113"
"230000","2.007093906402588","2.007093906402588","2.007093906402588","114","114","114"
"232000","2.00337815284729","2.00337815284729","2.00337815284729","115","115","115"
"234000","1.8298379182815552","1.8298379182815552","1.8298379182815552","116","116","116"
"236000","2.060678005218506","2.060678005218506","2.060678005218506","117","117","117"
"238000","1.9862291812896729","1.9862291812896729","1.9862291812896729","118","118","118"
"240000","2.1282074451446533","2.1282074451446533","2.1282074451446533","119","119","119"
"242000","1.9803552627563477","1.9803552627563477","1.9803552627563477","120","120","120"
"244000","1.7993417978286743","1.7993417978286743","1.7993417978286743","121","121","121"
"246000","2.1275367736816406","2.1275367736816406","2.1275367736816406","122","122","122"
"248000","2.0744705200195312","2.0744705200195312","2.0744705200195312","123","123","123"
"250000","2.069489002227783","2.069489002227783","2.069489002227783","124","124","124"
"252000","2.0278210639953613","2.0278210639953613","2.0278210639953613","125","125","125"
"254000","2.3223094940185547","2.3223094940185547","2.3223094940185547","126","126","126"
"256000","2.1890180110931396","2.1890180110931396","2.1890180110931396","127","127","127"
