"global_step","251221_DQN - train/final_episode_iou","251221_DQN - train/final_episode_iou__MIN","251221_DQN - train/final_episode_iou__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"2000","0.23956575989723206","0.23956575989723206","0.23956575989723206","0","0","0"
"4000","0.2611117959022522","0.2611117959022522","0.2611117959022522","1","1","1"
"6000","0.1546339988708496","0.1546339988708496","0.1546339988708496","2","2","2"
"8000","0.40742331743240356","0.40742331743240356","0.40742331743240356","3","3","3"
"10000","0.4370218813419342","0.4370218813419342","0.4370218813419342","4","4","4"
"12000","0.35558685660362244","0.35558685660362244","0.35558685660362244","5","5","5"
"14000","0.2379717379808426","0.2379717379808426","0.2379717379808426","6","6","6"
"16000","0.1739499419927597","0.1739499419927597","0.1739499419927597","7","7","7"
"18000","0.3010438084602356","0.3010438084602356","0.3010438084602356","8","8","8"
"20000","0.3305980861186981","0.3305980861186981","0.3305980861186981","9","9","9"
"22000","0.37470102310180664","0.37470102310180664","0.37470102310180664","10","10","10"
"24000","0.27904415130615234","0.27904415130615234","0.27904415130615234","11","11","11"
"26000","0.3284488320350647","0.3284488320350647","0.3284488320350647","12","12","12"
"28000","0.22315526008605957","0.22315526008605957","0.22315526008605957","13","13","13"
"30000","0.44587695598602295","0.44587695598602295","0.44587695598602295","14","14","14"
"32000","0.299691766500473","0.299691766500473","0.299691766500473","15","15","15"
"34000","0.2161899358034134","0.2161899358034134","0.2161899358034134","16","16","16"
"36000","0.4143010377883911","0.4143010377883911","0.4143010377883911","17","17","17"
"38000","0.38537728786468506","0.38537728786468506","0.38537728786468506","18","18","18"
"40000","0.3558121919631958","0.3558121919631958","0.3558121919631958","19","19","19"
"42000","0.4115968644618988","0.4115968644618988","0.4115968644618988","20","20","20"
"44000","0.12629647552967072","0.12629647552967072","0.12629647552967072","21","21","21"
"46000","0.3209835886955261","0.3209835886955261","0.3209835886955261","22","22","22"
"48000","0.195020392537117","0.195020392537117","0.195020392537117","23","23","23"
"50000","0.4048672616481781","0.4048672616481781","0.4048672616481781","24","24","24"
"52000","0.237227663397789","0.237227663397789","0.237227663397789","25","25","25"
"54000","0.2532544434070587","0.2532544434070587","0.2532544434070587","26","26","26"
"56000","0.39945268630981445","0.39945268630981445","0.39945268630981445","27","27","27"
"58000","0.4180399775505066","0.4180399775505066","0.4180399775505066","28","28","28"
"60000","0.37229618430137634","0.37229618430137634","0.37229618430137634","29","29","29"
"62000","0.40331798791885376","0.40331798791885376","0.40331798791885376","30","30","30"
"64000","0.32311883568763733","0.32311883568763733","0.32311883568763733","31","31","31"
"66000","0.204120472073555","0.204120472073555","0.204120472073555","32","32","32"
"68000","0.33284685015678406","0.33284685015678406","0.33284685015678406","33","33","33"
"70000","0.2589714229106903","0.2589714229106903","0.2589714229106903","34","34","34"
"72000","0.1339394450187683","0.1339394450187683","0.1339394450187683","35","35","35"
"74000","0.37457722425460815","0.37457722425460815","0.37457722425460815","36","36","36"
"76000","0.4473348557949066","0.4473348557949066","0.4473348557949066","37","37","37"
"78000","0.39411109685897827","0.39411109685897827","0.39411109685897827","38","38","38"
"80000","0.3907320201396942","0.3907320201396942","0.3907320201396942","39","39","39"
"82000","0.3445204794406891","0.3445204794406891","0.3445204794406891","40","40","40"
"84000","0.3555906414985657","0.3555906414985657","0.3555906414985657","41","41","41"
"86000","0.2612009346485138","0.2612009346485138","0.2612009346485138","42","42","42"
"88000","0.37788891792297363","0.37788891792297363","0.37788891792297363","43","43","43"
"90000","0.3908538222312927","0.3908538222312927","0.3908538222312927","44","44","44"
"92000","0.4658833146095276","0.4658833146095276","0.4658833146095276","45","45","45"
"94000","0.2744707763195038","0.2744707763195038","0.2744707763195038","46","46","46"
"96000","0.40347179770469666","0.40347179770469666","0.40347179770469666","47","47","47"
"98000","0.36728018522262573","0.36728018522262573","0.36728018522262573","48","48","48"
"100000","0.14318032562732697","0.14318032562732697","0.14318032562732697","49","49","49"
"102000","0.37296077609062195","0.37296077609062195","0.37296077609062195","50","50","50"
"104000","0.05608576163649559","0.05608576163649559","0.05608576163649559","51","51","51"
"106000","0.23954689502716064","0.23954689502716064","0.23954689502716064","52","52","52"
"108000","0.3871564269065857","0.3871564269065857","0.3871564269065857","53","53","53"
"110000","0.3576873540878296","0.3576873540878296","0.3576873540878296","54","54","54"
"112000","0.23107600212097168","0.23107600212097168","0.23107600212097168","55","55","55"
