"global_step","251213_useLessPoint - rollout/ep_rew_mean","251213_useLessPoint - rollout/ep_rew_mean__MIN","251213_useLessPoint - rollout/ep_rew_mean__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"2000","-215.3242645263672","-215.3242645263672","-215.3242645263672","0","0","0"
"4000","-210.80361938476562","-210.80361938476562","-210.80361938476562","1","1","1"
"6000","-198.46641540527344","-198.46641540527344","-198.46641540527344","2","2","2"
"8000","-203.823486328125","-203.823486328125","-203.823486328125","3","3","3"
"10000","-202.40505981445312","-202.40505981445312","-202.40505981445312","4","4","4"
"12000","-188.01446533203125","-188.01446533203125","-188.01446533203125","5","5","5"
"14000","-174.87588500976562","-174.87588500976562","-174.87588500976562","6","6","6"
"16000","-172.8855743408203","-172.8855743408203","-172.8855743408203","7","7","7"
"18000","-184.39743041992188","-184.39743041992188","-184.39743041992188","8","8","8"
"20000","-189.04991149902344","-189.04991149902344","-189.04991149902344","9","9","9"
"22000","-179.349853515625","-179.349853515625","-179.349853515625","10","10","10"
"24000","-178.45321655273438","-178.45321655273438","-178.45321655273438","11","11","11"
"26000","-181.1149444580078","-181.1149444580078","-181.1149444580078","12","12","12"
"28000","-180.16217041015625","-180.16217041015625","-180.16217041015625","13","13","13"
"30000","-181.38360595703125","-181.38360595703125","-181.38360595703125","14","14","14"
"32000","-181.05465698242188","-181.05465698242188","-181.05465698242188","15","15","15"
"34000","-179.2418212890625","-179.2418212890625","-179.2418212890625","16","16","16"
"36000","-179.0047607421875","-179.0047607421875","-179.0047607421875","17","17","17"
"38000","-177.81016540527344","-177.81016540527344","-177.81016540527344","18","18","18"
"40000","-179.1866455078125","-179.1866455078125","-179.1866455078125","19","19","19"
"42000","-174.19447326660156","-174.19447326660156","-174.19447326660156","20","20","20"
"44000","-176.3266143798828","-176.3266143798828","-176.3266143798828","21","21","21"
"46000","-175.0286865234375","-175.0286865234375","-175.0286865234375","22","22","22"
"48000","-175.8658447265625","-175.8658447265625","-175.8658447265625","23","23","23"
"50000","-175.10165405273438","-175.10165405273438","-175.10165405273438","24","24","24"
"52000","-172.68560791015625","-172.68560791015625","-172.68560791015625","25","25","25"
"54000","-168.41983032226562","-168.41983032226562","-168.41983032226562","26","26","26"
"56000","-166.8690643310547","-166.8690643310547","-166.8690643310547","27","27","27"
"58000","-163.44094848632812","-163.44094848632812","-163.44094848632812","28","28","28"
"60000","-159.97125244140625","-159.97125244140625","-159.97125244140625","29","29","29"
"62000","-158.07684326171875","-158.07684326171875","-158.07684326171875","30","30","30"
"64000","-157.7085418701172","-157.7085418701172","-157.7085418701172","31","31","31"
"66000","-155.9799346923828","-155.9799346923828","-155.9799346923828","32","32","32"
"68000","-149.43421936035156","-149.43421936035156","-149.43421936035156","33","33","33"
"70000","-141.6344451904297","-141.6344451904297","-141.6344451904297","34","34","34"
"72000","-145.85232543945312","-145.85232543945312","-145.85232543945312","35","35","35"
"74000","-143.8507080078125","-143.8507080078125","-143.8507080078125","36","36","36"
"76000","-137.6829376220703","-137.6829376220703","-137.6829376220703","37","37","37"
"78000","-135.43714904785156","-135.43714904785156","-135.43714904785156","38","38","38"
"80000","-131.97344970703125","-131.97344970703125","-131.97344970703125","39","39","39"
"82000","-128.92201232910156","-128.92201232910156","-128.92201232910156","40","40","40"
"84000","-128.6786651611328","-128.6786651611328","-128.6786651611328","41","41","41"
"86000","-125.54544067382812","-125.54544067382812","-125.54544067382812","42","42","42"
"88000","-123.50630187988281","-123.50630187988281","-123.50630187988281","43","43","43"
"90000","-120.97880554199219","-120.97880554199219","-120.97880554199219","44","44","44"
"92000","-123.78607177734375","-123.78607177734375","-123.78607177734375","45","45","45"
"94000","-116.43555450439453","-116.43555450439453","-116.43555450439453","46","46","46"
"96000","-115.5610580444336","-115.5610580444336","-115.5610580444336","47","47","47"
"98000","-109.36483001708984","-109.36483001708984","-109.36483001708984","48","48","48"
"100000","-110.35199737548828","-110.35199737548828","-110.35199737548828","49","49","49"
"102000","-107.31634521484375","-107.31634521484375","-107.31634521484375","50","50","50"
"104000","-105.43663787841797","-105.43663787841797","-105.43663787841797","51","51","51"
"106000","-102.88542938232422","-102.88542938232422","-102.88542938232422","52","52","52"
"108000","-104.30940246582031","-104.30940246582031","-104.30940246582031","53","53","53"
"110000","-105.47723388671875","-105.47723388671875","-105.47723388671875","54","54","54"
"112000","-106.30538177490234","-106.30538177490234","-106.30538177490234","55","55","55"
"114000","-104.42024230957031","-104.42024230957031","-104.42024230957031","56","56","56"
"116000","-100.84222412109375","-100.84222412109375","-100.84222412109375","57","57","57"
"118000","-97.05591583251953","-97.05591583251953","-97.05591583251953","58","58","58"
"120000","-100.43309020996094","-100.43309020996094","-100.43309020996094","59","59","59"
"122000","-94.60934448242188","-94.60934448242188","-94.60934448242188","60","60","60"
"124000","-92.244384765625","-92.244384765625","-92.244384765625","61","61","61"
"126000","-93.59584045410156","-93.59584045410156","-93.59584045410156","62","62","62"
"128000","-91.2390365600586","-91.2390365600586","-91.2390365600586","63","63","63"
"130000","-88.60152435302734","-88.60152435302734","-88.60152435302734","64","64","64"
"132000","-89.14656829833984","-89.14656829833984","-89.14656829833984","65","65","65"
"134000","-89.98439025878906","-89.98439025878906","-89.98439025878906","66","66","66"
"136000","-89.95135498046875","-89.95135498046875","-89.95135498046875","67","67","67"
"138000","-89.37759399414062","-89.37759399414062","-89.37759399414062","68","68","68"
"140000","-89.29181671142578","-89.29181671142578","-89.29181671142578","69","69","69"
"142000","-84.24852752685547","-84.24852752685547","-84.24852752685547","70","70","70"
"144000","-81.77423858642578","-81.77423858642578","-81.77423858642578","71","71","71"
"146000","-77.00823974609375","-77.00823974609375","-77.00823974609375","72","72","72"
"148000","-79.6070785522461","-79.6070785522461","-79.6070785522461","73","73","73"
"150000","-77.82513427734375","-77.82513427734375","-77.82513427734375","74","74","74"
"152000","-78.86980438232422","-78.86980438232422","-78.86980438232422","75","75","75"
"154000","-79.89640808105469","-79.89640808105469","-79.89640808105469","76","76","76"
"156000","-81.7186050415039","-81.7186050415039","-81.7186050415039","77","77","77"
"158000","-80.11613464355469","-80.11613464355469","-80.11613464355469","78","78","78"
"160000","-75.85909271240234","-75.85909271240234","-75.85909271240234","79","79","79"
