"global_step","251213_useLessPoint - rollout/ep_len_mean","251213_useLessPoint - rollout/ep_len_mean__MIN","251213_useLessPoint - rollout/ep_len_mean__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"2000","500","500","500","0","0","0"
"4000","500","500","500","1","1","1"
"6000","500","500","500","2","2","2"
"8000","500","500","500","3","3","3"
"10000","500","500","500","4","4","4"
"12000","500","500","500","5","5","5"
"14000","500","500","500","6","6","6"
"16000","500","500","500","7","7","7"
"18000","500","500","500","8","8","8"
"20000","500","500","500","9","9","9"
"22000","500","500","500","10","10","10"
"24000","500","500","500","11","11","11"
"26000","500","500","500","12","12","12"
"28000","500","500","500","13","13","13"
"30000","500","500","500","14","14","14"
"32000","500","500","500","15","15","15"
"34000","500","500","500","16","16","16"
"36000","500","500","500","17","17","17"
"38000","500","500","500","18","18","18"
"40000","500","500","500","19","19","19"
"42000","500","500","500","20","20","20"
"44000","500","500","500","21","21","21"
"46000","500","500","500","22","22","22"
"48000","500","500","500","23","23","23"
"50000","500","500","500","24","24","24"
"52000","500","500","500","25","25","25"
"54000","500","500","500","26","26","26"
"56000","500","500","500","27","27","27"
"58000","500","500","500","28","28","28"
"60000","500","500","500","29","29","29"
"62000","500","500","500","30","30","30"
"64000","500","500","500","31","31","31"
"66000","500","500","500","32","32","32"
"68000","500","500","500","33","33","33"
"70000","500","500","500","34","34","34"
"72000","500","500","500","35","35","35"
"74000","500","500","500","36","36","36"
"76000","500","500","500","37","37","37"
"78000","500","500","500","38","38","38"
"80000","500","500","500","39","39","39"
"82000","500","500","500","40","40","40"
"84000","500","500","500","41","41","41"
"86000","500","500","500","42","42","42"
"88000","500","500","500","43","43","43"
"90000","500","500","500","44","44","44"
"92000","500","500","500","45","45","45"
"94000","500","500","500","46","46","46"
"96000","500","500","500","47","47","47"
"98000","500","500","500","48","48","48"
"100000","500","500","500","49","49","49"
"102000","500","500","500","50","50","50"
"104000","500","500","500","51","51","51"
"106000","500","500","500","52","52","52"
"108000","500","500","500","53","53","53"
"110000","500","500","500","54","54","54"
"112000","500","500","500","55","55","55"
"114000","500","500","500","56","56","56"
"116000","500","500","500","57","57","57"
"118000","500","500","500","58","58","58"
"120000","500","500","500","59","59","59"
"122000","500","500","500","60","60","60"
"124000","500","500","500","61","61","61"
"126000","500","500","500","62","62","62"
"128000","500","500","500","63","63","63"
"130000","500","500","500","64","64","64"
"132000","500","500","500","65","65","65"
"134000","500","500","500","66","66","66"
"136000","500","500","500","67","67","67"
"138000","500","500","500","68","68","68"
"140000","500","500","500","69","69","69"
"142000","500","500","500","70","70","70"
"144000","500","500","500","71","71","71"
"146000","500","500","500","72","72","72"
"148000","500","500","500","73","73","73"
"150000","500","500","500","74","74","74"
"152000","500","500","500","75","75","75"
"154000","500","500","500","76","76","76"
"156000","500","500","500","77","77","77"
"158000","500","500","500","78","78","78"
"160000","500","500","500","79","79","79"
"162000","500","500","500","80","80","80"
"164000","500","500","500","81","81","81"
"166000","500","500","500","82","82","82"
"168000","500","500","500","83","83","83"
"170000","500","500","500","84","84","84"
"172000","500","500","500","85","85","85"
"174000","500","500","500","86","86","86"
"176000","500","500","500","87","87","87"
"178000","500","500","500","88","88","88"
"180000","500","500","500","89","89","89"
"182000","500","500","500","90","90","90"
"184000","500","500","500","91","91","91"
"186000","500","500","500","92","92","92"
"188000","500","500","500","93","93","93"
"190000","500","500","500","94","94","94"
"192000","500","500","500","95","95","95"
"194000","500","500","500","96","96","96"
"196000","500","500","500","97","97","97"
"198000","500","500","500","98","98","98"
"200000","500","500","500","99","99","99"
"202000","500","500","500","100","100","100"
"204000","500","500","500","101","101","101"
"206000","500","500","500","102","102","102"
"208000","500","500","500","103","103","103"
"210000","500","500","500","104","104","104"
"212000","500","500","500","105","105","105"
"214000","500","500","500","106","106","106"
"216000","500","500","500","107","107","107"
"218000","500","500","500","108","108","108"
"220000","500","500","500","109","109","109"
"222000","500","500","500","110","110","110"
"224000","500","500","500","111","111","111"
"226000","500","500","500","112","112","112"
"228000","500","500","500","113","113","113"
"230000","500","500","500","114","114","114"
"232000","500","500","500","115","115","115"
"234000","500","500","500","116","116","116"
"236000","500","500","500","117","117","117"
"238000","500","500","500","118","118","118"
"240000","500","500","500","119","119","119"
"242000","500","500","500","120","120","120"
"244000","500","500","500","121","121","121"
"246000","500","500","500","122","122","122"
"248000","500","500","500","123","123","123"
"250000","500","500","500","124","124","124"
"252000","500","500","500","125","125","125"
"254000","500","500","500","126","126","126"
"256000","500","500","500","127","127","127"
"258000","500","500","500","128","128","128"
"260000","500","500","500","129","129","129"
"262000","500","500","500","130","130","130"
"264000","500","500","500","131","131","131"
"266000","500","500","500","132","132","132"
"268000","500","500","500","133","133","133"
"270000","500","500","500","134","134","134"
