"global_step","251213_useLessPoint - time/fps","251213_useLessPoint - time/fps__MIN","251213_useLessPoint - time/fps__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"2000","55","55","55","0","0","0"
"4000","44","44","44","1","1","1"
"6000","43","43","43","2","2","2"
"8000","40","40","40","3","3","3"
"10000","42","42","42","4","4","4"
"12000","40","40","40","5","5","5"
"14000","38","38","38","6","6","6"
"16000","36","36","36","7","7","7"
"18000","36","36","36","8","8","8"
"20000","35","35","35","9","9","9"
"22000","35","35","35","10","10","10"
"24000","35","35","35","11","11","11"
"26000","35","35","35","12","12","12"
"28000","34","34","34","13","13","13"
"30000","33","33","33","14","14","14"
"32000","33","33","33","15","15","15"
"34000","33","33","33","16","16","16"
"36000","33","33","33","17","17","17"
"38000","32","32","32","18","18","18"
"40000","32","32","32","19","19","19"
"42000","31","31","31","20","20","20"
"44000","31","31","31","21","21","21"
"46000","31","31","31","22","22","22"
"48000","31","31","31","23","23","23"
"50000","30","30","30","24","24","24"
"52000","30","30","30","25","25","25"
"54000","30","30","30","26","26","26"
"56000","30","30","30","27","27","27"
"58000","30","30","30","28","28","28"
"60000","29","29","29","29","29","29"
"62000","29","29","29","30","30","30"
"64000","29","29","29","31","31","31"
"66000","29","29","29","32","32","32"
"68000","29","29","29","33","33","33"
"70000","29","29","29","34","34","34"
"72000","29","29","29","35","35","35"
"74000","29","29","29","36","36","36"
"76000","29","29","29","37","37","37"
"78000","29","29","29","38","38","38"
"80000","29","29","29","39","39","39"
"82000","28","28","28","40","40","40"
"84000","28","28","28","41","41","41"
"86000","28","28","28","42","42","42"
"88000","28","28","28","43","43","43"
"90000","28","28","28","44","44","44"
"92000","28","28","28","45","45","45"
"94000","28","28","28","46","46","46"
"96000","28","28","28","47","47","47"
"98000","28","28","28","48","48","48"
"100000","28","28","28","49","49","49"
"102000","28","28","28","50","50","50"
"104000","28","28","28","51","51","51"
"106000","28","28","28","52","52","52"
"108000","28","28","28","53","53","53"
"110000","28","28","28","54","54","54"
"112000","28","28","28","55","55","55"
"114000","28","28","28","56","56","56"
"116000","27","27","27","57","57","57"
"118000","27","27","27","58","58","58"
"120000","27","27","27","59","59","59"
"122000","27","27","27","60","60","60"
"124000","27","27","27","61","61","61"
"126000","27","27","27","62","62","62"
"128000","27","27","27","63","63","63"
"130000","27","27","27","64","64","64"
"132000","27","27","27","65","65","65"
"134000","27","27","27","66","66","66"
"136000","27","27","27","67","67","67"
"138000","27","27","27","68","68","68"
"140000","27","27","27","69","69","69"
"142000","27","27","27","70","70","70"
"144000","27","27","27","71","71","71"
"146000","27","27","27","72","72","72"
"148000","27","27","27","73","73","73"
"150000","27","27","27","74","74","74"
"152000","27","27","27","75","75","75"
"154000","27","27","27","76","76","76"
"156000","27","27","27","77","77","77"
"158000","27","27","27","78","78","78"
"160000","27","27","27","79","79","79"
"162000","27","27","27","80","80","80"
"164000","27","27","27","81","81","81"
"166000","27","27","27","82","82","82"
"168000","27","27","27","83","83","83"
"170000","27","27","27","84","84","84"
"172000","27","27","27","85","85","85"
"174000","26","26","26","86","86","86"
"176000","26","26","26","87","87","87"
"178000","26","26","26","88","88","88"
"180000","26","26","26","89","89","89"
"182000","26","26","26","90","90","90"
"184000","26","26","26","91","91","91"
"186000","26","26","26","92","92","92"
"188000","26","26","26","93","93","93"
"190000","26","26","26","94","94","94"
"192000","26","26","26","95","95","95"
"194000","26","26","26","96","96","96"
"196000","26","26","26","97","97","97"
"198000","26","26","26","98","98","98"
"200000","26","26","26","99","99","99"
"202000","26","26","26","100","100","100"
"204000","26","26","26","101","101","101"
"206000","26","26","26","102","102","102"
"208000","26","26","26","103","103","103"
"210000","26","26","26","104","104","104"
"212000","26","26","26","105","105","105"
"214000","25","25","25","106","106","106"
"216000","25","25","25","107","107","107"
"218000","25","25","25","108","108","108"
"220000","25","25","25","109","109","109"
"222000","25","25","25","110","110","110"
"224000","25","25","25","111","111","111"
"226000","25","25","25","112","112","112"
"228000","25","25","25","113","113","113"
"230000","25","25","25","114","114","114"
