"global_step","251213_useLessPoint - train/value_loss","251213_useLessPoint - train/value_loss__MIN","251213_useLessPoint - train/value_loss__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"4000","30.62761116027832","30.62761116027832","30.62761116027832","1","1","1"
"6000","20.405733108520508","20.405733108520508","20.405733108520508","2","2","2"
"8000","27.597517013549805","27.597517013549805","27.597517013549805","3","3","3"
"10000","26.539562225341797","26.539562225341797","26.539562225341797","4","4","4"
"12000","24.740697860717773","24.740697860717773","24.740697860717773","5","5","5"
"14000","23.838130950927734","23.838130950927734","23.838130950927734","6","6","6"
"16000","22.476625442504883","22.476625442504883","22.476625442504883","7","7","7"
"18000","15.677334785461426","15.677334785461426","15.677334785461426","8","8","8"
"20000","23.849565505981445","23.849565505981445","23.849565505981445","9","9","9"
"22000","22.10163688659668","22.10163688659668","22.10163688659668","10","10","10"
"24000","17.867788314819336","17.867788314819336","17.867788314819336","11","11","11"
"26000","19.367631912231445","19.367631912231445","19.367631912231445","12","12","12"
"28000","22.1275577545166","22.1275577545166","22.1275577545166","13","13","13"
"30000","13.3430814743042","13.3430814743042","13.3430814743042","14","14","14"
"32000","16.007165908813477","16.007165908813477","16.007165908813477","15","15","15"
"34000","21.951400756835938","21.951400756835938","21.951400756835938","16","16","16"
"36000","18.047698974609375","18.047698974609375","18.047698974609375","17","17","17"
"38000","20.328466415405273","20.328466415405273","20.328466415405273","18","18","18"
"40000","17.763065338134766","17.763065338134766","17.763065338134766","19","19","19"
"42000","13.986865997314453","13.986865997314453","13.986865997314453","20","20","20"
"44000","20.324140548706055","20.324140548706055","20.324140548706055","21","21","21"
"46000","12.218011856079102","12.218011856079102","12.218011856079102","22","22","22"
"48000","14.266921997070312","14.266921997070312","14.266921997070312","23","23","23"
"50000","14.668924331665039","14.668924331665039","14.668924331665039","24","24","24"
"52000","13.564523696899414","13.564523696899414","13.564523696899414","25","25","25"
"54000","12.47990894317627","12.47990894317627","12.47990894317627","26","26","26"
"56000","13.599056243896484","13.599056243896484","13.599056243896484","27","27","27"
"58000","10.823311805725098","10.823311805725098","10.823311805725098","28","28","28"
"60000","19.34703254699707","19.34703254699707","19.34703254699707","29","29","29"
"62000","23.47614288330078","23.47614288330078","23.47614288330078","30","30","30"
"64000","12.532621383666992","12.532621383666992","12.532621383666992","31","31","31"
"66000","13.060235023498535","13.060235023498535","13.060235023498535","32","32","32"
"68000","20.45313835144043","20.45313835144043","20.45313835144043","33","33","33"
"70000","17.00984764099121","17.00984764099121","17.00984764099121","34","34","34"
"72000","15.82444953918457","15.82444953918457","15.82444953918457","35","35","35"
"74000","19.804899215698242","19.804899215698242","19.804899215698242","36","36","36"
"76000","13.381341934204102","13.381341934204102","13.381341934204102","37","37","37"
"78000","19.51590347290039","19.51590347290039","19.51590347290039","38","38","38"
"80000","16.603750228881836","16.603750228881836","16.603750228881836","39","39","39"
"82000","24.739009857177734","24.739009857177734","24.739009857177734","40","40","40"
"84000","11.389755249023438","11.389755249023438","11.389755249023438","41","41","41"
"86000","10.850120544433594","10.850120544433594","10.850120544433594","42","42","42"
"88000","10.179176330566406","10.179176330566406","10.179176330566406","43","43","43"
"90000","16.43187141418457","16.43187141418457","16.43187141418457","44","44","44"
"92000","18.479215621948242","18.479215621948242","18.479215621948242","45","45","45"
"94000","13.196460723876953","13.196460723876953","13.196460723876953","46","46","46"
"96000","10.649468421936035","10.649468421936035","10.649468421936035","47","47","47"
"98000","11.756645202636719","11.756645202636719","11.756645202636719","48","48","48"
"100000","10.973662376403809","10.973662376403809","10.973662376403809","49","49","49"
"102000","12.480036735534668","12.480036735534668","12.480036735534668","50","50","50"
"104000","28.585256576538086","28.585256576538086","28.585256576538086","51","51","51"
"106000","12.953825950622559","12.953825950622559","12.953825950622559","52","52","52"
"108000","21.072267532348633","21.072267532348633","21.072267532348633","53","53","53"
"110000","17.02374267578125","17.02374267578125","17.02374267578125","54","54","54"
"112000","17.93185043334961","17.93185043334961","17.93185043334961","55","55","55"
"114000","11.327037811279297","11.327037811279297","11.327037811279297","56","56","56"
"116000","8.790438652038574","8.790438652038574","8.790438652038574","57","57","57"
"118000","8.574878692626953","8.574878692626953","8.574878692626953","58","58","58"
"120000","11.017838478088379","11.017838478088379","11.017838478088379","59","59","59"
"122000","15.476428985595703","15.476428985595703","15.476428985595703","60","60","60"
"124000","13.029145240783691","13.029145240783691","13.029145240783691","61","61","61"
"126000","8.438467979431152","8.438467979431152","8.438467979431152","62","62","62"
