"global_step","251213_useLessPoint - train/policy_gradient_loss","251213_useLessPoint - train/policy_gradient_loss__MIN","251213_useLessPoint - train/policy_gradient_loss__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"4000","-0.02885221317410469","-0.02885221317410469","-0.02885221317410469","1","1","1"
"6000","-0.012667748145759106","-0.012667748145759106","-0.012667748145759106","2","2","2"
"8000","-0.008715520612895489","-0.008715520612895489","-0.008715520612895489","3","3","3"
"10000","-0.00411670608446002","-0.00411670608446002","-0.00411670608446002","4","4","4"
"12000","-0.02016156166791916","-0.02016156166791916","-0.02016156166791916","5","5","5"
"14000","-0.005431961268186569","-0.005431961268186569","-0.005431961268186569","6","6","6"
"16000","-0.003591398010030389","-0.003591398010030389","-0.003591398010030389","7","7","7"
"18000","-0.006832714192569256","-0.006832714192569256","-0.006832714192569256","8","8","8"
"20000","-0.004751460626721382","-0.004751460626721382","-0.004751460626721382","9","9","9"
"22000","-0.0069582900032401085","-0.0069582900032401085","-0.0069582900032401085","10","10","10"
"24000","-0.009936055168509483","-0.009936055168509483","-0.009936055168509483","11","11","11"
"26000","-0.008731381967663765","-0.008731381967663765","-0.008731381967663765","12","12","12"
"28000","-0.01029528584331274","-0.01029528584331274","-0.01029528584331274","13","13","13"
"30000","-0.004899610765278339","-0.004899610765278339","-0.004899610765278339","14","14","14"
"32000","-0.015829680487513542","-0.015829680487513542","-0.015829680487513542","15","15","15"
"34000","-0.004988384433090687","-0.004988384433090687","-0.004988384433090687","16","16","16"
"36000","-0.004486864898353815","-0.004486864898353815","-0.004486864898353815","17","17","17"
"38000","-0.008800109848380089","-0.008800109848380089","-0.008800109848380089","18","18","18"
"40000","-0.008579649031162262","-0.008579649031162262","-0.008579649031162262","19","19","19"
"42000","-0.006555144675076008","-0.006555144675076008","-0.006555144675076008","20","20","20"
"44000","-0.007250775117427111","-0.007250775117427111","-0.007250775117427111","21","21","21"
"46000","-0.009569596499204636","-0.009569596499204636","-0.009569596499204636","22","22","22"
"48000","-0.00394849106669426","-0.00394849106669426","-0.00394849106669426","23","23","23"
"50000","-0.00651114946231246","-0.00651114946231246","-0.00651114946231246","24","24","24"
"52000","-0.005208446178585291","-0.005208446178585291","-0.005208446178585291","25","25","25"
"54000","-0.016013456508517265","-0.016013456508517265","-0.016013456508517265","26","26","26"
"56000","-0.006907238159328699","-0.006907238159328699","-0.006907238159328699","27","27","27"
"58000","-0.005203600041568279","-0.005203600041568279","-0.005203600041568279","28","28","28"
"60000","-0.009339418262243271","-0.009339418262243271","-0.009339418262243271","29","29","29"
"62000","-0.00754666468128562","-0.00754666468128562","-0.00754666468128562","30","30","30"
"64000","-0.00595678947865963","-0.00595678947865963","-0.00595678947865963","31","31","31"
"66000","-0.00940687581896782","-0.00940687581896782","-0.00940687581896782","32","32","32"
"68000","-0.011239971965551376","-0.011239971965551376","-0.011239971965551376","33","33","33"
"70000","-0.005286851432174444","-0.005286851432174444","-0.005286851432174444","34","34","34"
"72000","-0.014925118535757065","-0.014925118535757065","-0.014925118535757065","35","35","35"
"74000","-0.008009340614080429","-0.008009340614080429","-0.008009340614080429","36","36","36"
"76000","-0.00898347795009613","-0.00898347795009613","-0.00898347795009613","37","37","37"
"78000","-0.003658305387943983","-0.003658305387943983","-0.003658305387943983","38","38","38"
"80000","-0.005086909048259258","-0.005086909048259258","-0.005086909048259258","39","39","39"
"82000","-0.007395610678941011","-0.007395610678941011","-0.007395610678941011","40","40","40"
"84000","-0.015928840264678","-0.015928840264678","-0.015928840264678","41","41","41"
"86000","-0.008441401645541191","-0.008441401645541191","-0.008441401645541191","42","42","42"
"88000","-0.008595959283411503","-0.008595959283411503","-0.008595959283411503","43","43","43"
"90000","-0.009702504612505436","-0.009702504612505436","-0.009702504612505436","44","44","44"
