"global_step","251213_useLessPoint - train/loss","251213_useLessPoint - train/loss__MIN","251213_useLessPoint - train/loss__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"4000","11.334911346435547","11.334911346435547","11.334911346435547","1","1","1"
"6000","9.441062927246094","9.441062927246094","9.441062927246094","2","2","2"
"8000","12.778000831604004","12.778000831604004","12.778000831604004","3","3","3"
"10000","10.041892051696777","10.041892051696777","10.041892051696777","4","4","4"
"12000","10.339624404907227","10.339624404907227","10.339624404907227","5","5","5"
"14000","12.637661933898926","12.637661933898926","12.637661933898926","6","6","6"
"16000","9.366485595703125","9.366485595703125","9.366485595703125","7","7","7"
"18000","5.91637659072876","5.91637659072876","5.91637659072876","8","8","8"
"20000","12.25780963897705","12.25780963897705","12.25780963897705","9","9","9"
"22000","10.947057723999023","10.947057723999023","10.947057723999023","10","10","10"
"24000","7.324192047119141","7.324192047119141","7.324192047119141","11","11","11"
"26000","7.127090930938721","7.127090930938721","7.127090930938721","12","12","12"
"28000","8.439358711242676","8.439358711242676","8.439358711242676","13","13","13"
"30000","6.4860382080078125","6.4860382080078125","6.4860382080078125","14","14","14"
"32000","6.922420978546143","6.922420978546143","6.922420978546143","15","15","15"
"34000","6.784965991973877","6.784965991973877","6.784965991973877","16","16","16"
"36000","6.138134956359863","6.138134956359863","6.138134956359863","17","17","17"
"38000","11.191082954406738","11.191082954406738","11.191082954406738","18","18","18"
"40000","6.400105953216553","6.400105953216553","6.400105953216553","19","19","19"
"42000","5.31519889831543","5.31519889831543","5.31519889831543","20","20","20"
"44000","9.632610321044922","9.632610321044922","9.632610321044922","21","21","21"
"46000","4.62813138961792","4.62813138961792","4.62813138961792","22","22","22"
"48000","7.119780540466309","7.119780540466309","7.119780540466309","23","23","23"
"50000","7.262598037719727","7.262598037719727","7.262598037719727","24","24","24"
"52000","6.743868350982666","6.743868350982666","6.743868350982666","25","25","25"
"54000","3.8046576976776123","3.8046576976776123","3.8046576976776123","26","26","26"
"56000","4.672758102416992","4.672758102416992","4.672758102416992","27","27","27"
"58000","4.842591762542725","4.842591762542725","4.842591762542725","28","28","28"
"60000","8.322686195373535","8.322686195373535","8.322686195373535","29","29","29"
"62000","9.837728500366211","9.837728500366211","9.837728500366211","30","30","30"
"64000","6.067809581756592","6.067809581756592","6.067809581756592","31","31","31"
"66000","5.629523277282715","5.629523277282715","5.629523277282715","32","32","32"
"68000","9.486808776855469","9.486808776855469","9.486808776855469","33","33","33"
"70000","5.381344795227051","5.381344795227051","5.381344795227051","34","34","34"
"72000","6.045653343200684","6.045653343200684","6.045653343200684","35","35","35"
"74000","11.11437702178955","11.11437702178955","11.11437702178955","36","36","36"
"76000","4.720635414123535","4.720635414123535","4.720635414123535","37","37","37"
"78000","8.356832504272461","8.356832504272461","8.356832504272461","38","38","38"
"80000","6.470709323883057","6.470709323883057","6.470709323883057","39","39","39"
"82000","7.362910747528076","7.362910747528076","7.362910747528076","40","40","40"
"84000","5.261636257171631","5.261636257171631","5.261636257171631","41","41","41"
"86000","3.4523823261260986","3.4523823261260986","3.4523823261260986","42","42","42"
"88000","4.535898685455322","4.535898685455322","4.535898685455322","43","43","43"
"90000","5.47014856338501","5.47014856338501","5.47014856338501","44","44","44"
"92000","6.533792972564697","6.533792972564697","6.533792972564697","45","45","45"
"94000","4.111291885375977","4.111291885375977","4.111291885375977","46","46","46"
"96000","3.204071044921875","3.204071044921875","3.204071044921875","47","47","47"
"98000","4.14560604095459","4.14560604095459","4.14560604095459","48","48","48"
"100000","3.6776840686798096","3.6776840686798096","3.6776840686798096","49","49","49"
"102000","6.129613876342773","6.129613876342773","6.129613876342773","50","50","50"
"104000","10.334117889404297","10.334117889404297","10.334117889404297","51","51","51"
"106000","7.581932067871094","7.581932067871094","7.581932067871094","52","52","52"
"108000","8.803261756896973","8.803261756896973","8.803261756896973","53","53","53"
"110000","7.044168949127197","7.044168949127197","7.044168949127197","54","54","54"
"112000","7.666377544403076","7.666377544403076","7.666377544403076","55","55","55"
"114000","4.737585067749023","4.737585067749023","4.737585067749023","56","56","56"
"116000","3.6396424770355225","3.6396424770355225","3.6396424770355225","57","57","57"
"118000","3.1811447143554688","3.1811447143554688","3.1811447143554688","58","58","58"
"120000","3.35508394241333","3.35508394241333","3.35508394241333","59","59","59"
"122000","8.79269790649414","8.79269790649414","8.79269790649414","60","60","60"
"124000","4.373337745666504","4.373337745666504","4.373337745666504","61","61","61"
"126000","3.304046392440796","3.304046392440796","3.304046392440796","62","62","62"
"128000","4.401454448699951","4.401454448699951","4.401454448699951","63","63","63"
"130000","8.892611503601074","8.892611503601074","8.892611503601074","64","64","64"
"132000","5.800528049468994","5.800528049468994","5.800528049468994","65","65","65"
"134000","8.193742752075195","8.193742752075195","8.193742752075195","66","66","66"
"136000","5.860101699829102","5.860101699829102","5.860101699829102","67","67","67"
"138000","3.5724523067474365","3.5724523067474365","3.5724523067474365","68","68","68"
"140000","8.077247619628906","8.077247619628906","8.077247619628906","69","69","69"
"142000","7.320958614349365","7.320958614349365","7.320958614349365","70","70","70"
"144000","3.9672586917877197","3.9672586917877197","3.9672586917877197","71","71","71"
"146000","7.801936626434326","7.801936626434326","7.801936626434326","72","72","72"
"148000","4.190149307250977","4.190149307250977","4.190149307250977","73","73","73"
"150000","3.171403646469116","3.171403646469116","3.171403646469116","74","74","74"
"152000","5.754383087158203","5.754383087158203","5.754383087158203","75","75","75"
"154000","4.54146146774292","4.54146146774292","4.54146146774292","76","76","76"
"156000","5.167637825012207","5.167637825012207","5.167637825012207","77","77","77"
"158000","3.301853895187378","3.301853895187378","3.301853895187378","78","78","78"
"160000","3.2702553272247314","3.2702553272247314","3.2702553272247314","79","79","79"
"162000","4.180983066558838","4.180983066558838","4.180983066558838","80","80","80"
"164000","3.2257442474365234","3.2257442474365234","3.2257442474365234","81","81","81"
"166000","2.22751784324646","2.22751784324646","2.22751784324646","82","82","82"
"168000","2.2100582122802734","2.2100582122802734","2.2100582122802734","83","83","83"
"170000","2.499796152114868","2.499796152114868","2.499796152114868","84","84","84"
"172000","2.5257976055145264","2.5257976055145264","2.5257976055145264","85","85","85"
"174000","3.5697367191314697","3.5697367191314697","3.5697367191314697","86","86","86"
"176000","2.145890235900879","2.145890235900879","2.145890235900879","87","87","87"
"178000","2.8495264053344727","2.8495264053344727","2.8495264053344727","88","88","88"
"180000","2.04156494140625","2.04156494140625","2.04156494140625","89","89","89"
"182000","4.3010711669921875","4.3010711669921875","4.3010711669921875","90","90","90"
"184000","7.539968967437744","7.539968967437744","7.539968967437744","91","91","91"
"186000","4.318909168243408","4.318909168243408","4.318909168243408","92","92","92"
"188000","3.9489645957946777","3.9489645957946777","3.9489645957946777","93","93","93"
"190000","3.888171434402466","3.888171434402466","3.888171434402466","94","94","94"
"192000","3.947312355041504","3.947312355041504","3.947312355041504","95","95","95"
"194000","5.234728813171387","5.234728813171387","5.234728813171387","96","96","96"
"196000","3.5400381088256836","3.5400381088256836","3.5400381088256836","97","97","97"
"198000","3.806887626647949","3.806887626647949","3.806887626647949","98","98","98"
"200000","4.483369827270508","4.483369827270508","4.483369827270508","99","99","99"
"202000","4.623473167419434","4.623473167419434","4.623473167419434","100","100","100"
"204000","3.7515249252319336","3.7515249252319336","3.7515249252319336","101","101","101"
"206000","1.8201006650924683","1.8201006650924683","1.8201006650924683","102","102","102"
"208000","2.6828806400299072","2.6828806400299072","2.6828806400299072","103","103","103"
"210000","2.345276355743408","2.345276355743408","2.345276355743408","104","104","104"
"212000","3.1566452980041504","3.1566452980041504","3.1566452980041504","105","105","105"
"214000","3.8955583572387695","3.8955583572387695","3.8955583572387695","106","106","106"
"216000","3.6268348693847656","3.6268348693847656","3.6268348693847656","107","107","107"
"218000","2.1054303646087646","2.1054303646087646","2.1054303646087646","108","108","108"
"220000","5.259970188140869","5.259970188140869","5.259970188140869","109","109","109"
"222000","3.4869601726531982","3.4869601726531982","3.4869601726531982","110","110","110"
"224000","3.321538209915161","3.321538209915161","3.321538209915161","111","111","111"
"226000","4.876810073852539","4.876810073852539","4.876810073852539","112","112","112"
"228000","2.997147798538208","2.997147798538208","2.997147798538208","113","113","113"
"230000","6.179483413696289","6.179483413696289","6.179483413696289","114","114","114"
"232000","6.310491561889648","6.310491561889648","6.310491561889648","115","115","115"
"234000","3.9357547760009766","3.9357547760009766","3.9357547760009766","116","116","116"
"236000","2.712172031402588","2.712172031402588","2.712172031402588","117","117","117"
"238000","2.3362958431243896","2.3362958431243896","2.3362958431243896","118","118","118"
"240000","5.4804511070251465","5.4804511070251465","5.4804511070251465","119","119","119"
"242000","9.362028121948242","9.362028121948242","9.362028121948242","120","120","120"
"244000","5.197359085083008","5.197359085083008","5.197359085083008","121","121","121"
"246000","3.3995659351348877","3.3995659351348877","3.3995659351348877","122","122","122"
"248000","1.5548269748687744","1.5548269748687744","1.5548269748687744","123","123","123"
"250000","3.2497620582580566","3.2497620582580566","3.2497620582580566","124","124","124"
