"global_step","251213_useLessPoint - train/learning_rate","251213_useLessPoint - train/learning_rate__MIN","251213_useLessPoint - train/learning_rate__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"4000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","1","1","1"
"6000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","2","2","2"
"8000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","3","3","3"
"10000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","4","4","4"
"12000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","5","5","5"
"14000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","6","6","6"
"16000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","7","7","7"
"18000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","8","8","8"
"20000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","9","9","9"
"22000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","10","10","10"
"24000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","11","11","11"
"26000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","12","12","12"
"28000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","13","13","13"
"30000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","14","14","14"
"32000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","15","15","15"
"34000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","16","16","16"
"36000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","17","17","17"
"38000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","18","18","18"
"40000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","19","19","19"
"42000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","20","20","20"
"44000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","21","21","21"
"46000","0.0003000000142492354","0.0003000000142492354","0.0003000000142492354","22","22","22"
