"global_step","251213_useLessPoint - train/final_recall","251213_useLessPoint - train/final_recall__MIN","251213_useLessPoint - train/final_recall__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"2000","0.25735709071159363","0.25735709071159363","0.25735709071159363","0","0","0"
"4000","0.2748320400714874","0.2748320400714874","0.2748320400714874","1","1","1"
"6000","0.19576333463191986","0.19576333463191986","0.19576333463191986","2","2","2"
"8000","0.5076228380203247","0.5076228380203247","0.5076228380203247","3","3","3"
"10000","0.35893386602401733","0.35893386602401733","0.35893386602401733","4","4","4"
"12000","0.4084348678588867","0.4084348678588867","0.4084348678588867","5","5","5"
"14000","0.47760075330734253","0.47760075330734253","0.47760075330734253","6","6","6"
"16000","0.6530581116676331","0.6530581116676331","0.6530581116676331","7","7","7"
"18000","0.058862827718257904","0.058862827718257904","0.058862827718257904","8","8","8"
"20000","0.14101436734199524","0.14101436734199524","0.14101436734199524","9","9","9"
"22000","0.24105754494667053","0.24105754494667053","0.24105754494667053","10","10","10"
"24000","0.4998588263988495","0.4998588263988495","0.4998588263988495","11","11","11"
"26000","0.28782492876052856","0.28782492876052856","0.28782492876052856","12","12","12"
"28000","0.41958609223365784","0.41958609223365784","0.41958609223365784","13","13","13"
"30000","0.4147682785987854","0.4147682785987854","0.4147682785987854","14","14","14"
"32000","0.20568101108074188","0.20568101108074188","0.20568101108074188","15","15","15"
"34000","0.3835800886154175","0.3835800886154175","0.3835800886154175","16","16","16"
"36000","0.2639976143836975","0.2639976143836975","0.2639976143836975","17","17","17"
"38000","0.446624219417572","0.446624219417572","0.446624219417572","18","18","18"
"40000","0.3225247263908386","0.3225247263908386","0.3225247263908386","19","19","19"
"42000","0.3975833058357239","0.3975833058357239","0.3975833058357239","20","20","20"
"44000","0.32906901836395264","0.32906901836395264","0.32906901836395264","21","21","21"
"46000","0.2381620556116104","0.2381620556116104","0.2381620556116104","22","22","22"
"48000","0.31825241446495056","0.31825241446495056","0.31825241446495056","23","23","23"
"50000","0.35225602984428406","0.35225602984428406","0.35225602984428406","24","24","24"
"52000","0.2867414951324463","0.2867414951324463","0.2867414951324463","25","25","25"
"54000","0.2845163345336914","0.2845163345336914","0.2845163345336914","26","26","26"
"56000","0.3962879776954651","0.3962879776954651","0.3962879776954651","27","27","27"
"58000","0.5814685821533203","0.5814685821533203","0.5814685821533203","28","28","28"
"60000","0.29089421033859253","0.29089421033859253","0.29089421033859253","29","29","29"
"62000","0.5165126323699951","0.5165126323699951","0.5165126323699951","30","30","30"
"64000","0.28516900539398193","0.28516900539398193","0.28516900539398193","31","31","31"
"66000","0.3740166425704956","0.3740166425704956","0.3740166425704956","32","32","32"
"68000","0.27775445580482483","0.27775445580482483","0.27775445580482483","33","33","33"
"70000","0.6233825087547302","0.6233825087547302","0.6233825087547302","34","34","34"
"72000","0.061809662729501724","0.061809662729501724","0.061809662729501724","35","35","35"
"74000","0.48262980580329895","0.48262980580329895","0.48262980580329895","36","36","36"
"76000","0.5080077648162842","0.5080077648162842","0.5080077648162842","37","37","37"
"78000","0.3071509599685669","0.3071509599685669","0.3071509599685669","38","38","38"
"80000","0.1446789801120758","0.1446789801120758","0.1446789801120758","39","39","39"
"82000","0.229229137301445","0.229229137301445","0.229229137301445","40","40","40"
"84000","0.048541247844696045","0.048541247844696045","0.048541247844696045","41","41","41"
"86000","0.1732058972120285","0.1732058972120285","0.1732058972120285","42","42","42"
"88000","0.5403421521186829","0.5403421521186829","0.5403421521186829","43","43","43"
"90000","0.13096961379051208","0.13096961379051208","0.13096961379051208","44","44","44"
"92000","0.20794445276260376","0.20794445276260376","0.20794445276260376","45","45","45"
"94000","0.21740439534187317","0.21740439534187317","0.21740439534187317","46","46","46"
"96000","0.3816802501678467","0.3816802501678467","0.3816802501678467","47","47","47"
"98000","0.3255718946456909","0.3255718946456909","0.3255718946456909","48","48","48"
"100000","0.0548802949488163","0.0548802949488163","0.0548802949488163","49","49","49"
"102000","0.10000000149011612","0.10000000149011612","0.10000000149011612","50","50","50"
"104000","0.26912248134613037","0.26912248134613037","0.26912248134613037","51","51","51"
"106000","0.40212053060531616","0.40212053060531616","0.40212053060531616","52","52","52"
"108000","0.19117960333824158","0.19117960333824158","0.19117960333824158","53","53","53"
"110000","0.3473721146583557","0.3473721146583557","0.3473721146583557","54","54","54"
"112000","0.3723748028278351","0.3723748028278351","0.3723748028278351","55","55","55"
"114000","0.308415025472641","0.308415025472641","0.308415025472641","56","56","56"
"116000","0.5795921087265015","0.5795921087265015","0.5795921087265015","57","57","57"
"118000","0.8017088174819946","0.8017088174819946","0.8017088174819946","58","58","58"
"120000","0.17896713316440582","0.17896713316440582","0.17896713316440582","59","59","59"
"122000","0.4500466287136078","0.4500466287136078","0.4500466287136078","60","60","60"
"124000","0.49721866846084595","0.49721866846084595","0.49721866846084595","61","61","61"
"126000","0.43496474623680115","0.43496474623680115","0.43496474623680115","62","62","62"
"128000","0.449598491191864","0.449598491191864","0.449598491191864","63","63","63"
"130000","0.31980419158935547","0.31980419158935547","0.31980419158935547","64","64","64"
"132000","0.17964322865009308","0.17964322865009308","0.17964322865009308","65","65","65"
"134000","0.2821386754512787","0.2821386754512787","0.2821386754512787","66","66","66"
"136000","0.28987109661102295","0.28987109661102295","0.28987109661102295","67","67","67"
"138000","0.02922005020081997","0.02922005020081997","0.02922005020081997","68","68","68"
"140000","0.3191489279270172","0.3191489279270172","0.3191489279270172","69","69","69"
"142000","0.492141455411911","0.492141455411911","0.492141455411911","70","70","70"
"144000","0.3744075894355774","0.3744075894355774","0.3744075894355774","71","71","71"
"146000","0.5750728845596313","0.5750728845596313","0.5750728845596313","72","72","72"
"148000","0.22384895384311676","0.22384895384311676","0.22384895384311676","73","73","73"
"150000","0.2563047409057617","0.2563047409057617","0.2563047409057617","74","74","74"
"152000","0.4104713499546051","0.4104713499546051","0.4104713499546051","75","75","75"
"154000","0.5448059439659119","0.5448059439659119","0.5448059439659119","76","76","76"
"156000","0.2848500907421112","0.2848500907421112","0.2848500907421112","77","77","77"
