"global_step","251213_useLessPoint - train/final_pos_count","251213_useLessPoint - train/final_pos_count__MIN","251213_useLessPoint - train/final_pos_count__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"2000","11","11","11","0","0","0"
"4000","14","14","14","1","1","1"
"6000","9","9","9","2","2","2"
"8000","15","15","15","3","3","3"
"10000","12","12","12","4","4","4"
"12000","15","15","15","5","5","5"
"14000","15","15","15","6","6","6"
"16000","14","14","14","7","7","7"
"18000","4","4","4","8","8","8"
"20000","9","9","9","9","9","9"
"22000","11","11","11","10","10","10"
"24000","15","15","15","11","11","11"
"26000","9","9","9","12","12","12"
"28000","13","13","13","13","13","13"
"30000","13","13","13","14","14","14"
"32000","8","8","8","15","15","15"
"34000","15","15","15","16","16","16"
"36000","7","7","7","17","17","17"
"38000","15","15","15","18","18","18"
"40000","15","15","15","19","19","19"
"42000","14","14","14","20","20","20"
"44000","15","15","15","21","21","21"
"46000","8","8","8","22","22","22"
"48000","12","12","12","23","23","23"
"50000","15","15","15","24","24","24"
"52000","12","12","12","25","25","25"
"54000","11","11","11","26","26","26"
"56000","15","15","15","27","27","27"
"58000","14","14","14","28","28","28"
"60000","9","9","9","29","29","29"
"62000","15","15","15","30","30","30"
"64000","15","15","15","31","31","31"
"66000","11","11","11","32","32","32"
"68000","9","9","9","33","33","33"
"70000","12","12","12","34","34","34"
"72000","6","6","6","35","35","35"
"74000","15","15","15","36","36","36"
"76000","15","15","15","37","37","37"
"78000","9","9","9","38","38","38"
"80000","3","3","3","39","39","39"
"82000","10","10","10","40","40","40"
"84000","13","13","13","41","41","41"
"86000","11","11","11","42","42","42"
"88000","15","15","15","43","43","43"
"90000","9","9","9","44","44","44"
"92000","13","13","13","45","45","45"
"94000","12","12","12","46","46","46"
"96000","14","14","14","47","47","47"
"98000","15","15","15","48","48","48"
"100000","4","4","4","49","49","49"
"102000","4","4","4","50","50","50"
"104000","10","10","10","51","51","51"
"106000","15","15","15","52","52","52"
"108000","12","12","12","53","53","53"
"110000","11","11","11","54","54","54"
"112000","15","15","15","55","55","55"
"114000","15","15","15","56","56","56"
"116000","15","15","15","57","57","57"
"118000","15","15","15","58","58","58"
"120000","15","15","15","59","59","59"
"122000","14","14","14","60","60","60"
"124000","15","15","15","61","61","61"
"126000","15","15","15","62","62","62"
"128000","14","14","14","63","63","63"
"130000","15","15","15","64","64","64"
"132000","12","12","12","65","65","65"
"134000","15","15","15","66","66","66"
"136000","15","15","15","67","67","67"
"138000","7","7","7","68","68","68"
"140000","13","13","13","69","69","69"
"142000","15","15","15","70","70","70"
"144000","14","14","14","71","71","71"
"146000","15","15","15","72","72","72"
"148000","13","13","13","73","73","73"
"150000","12","12","12","74","74","74"
"152000","13","13","13","75","75","75"
"154000","15","15","15","76","76","76"
"156000","6","6","6","77","77","77"
"158000","13","13","13","78","78","78"
"160000","11","11","11","79","79","79"
"162000","7","7","7","80","80","80"
"164000","14","14","14","81","81","81"
"166000","14","14","14","82","82","82"
"168000","13","13","13","83","83","83"
"170000","14","14","14","84","84","84"
"172000","15","15","15","85","85","85"
"174000","15","15","15","86","86","86"
"176000","15","15","15","87","87","87"
"178000","15","15","15","88","88","88"
"180000","15","15","15","89","89","89"
"182000","15","15","15","90","90","90"
"184000","15","15","15","91","91","91"
"186000","15","15","15","92","92","92"
"188000","13","13","13","93","93","93"
"190000","13","13","13","94","94","94"
"192000","3","3","3","95","95","95"
"194000","15","15","15","96","96","96"
"196000","10","10","10","97","97","97"
"198000","4","4","4","98","98","98"
"200000","14","14","14","99","99","99"
"202000","8","8","8","100","100","100"
"204000","14","14","14","101","101","101"
"206000","11","11","11","102","102","102"
"208000","12","12","12","103","103","103"
"210000","15","15","15","104","104","104"
"212000","15","15","15","105","105","105"
"214000","15","15","15","106","106","106"
"216000","13","13","13","107","107","107"
"218000","14","14","14","108","108","108"
"220000","14","14","14","109","109","109"
"222000","15","15","15","110","110","110"
