"global_step","251213_useLessPoint - train/final_neg_count","251213_useLessPoint - train/final_neg_count__MIN","251213_useLessPoint - train/final_neg_count__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"2000","15","15","15","0","0","0"
"4000","4","4","4","1","1","1"
"6000","5","5","5","2","2","2"
"8000","5","5","5","3","3","3"
"10000","3","3","3","4","4","4"
"12000","8","8","8","5","5","5"
"14000","9","9","9","6","6","6"
"16000","3","3","3","7","7","7"
"18000","5","5","5","8","8","8"
"20000","6","6","6","9","9","9"
"22000","4","4","4","10","10","10"
"24000","14","14","14","11","11","11"
"26000","9","9","9","12","12","12"
"28000","3","3","3","13","13","13"
"30000","9","9","9","14","14","14"
"32000","15","15","15","15","15","15"
"34000","3","3","3","16","16","16"
"36000","12","12","12","17","17","17"
"38000","12","12","12","18","18","18"
"40000","5","5","5","19","19","19"
"42000","13","13","13","20","20","20"
"44000","12","12","12","21","21","21"
"46000","10","10","10","22","22","22"
"48000","3","3","3","23","23","23"
"50000","7","7","7","24","24","24"
"52000","10","10","10","25","25","25"
"54000","5","5","5","26","26","26"
"56000","4","4","4","27","27","27"
"58000","8","8","8","28","28","28"
"60000","6","6","6","29","29","29"
"62000","11","11","11","30","30","30"
"64000","11","11","11","31","31","31"
"66000","15","15","15","32","32","32"
"68000","6","6","6","33","33","33"
"70000","4","4","4","34","34","34"
"72000","7","7","7","35","35","35"
"74000","4","4","4","36","36","36"
"76000","11","11","11","37","37","37"
"78000","5","5","5","38","38","38"
"80000","8","8","8","39","39","39"
"82000","9","9","9","40","40","40"
"84000","3","3","3","41","41","41"
"86000","9","9","9","42","42","42"
"88000","8","8","8","43","43","43"
"90000","4","4","4","44","44","44"
"92000","10","10","10","45","45","45"
"94000","6","6","6","46","46","46"
"96000","10","10","10","47","47","47"
"98000","5","5","5","48","48","48"
"100000","5","5","5","49","49","49"
"102000","10","10","10","50","50","50"
"104000","14","14","14","51","51","51"
"106000","11","11","11","52","52","52"
"108000","14","14","14","53","53","53"
"110000","12","12","12","54","54","54"
"112000","10","10","10","55","55","55"
"114000","5","5","5","56","56","56"
"116000","12","12","12","57","57","57"
"118000","4","4","4","58","58","58"
"120000","10","10","10","59","59","59"
"122000","9","9","9","60","60","60"
"124000","6","6","6","61","61","61"
"126000","13","13","13","62","62","62"
"128000","15","15","15","63","63","63"
"130000","10","10","10","64","64","64"
"132000","10","10","10","65","65","65"
"134000","8","8","8","66","66","66"
"136000","4","4","4","67","67","67"
"138000","4","4","4","68","68","68"
"140000","15","15","15","69","69","69"
"142000","10","10","10","70","70","70"
"144000","9","9","9","71","71","71"
"146000","11","11","11","72","72","72"
"148000","11","11","11","73","73","73"
"150000","11","11","11","74","74","74"
"152000","10","10","10","75","75","75"
"154000","8","8","8","76","76","76"
"156000","4","4","4","77","77","77"
"158000","3","3","3","78","78","78"
"160000","13","13","13","79","79","79"
"162000","7","7","7","80","80","80"
"164000","11","11","11","81","81","81"
