"global_step","251213_useLessPoint - train/final_feat_cross","251213_useLessPoint - train/final_feat_cross__MIN","251213_useLessPoint - train/final_feat_cross__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"2000","2.0964150428771973","2.0964150428771973","2.0964150428771973","0","0","0"
"4000","2.0415446758270264","2.0415446758270264","2.0415446758270264","1","1","1"
"6000","2.120370626449585","2.120370626449585","2.120370626449585","2","2","2"
"8000","2.1361260414123535","2.1361260414123535","2.1361260414123535","3","3","3"
"10000","1.5338317155838013","1.5338317155838013","1.5338317155838013","4","4","4"
"12000","2.167351484298706","2.167351484298706","2.167351484298706","5","5","5"
"14000","2.149142265319824","2.149142265319824","2.149142265319824","6","6","6"
"16000","1.9020576477050781","1.9020576477050781","1.9020576477050781","7","7","7"
"18000","2.5400595664978027","2.5400595664978027","2.5400595664978027","8","8","8"
"20000","1.7526403665542603","1.7526403665542603","1.7526403665542603","9","9","9"
"22000","1.9736499786376953","1.9736499786376953","1.9736499786376953","10","10","10"
"24000","1.8524820804595947","1.8524820804595947","1.8524820804595947","11","11","11"
"26000","1.9966998100280762","1.9966998100280762","1.9966998100280762","12","12","12"
"28000","2.043173313140869","2.043173313140869","2.043173313140869","13","13","13"
"30000","2.098163604736328","2.098163604736328","2.098163604736328","14","14","14"
"32000","2.1761486530303955","2.1761486530303955","2.1761486530303955","15","15","15"
"34000","1.9381027221679688","1.9381027221679688","1.9381027221679688","16","16","16"
"36000","2.1356992721557617","2.1356992721557617","2.1356992721557617","17","17","17"
"38000","2.06999135017395","2.06999135017395","2.06999135017395","18","18","18"
"40000","1.9110075235366821","1.9110075235366821","1.9110075235366821","19","19","19"
"42000","2.130769968032837","2.130769968032837","2.130769968032837","20","20","20"
"44000","2.0110700130462646","2.0110700130462646","2.0110700130462646","21","21","21"
"46000","2.0917770862579346","2.0917770862579346","2.0917770862579346","22","22","22"
"48000","2.0019123554229736","2.0019123554229736","2.0019123554229736","23","23","23"
"50000","2.0039565563201904","2.0039565563201904","2.0039565563201904","24","24","24"
"52000","2.2338457107543945","2.2338457107543945","2.2338457107543945","25","25","25"
"54000","2.1748831272125244","2.1748831272125244","2.1748831272125244","26","26","26"
"56000","1.70194411277771","1.70194411277771","1.70194411277771","27","27","27"
"58000","2.0044116973876953","2.0044116973876953","2.0044116973876953","28","28","28"
"60000","2.237009048461914","2.237009048461914","2.237009048461914","29","29","29"
"62000","2.164870262145996","2.164870262145996","2.164870262145996","30","30","30"
"64000","1.9176223278045654","1.9176223278045654","1.9176223278045654","31","31","31"
"66000","2.0831141471862793","2.0831141471862793","2.0831141471862793","32","32","32"
"68000","1.8574352264404297","1.8574352264404297","1.8574352264404297","33","33","33"
"70000","1.9117811918258667","1.9117811918258667","1.9117811918258667","34","34","34"
"72000","1.2479135990142822","1.2479135990142822","1.2479135990142822","35","35","35"
"74000","2.009503126144409","2.009503126144409","2.009503126144409","36","36","36"
"76000","1.8851239681243896","1.8851239681243896","1.8851239681243896","37","37","37"
"78000","2.150710344314575","2.150710344314575","2.150710344314575","38","38","38"
"80000","1.850386381149292","1.850386381149292","1.850386381149292","39","39","39"
"82000","2.0304617881774902","2.0304617881774902","2.0304617881774902","40","40","40"
"84000","2.0690441131591797","2.0690441131591797","2.0690441131591797","41","41","41"
"86000","2.2436254024505615","2.2436254024505615","2.2436254024505615","42","42","42"
"88000","1.8350878953933716","1.8350878953933716","1.8350878953933716","43","43","43"
"90000","1.932773232460022","1.932773232460022","1.932773232460022","44","44","44"
"92000","1.7941994667053223","1.7941994667053223","1.7941994667053223","45","45","45"
"94000","1.9152783155441284","1.9152783155441284","1.9152783155441284","46","46","46"
"96000","1.5108128786087036","1.5108128786087036","1.5108128786087036","47","47","47"
"98000","2.247067451477051","2.247067451477051","2.247067451477051","48","48","48"
"100000","1.9632247686386108","1.9632247686386108","1.9632247686386108","49","49","49"
"102000","1.913615107536316","1.913615107536316","1.913615107536316","50","50","50"
"104000","2.0963351726531982","2.0963351726531982","2.0963351726531982","51","51","51"
"106000","2.1662840843200684","2.1662840843200684","2.1662840843200684","52","52","52"
"108000","2.0570383071899414","2.0570383071899414","2.0570383071899414","53","53","53"
"110000","2.0710089206695557","2.0710089206695557","2.0710089206695557","54","54","54"
"112000","1.9676237106323242","1.9676237106323242","1.9676237106323242","55","55","55"
"114000","2.0382041931152344","2.0382041931152344","2.0382041931152344","56","56","56"
