"global_step","251213_useLessPoint - train/final_episode_iou","251213_useLessPoint - train/final_episode_iou__MIN","251213_useLessPoint - train/final_episode_iou__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"2000","0.4218348264694214","0.4218348264694214","0.4218348264694214","0","0","0"
"4000","0.3280618488788605","0.3280618488788605","0.3280618488788605","1","1","1"
"6000","0.34757372736930847","0.34757372736930847","0.34757372736930847","2","2","2"
"8000","0.42371508479118347","0.42371508479118347","0.42371508479118347","3","3","3"
"10000","0.3359985947608948","0.3359985947608948","0.3359985947608948","4","4","4"
"12000","0.40935325622558594","0.40935325622558594","0.40935325622558594","5","5","5"
"14000","0.42038992047309875","0.42038992047309875","0.42038992047309875","6","6","6"
"16000","0.4385477602481842","0.4385477602481842","0.4385477602481842","7","7","7"
"18000","0.1488928496837616","0.1488928496837616","0.1488928496837616","8","8","8"
"20000","0.23362703621387482","0.23362703621387482","0.23362703621387482","9","9","9"
"22000","0.3423503041267395","0.3423503041267395","0.3423503041267395","10","10","10"
"24000","0.48197412490844727","0.48197412490844727","0.48197412490844727","11","11","11"
"26000","0.36426180601119995","0.36426180601119995","0.36426180601119995","12","12","12"
"28000","0.30951038002967834","0.30951038002967834","0.30951038002967834","13","13","13"
"30000","0.48179891705513","0.48179891705513","0.48179891705513","14","14","14"
"32000","0.22379367053508759","0.22379367053508759","0.22379367053508759","15","15","15"
"34000","0.42356276512145996","0.42356276512145996","0.42356276512145996","16","16","16"
"36000","0.28300532698631287","0.28300532698631287","0.28300532698631287","17","17","17"
"38000","0.4360918402671814","0.4360918402671814","0.4360918402671814","18","18","18"
"40000","0.29268836975097656","0.29268836975097656","0.29268836975097656","19","19","19"
"42000","0.35885727405548096","0.35885727405548096","0.35885727405548096","20","20","20"
"44000","0.3893812596797943","0.3893812596797943","0.3893812596797943","21","21","21"
"46000","0.2298482060432434","0.2298482060432434","0.2298482060432434","22","22","22"
"48000","0.36113402247428894","0.36113402247428894","0.36113402247428894","23","23","23"
"50000","0.3059314787387848","0.3059314787387848","0.3059314787387848","24","24","24"
"52000","0.25467735528945923","0.25467735528945923","0.25467735528945923","25","25","25"
"54000","0.3159358501434326","0.3159358501434326","0.3159358501434326","26","26","26"
"56000","0.3213949203491211","0.3213949203491211","0.3213949203491211","27","27","27"
"58000","0.4346849024295807","0.4346849024295807","0.4346849024295807","28","28","28"
"60000","0.20327068865299225","0.20327068865299225","0.20327068865299225","29","29","29"
"62000","0.45101189613342285","0.45101189613342285","0.45101189613342285","30","30","30"
"64000","0.36368510127067566","0.36368510127067566","0.36368510127067566","31","31","31"
"66000","0.24714739620685577","0.24714739620685577","0.24714739620685577","32","32","32"
"68000","0.22071333229541779","0.22071333229541779","0.22071333229541779","33","33","33"
"70000","0.4750174283981323","0.4750174283981323","0.4750174283981323","34","34","34"
"72000","0.21066145598888397","0.21066145598888397","0.21066145598888397","35","35","35"
"74000","0.30853915214538574","0.30853915214538574","0.30853915214538574","36","36","36"
"76000","0.5068907141685486","0.5068907141685486","0.5068907141685486","37","37","37"
"78000","0.25129300355911255","0.25129300355911255","0.25129300355911255","38","38","38"
"80000","0.1259477734565735","0.1259477734565735","0.1259477734565735","39","39","39"
"82000","0.27332913875579834","0.27332913875579834","0.27332913875579834","40","40","40"
"84000","0.13804881274700165","0.13804881274700165","0.13804881274700165","41","41","41"
"86000","0.1996556520462036","0.1996556520462036","0.1996556520462036","42","42","42"
"88000","0.4658052623271942","0.4658052623271942","0.4658052623271942","43","43","43"
"90000","0.3093625605106354","0.3093625605106354","0.3093625605106354","44","44","44"
"92000","0.22502870857715607","0.22502870857715607","0.22502870857715607","45","45","45"
"94000","0.18603351712226868","0.18603351712226868","0.18603351712226868","46","46","46"
"96000","0.35480883717536926","0.35480883717536926","0.35480883717536926","47","47","47"
"98000","0.3150117099285126","0.3150117099285126","0.3150117099285126","48","48","48"
"100000","0.10053987801074982","0.10053987801074982","0.10053987801074982","49","49","49"
"102000","0.17500293254852295","0.17500293254852295","0.17500293254852295","50","50","50"
"104000","0.29253578186035156","0.29253578186035156","0.29253578186035156","51","51","51"
"106000","0.3850127160549164","0.3850127160549164","0.3850127160549164","52","52","52"
"108000","0.282920777797699","0.282920777797699","0.282920777797699","53","53","53"
"110000","0.35183316469192505","0.35183316469192505","0.35183316469192505","54","54","54"
"112000","0.3857607841491699","0.3857607841491699","0.3857607841491699","55","55","55"
"114000","0.3124474287033081","0.3124474287033081","0.3124474287033081","56","56","56"
"116000","0.5018856525421143","0.5018856525421143","0.5018856525421143","57","57","57"
"118000","0.6174788475036621","0.6174788475036621","0.6174788475036621","58","58","58"
"120000","0.29514145851135254","0.29514145851135254","0.29514145851135254","59","59","59"
"122000","0.41190865635871887","0.41190865635871887","0.41190865635871887","60","60","60"
"124000","0.3476297855377197","0.3476297855377197","0.3476297855377197","61","61","61"
"126000","0.36608222126960754","0.36608222126960754","0.36608222126960754","62","62","62"
"128000","0.3330157995223999","0.3330157995223999","0.3330157995223999","63","63","63"
"130000","0.2487732619047165","0.2487732619047165","0.2487732619047165","64","64","64"
"132000","0.2532789707183838","0.2532789707183838","0.2532789707183838","65","65","65"
"134000","0.39841344952583313","0.39841344952583313","0.39841344952583313","66","66","66"
"136000","0.28025415539741516","0.28025415539741516","0.28025415539741516","67","67","67"
"138000","0.08972691744565964","0.08972691744565964","0.08972691744565964","68","68","68"
"140000","0.3526211380958557","0.3526211380958557","0.3526211380958557","69","69","69"
"142000","0.48571884632110596","0.48571884632110596","0.48571884632110596","70","70","70"
"144000","0.3517022430896759","0.3517022430896759","0.3517022430896759","71","71","71"
"146000","0.3970993757247925","0.3970993757247925","0.3970993757247925","72","72","72"
"148000","0.3189071714878082","0.3189071714878082","0.3189071714878082","73","73","73"
"150000","0.3521600365638733","0.3521600365638733","0.3521600365638733","74","74","74"
"152000","0.2741589844226837","0.2741589844226837","0.2741589844226837","75","75","75"
"154000","0.32318177819252014","0.32318177819252014","0.32318177819252014","76","76","76"
"156000","0.22357308864593506","0.22357308864593506","0.22357308864593506","77","77","77"
"158000","0.3177962601184845","0.3177962601184845","0.3177962601184845","78","78","78"
"160000","0.23244105279445648","0.23244105279445648","0.23244105279445648","79","79","79"
"162000","0.26667410135269165","0.26667410135269165","0.26667410135269165","80","80","80"
"164000","0.4244668185710907","0.4244668185710907","0.4244668185710907","81","81","81"
"166000","0.39663228392601013","0.39663228392601013","0.39663228392601013","82","82","82"
"168000","0.4322088360786438","0.4322088360786438","0.4322088360786438","83","83","83"
"170000","0.49518513679504395","0.49518513679504395","0.49518513679504395","84","84","84"
"172000","0.42203640937805176","0.42203640937805176","0.42203640937805176","85","85","85"
"174000","0.35313764214515686","0.35313764214515686","0.35313764214515686","86","86","86"
"176000","0.4770042300224304","0.4770042300224304","0.4770042300224304","87","87","87"
"178000","0.4432816207408905","0.4432816207408905","0.4432816207408905","88","88","88"
"180000","0.3581574261188507","0.3581574261188507","0.3581574261188507","89","89","89"
"182000","0.3525511622428894","0.3525511622428894","0.3525511622428894","90","90","90"
"184000","0.38087478280067444","0.38087478280067444","0.38087478280067444","91","91","91"
"186000","0.452055960893631","0.452055960893631","0.452055960893631","92","92","92"
"188000","0.37328043580055237","0.37328043580055237","0.37328043580055237","93","93","93"
"190000","0.32314738631248474","0.32314738631248474","0.32314738631248474","94","94","94"
"192000","0.10271183401346207","0.10271183401346207","0.10271183401346207","95","95","95"
"194000","0.3319624960422516","0.3319624960422516","0.3319624960422516","96","96","96"
"196000","0.23607736825942993","0.23607736825942993","0.23607736825942993","97","97","97"
"198000","0.1123117208480835","0.1123117208480835","0.1123117208480835","98","98","98"
"200000","0.3200114965438843","0.3200114965438843","0.3200114965438843","99","99","99"
"202000","0.2183782160282135","0.2183782160282135","0.2183782160282135","100","100","100"
"204000","0.33374112844467163","0.33374112844467163","0.33374112844467163","101","101","101"
"206000","0.42153847217559814","0.42153847217559814","0.42153847217559814","102","102","102"
"208000","0.22401964664459229","0.22401964664459229","0.22401964664459229","103","103","103"
"210000","0.4001784026622772","0.4001784026622772","0.4001784026622772","104","104","104"
"212000","0.3992759883403778","0.3992759883403778","0.3992759883403778","105","105","105"
"214000","0.28531983494758606","0.28531983494758606","0.28531983494758606","106","106","106"
"216000","0.3433469831943512","0.3433469831943512","0.3433469831943512","107","107","107"
"218000","0.3448164463043213","0.3448164463043213","0.3448164463043213","108","108","108"
"220000","0.3846747875213623","0.3846747875213623","0.3846747875213623","109","109","109"
"222000","0.3449525535106659","0.3449525535106659","0.3449525535106659","110","110","110"
"224000","0.2674886882305145","0.2674886882305145","0.2674886882305145","111","111","111"
"226000","0.25428083539009094","0.25428083539009094","0.25428083539009094","112","112","112"
"228000","0.17975766956806183","0.17975766956806183","0.17975766956806183","113","113","113"
"230000","0.14958329498767853","0.14958329498767853","0.14958329498767853","114","114","114"
"232000","0.43941542506217957","0.43941542506217957","0.43941542506217957","115","115","115"
"234000","0.46982479095458984","0.46982479095458984","0.46982479095458984","116","116","116"
"236000","0.42077264189720154","0.42077264189720154","0.42077264189720154","117","117","117"
"238000","0.2334471046924591","0.2334471046924591","0.2334471046924591","118","118","118"
"240000","0.13876758515834808","0.13876758515834808","0.13876758515834808","119","119","119"
"242000","0.35659047961235046","0.35659047961235046","0.35659047961235046","120","120","120"
"244000","0.4338448643684387","0.4338448643684387","0.4338448643684387","121","121","121"
"246000","0.3369709849357605","0.3369709849357605","0.3369709849357605","122","122","122"
"248000","0.3480161726474762","0.3480161726474762","0.3480161726474762","123","123","123"
"250000","0.2308337539434433","0.2308337539434433","0.2308337539434433","124","124","124"
"252000","0.2704842984676361","0.2704842984676361","0.2704842984676361","125","125","125"
"254000","0.48340800404548645","0.48340800404548645","0.48340800404548645","126","126","126"
"256000","0.34825417399406433","0.34825417399406433","0.34825417399406433","127","127","127"
