"global_step","251213_useLessPoint - train/explained_variance","251213_useLessPoint - train/explained_variance__MIN","251213_useLessPoint - train/explained_variance__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"4000","0.00270158052444458","0.00270158052444458","0.00270158052444458","1","1","1"
"6000","0.04982590675354004","0.04982590675354004","0.04982590675354004","2","2","2"
"8000","0.024699747562408447","0.024699747562408447","0.024699747562408447","3","3","3"
"10000","-0.3685481548309326","-0.3685481548309326","-0.3685481548309326","4","4","4"
"12000","0.07940787076950073","0.07940787076950073","0.07940787076950073","5","5","5"
"14000","0.10800343751907349","0.10800343751907349","0.10800343751907349","6","6","6"
"16000","0.23020672798156738","0.23020672798156738","0.23020672798156738","7","7","7"
"18000","0.2044692039489746","0.2044692039489746","0.2044692039489746","8","8","8"
"20000","-0.053133487701416016","-0.053133487701416016","-0.053133487701416016","9","9","9"
"22000","0.16293829679489136","0.16293829679489136","0.16293829679489136","10","10","10"
"24000","0.20847278833389282","0.20847278833389282","0.20847278833389282","11","11","11"
"26000","0.06545150279998779","0.06545150279998779","0.06545150279998779","12","12","12"
"28000","0.03236651420593262","0.03236651420593262","0.03236651420593262","13","13","13"
"30000","0.17333221435546875","0.17333221435546875","0.17333221435546875","14","14","14"
"32000","0.15075373649597168","0.15075373649597168","0.15075373649597168","15","15","15"
"34000","0.12627649307250977","0.12627649307250977","0.12627649307250977","16","16","16"
"36000","0.018700063228607178","0.018700063228607178","0.018700063228607178","17","17","17"
"38000","-0.018671274185180664","-0.018671274185180664","-0.018671274185180664","18","18","18"
"40000","0.05208200216293335","0.05208200216293335","0.05208200216293335","19","19","19"
"42000","0.14035916328430176","0.14035916328430176","0.14035916328430176","20","20","20"
"44000","-0.22775447368621826","-0.22775447368621826","-0.22775447368621826","21","21","21"
"46000","0.19649702310562134","0.19649702310562134","0.19649702310562134","22","22","22"
"48000","0.24576562643051147","0.24576562643051147","0.24576562643051147","23","23","23"
