"global_step","251213_useLessPoint - train/entropy_loss","251213_useLessPoint - train/entropy_loss__MIN","251213_useLessPoint - train/entropy_loss__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"4000","-1.371035099029541","-1.371035099029541","-1.371035099029541","1","1","1"
"6000","-1.3813855648040771","-1.3813855648040771","-1.3813855648040771","2","2","2"
"8000","-1.3666008710861206","-1.3666008710861206","-1.3666008710861206","3","3","3"
"10000","-1.368464708328247","-1.368464708328247","-1.368464708328247","4","4","4"
"12000","-1.3631956577301025","-1.3631956577301025","-1.3631956577301025","5","5","5"
"14000","-1.371225357055664","-1.371225357055664","-1.371225357055664","6","6","6"
"16000","-1.3548917770385742","-1.3548917770385742","-1.3548917770385742","7","7","7"
"18000","-1.3590813875198364","-1.3590813875198364","-1.3590813875198364","8","8","8"
"20000","-1.3605506420135498","-1.3605506420135498","-1.3605506420135498","9","9","9"
"22000","-1.3600561618804932","-1.3600561618804932","-1.3600561618804932","10","10","10"
"24000","-1.360474944114685","-1.360474944114685","-1.360474944114685","11","11","11"
"26000","-1.3545560836791992","-1.3545560836791992","-1.3545560836791992","12","12","12"
"28000","-1.3451005220413208","-1.3451005220413208","-1.3451005220413208","13","13","13"
"30000","-1.2999763488769531","-1.2999763488769531","-1.2999763488769531","14","14","14"
"32000","-1.3233412504196167","-1.3233412504196167","-1.3233412504196167","15","15","15"
"34000","-1.3147457838058472","-1.3147457838058472","-1.3147457838058472","16","16","16"
"36000","-1.3135380744934082","-1.3135380744934082","-1.3135380744934082","17","17","17"
"38000","-1.3009374141693115","-1.3009374141693115","-1.3009374141693115","18","18","18"
"40000","-1.255937099456787","-1.255937099456787","-1.255937099456787","19","19","19"
"42000","-1.2866904735565186","-1.2866904735565186","-1.2866904735565186","20","20","20"
"44000","-1.210999846458435","-1.210999846458435","-1.210999846458435","21","21","21"
"46000","-1.2230274677276611","-1.2230274677276611","-1.2230274677276611","22","22","22"
"48000","-1.270761251449585","-1.270761251449585","-1.270761251449585","23","23","23"
"50000","-1.163074254989624","-1.163074254989624","-1.163074254989624","24","24","24"
"52000","-1.1536728143692017","-1.1536728143692017","-1.1536728143692017","25","25","25"
"54000","-1.1628773212432861","-1.1628773212432861","-1.1628773212432861","26","26","26"
"56000","-1.193320631980896","-1.193320631980896","-1.193320631980896","27","27","27"
"58000","-1.262856364250183","-1.262856364250183","-1.262856364250183","28","28","28"
"60000","-1.2143877744674683","-1.2143877744674683","-1.2143877744674683","29","29","29"
"62000","-1.205323338508606","-1.205323338508606","-1.205323338508606","30","30","30"
"64000","-1.2063580751419067","-1.2063580751419067","-1.2063580751419067","31","31","31"
"66000","-1.1246147155761719","-1.1246147155761719","-1.1246147155761719","32","32","32"
"68000","-1.2832772731781006","-1.2832772731781006","-1.2832772731781006","33","33","33"
"70000","-1.2586790323257446","-1.2586790323257446","-1.2586790323257446","34","34","34"
"72000","-1.066973090171814","-1.066973090171814","-1.066973090171814","35","35","35"
"74000","-1.2106667757034302","-1.2106667757034302","-1.2106667757034302","36","36","36"
"76000","-1.1940828561782837","-1.1940828561782837","-1.1940828561782837","37","37","37"
"78000","-1.1273311376571655","-1.1273311376571655","-1.1273311376571655","38","38","38"
"80000","-1.1540788412094116","-1.1540788412094116","-1.1540788412094116","39","39","39"
"82000","-1.2060118913650513","-1.2060118913650513","-1.2060118913650513","40","40","40"
"84000","-1.1436105966567993","-1.1436105966567993","-1.1436105966567993","41","41","41"
