"global_step","251213_useLessPoint - train/clip_fraction","251213_useLessPoint - train/clip_fraction__MIN","251213_useLessPoint - train/clip_fraction__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"4000","0.21220000088214874","0.21220000088214874","0.21220000088214874","1","1","1"
"6000","0.1508999913930893","0.1508999913930893","0.1508999913930893","2","2","2"
"8000","0.07069999724626541","0.07069999724626541","0.07069999724626541","3","3","3"
"10000","0.04699999839067459","0.04699999839067459","0.04699999839067459","4","4","4"
"12000","0.20960000157356262","0.20960000157356262","0.20960000157356262","5","5","5"
"14000","0.03590000048279762","0.03590000048279762","0.03590000048279762","6","6","6"
"16000","0.04879999905824661","0.04879999905824661","0.04879999905824661","7","7","7"
"18000","0.07649999856948853","0.07649999856948853","0.07649999856948853","8","8","8"
"20000","0.03869999945163727","0.03869999945163727","0.03869999945163727","9","9","9"
"22000","0.08549999445676804","0.08549999445676804","0.08549999445676804","10","10","10"
"24000","0.11289999634027481","0.11289999634027481","0.11289999634027481","11","11","11"
"26000","0.10839999467134476","0.10839999467134476","0.10839999467134476","12","12","12"
"28000","0.12559999525547028","0.12559999525547028","0.12559999525547028","13","13","13"
"30000","0.1143999993801117","0.1143999993801117","0.1143999993801117","14","14","14"
"32000","0.22419999539852142","0.22419999539852142","0.22419999539852142","15","15","15"
"34000","0.07249999791383743","0.07249999791383743","0.07249999791383743","16","16","16"
"36000","0.046699997037649155","0.046699997037649155","0.046699997037649155","17","17","17"
"38000","0.11889999359846115","0.11889999359846115","0.11889999359846115","18","18","18"
"40000","0.09549999982118607","0.09549999982118607","0.09549999982118607","19","19","19"
"42000","0.13349999487400055","0.13349999487400055","0.13349999487400055","20","20","20"
"44000","0.09079999476671219","0.09079999476671219","0.09079999476671219","21","21","21"
"46000","0.17489999532699585","0.17489999532699585","0.17489999532699585","22","22","22"
"48000","0.06669999659061432","0.06669999659061432","0.06669999659061432","23","23","23"
"50000","0.06589999794960022","0.06589999794960022","0.06589999794960022","24","24","24"
"52000","0.1136000007390976","0.1136000007390976","0.1136000007390976","25","25","25"
"54000","0.23929999768733978","0.23929999768733978","0.23929999768733978","26","26","26"
"56000","0.09059999883174896","0.09059999883174896","0.09059999883174896","27","27","27"
"58000","0.12880000472068787","0.12880000472068787","0.12880000472068787","28","28","28"
"60000","0.0925000011920929","0.0925000011920929","0.0925000011920929","29","29","29"
"62000","0.10009999573230743","0.10009999573230743","0.10009999573230743","30","30","30"
"64000","0.08829999715089798","0.08829999715089798","0.08829999715089798","31","31","31"
"66000","0.1168999969959259","0.1168999969959259","0.1168999969959259","32","32","32"
"68000","0.22679999470710754","0.22679999470710754","0.22679999470710754","33","33","33"
"70000","0.1193000003695488","0.1193000003695488","0.1193000003695488","34","34","34"
"72000","0.1720999926328659","0.1720999926328659","0.1720999926328659","35","35","35"
"74000","0.08949999511241913","0.08949999511241913","0.08949999511241913","36","36","36"
"76000","0.1453000009059906","0.1453000009059906","0.1453000009059906","37","37","37"
"78000","0.07689999788999557","0.07689999788999557","0.07689999788999557","38","38","38"
"80000","0.11499999463558197","0.11499999463558197","0.11499999463558197","39","39","39"
"82000","0.12099999934434891","0.12099999934434891","0.12099999934434891","40","40","40"
"84000","0.21069999039173126","0.21069999039173126","0.21069999039173126","41","41","41"
"86000","0.16349999606609344","0.16349999606609344","0.16349999606609344","42","42","42"
"88000","0.1224999949336052","0.1224999949336052","0.1224999949336052","43","43","43"
"90000","0.20149999856948853","0.20149999856948853","0.20149999856948853","44","44","44"
"92000","0.06669999659061432","0.06669999659061432","0.06669999659061432","45","45","45"
"94000","0.12370000034570694","0.12370000034570694","0.12370000034570694","46","46","46"
"96000","0.2158999890089035","0.2158999890089035","0.2158999890089035","47","47","47"
"98000","0.08720000088214874","0.08720000088214874","0.08720000088214874","48","48","48"
"100000","0.12319999933242798","0.12319999933242798","0.12319999933242798","49","49","49"
"102000","0.17109999060630798","0.17109999060630798","0.17109999060630798","50","50","50"
"104000","0.0738999992609024","0.0738999992609024","0.0738999992609024","51","51","51"
"106000","0.10339999943971634","0.10339999943971634","0.10339999943971634","52","52","52"
"108000","0.12469999492168427","0.12469999492168427","0.12469999492168427","53","53","53"
"110000","0.11859999597072601","0.11859999597072601","0.11859999597072601","54","54","54"
"112000","0.12549999356269836","0.12549999356269836","0.12549999356269836","55","55","55"
"114000","0.13199999928474426","0.13199999928474426","0.13199999928474426","56","56","56"
"116000","0.26319998502731323","0.26319998502731323","0.26319998502731323","57","57","57"
"118000","0.14379999041557312","0.14379999041557312","0.14379999041557312","58","58","58"
"120000","0.19679999351501465","0.19679999351501465","0.19679999351501465","59","59","59"
"122000","0.18629999458789825","0.18629999458789825","0.18629999458789825","60","60","60"
"124000","0.06749999523162842","0.06749999523162842","0.06749999523162842","61","61","61"
"126000","0.16839998960494995","0.16839998960494995","0.16839998960494995","62","62","62"
"128000","0.11369999498128891","0.11369999498128891","0.11369999498128891","63","63","63"
"130000","0.13570000231266022","0.13570000231266022","0.13570000231266022","64","64","64"
"132000","0.18940000236034393","0.18940000236034393","0.18940000236034393","65","65","65"
"134000","0.14989998936653137","0.14989998936653137","0.14989998936653137","66","66","66"
"136000","0.1574999988079071","0.1574999988079071","0.1574999988079071","67","67","67"
"138000","0.14409999549388885","0.14409999549388885","0.14409999549388885","68","68","68"
"140000","0.1314999908208847","0.1314999908208847","0.1314999908208847","69","69","69"
"142000","0.14469999074935913","0.14469999074935913","0.14469999074935913","70","70","70"
"144000","0.11829999834299088","0.11829999834299088","0.11829999834299088","71","71","71"
"146000","0.1712999939918518","0.1712999939918518","0.1712999939918518","72","72","72"
"148000","0.1598999947309494","0.1598999947309494","0.1598999947309494","73","73","73"
"150000","0.17749999463558197","0.17749999463558197","0.17749999463558197","74","74","74"
"152000","0.1224999949336052","0.1224999949336052","0.1224999949336052","75","75","75"
"154000","0.20969998836517334","0.20969998836517334","0.20969998836517334","76","76","76"
"156000","0.1550000011920929","0.1550000011920929","0.1550000011920929","77","77","77"
"158000","0.23109999299049377","0.23109999299049377","0.23109999299049377","78","78","78"
"160000","0.31139999628067017","0.31139999628067017","0.31139999628067017","79","79","79"
"162000","0.13210000097751617","0.13210000097751617","0.13210000097751617","80","80","80"
"164000","0.17520000040531158","0.17520000040531158","0.17520000040531158","81","81","81"
"166000","0.2336999922990799","0.2336999922990799","0.2336999922990799","82","82","82"
"168000","0.18209999799728394","0.18209999799728394","0.18209999799728394","83","83","83"
"170000","0.1410999894142151","0.1410999894142151","0.1410999894142151","84","84","84"
"172000","0.1607999950647354","0.1607999950647354","0.1607999950647354","85","85","85"
"174000","0.14319999516010284","0.14319999516010284","0.14319999516010284","86","86","86"
"176000","0.10009999573230743","0.10009999573230743","0.10009999573230743","87","87","87"
"178000","0.0803999975323677","0.0803999975323677","0.0803999975323677","88","88","88"
"180000","0.16609999537467957","0.16609999537467957","0.16609999537467957","89","89","89"
"182000","0.17949999868869781","0.17949999868869781","0.17949999868869781","90","90","90"
"184000","0.17989999055862427","0.17989999055862427","0.17989999055862427","91","91","91"
"186000","0.11490000039339066","0.11490000039339066","0.11490000039339066","92","92","92"
"188000","0.10740000009536743","0.10740000009536743","0.10740000009536743","93","93","93"
"190000","0.21089999377727509","0.21089999377727509","0.21089999377727509","94","94","94"
"192000","0.1525999903678894","0.1525999903678894","0.1525999903678894","95","95","95"
"194000","0.1468999981880188","0.1468999981880188","0.1468999981880188","96","96","96"
