"global_step","251213_useLessPoint - train/approx_kl","251213_useLessPoint - train/approx_kl__MIN","251213_useLessPoint - train/approx_kl__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"4000","0.018187955021858215","0.018187955021858215","0.018187955021858215","1","1","1"
"6000","0.009395022876560688","0.009395022876560688","0.009395022876560688","2","2","2"
"8000","0.011773045174777508","0.011773045174777508","0.011773045174777508","3","3","3"
"10000","0.011472070589661598","0.011472070589661598","0.011472070589661598","4","4","4"
"12000","0.01616571471095085","0.01616571471095085","0.01616571471095085","5","5","5"
"14000","0.005826806183904409","0.005826806183904409","0.005826806183904409","6","6","6"
"16000","0.006068388931453228","0.006068388931453228","0.006068388931453228","7","7","7"
"18000","0.011080958880484104","0.011080958880484104","0.011080958880484104","8","8","8"
"20000","0.008398939855396748","0.008398939855396748","0.008398939855396748","9","9","9"
"22000","0.011822458356618881","0.011822458356618881","0.011822458356618881","10","10","10"
"24000","0.008141204714775085","0.008141204714775085","0.008141204714775085","11","11","11"
"26000","0.011294535361230373","0.011294535361230373","0.011294535361230373","12","12","12"
"28000","0.012301938608288765","0.012301938608288765","0.012301938608288765","13","13","13"
"30000","0.010268175974488258","0.010268175974488258","0.010268175974488258","14","14","14"
"32000","0.012721617706120014","0.012721617706120014","0.012721617706120014","15","15","15"
"34000","0.008769012056291103","0.008769012056291103","0.008769012056291103","16","16","16"
"36000","0.008556087501347065","0.008556087501347065","0.008556087501347065","17","17","17"
"38000","0.011320790275931358","0.011320790275931358","0.011320790275931358","18","18","18"
"40000","0.008314830251038074","0.008314830251038074","0.008314830251038074","19","19","19"
"42000","0.01102299802005291","0.01102299802005291","0.01102299802005291","20","20","20"
"44000","0.01277496200054884","0.01277496200054884","0.01277496200054884","21","21","21"
"46000","0.015982285141944885","0.015982285141944885","0.015982285141944885","22","22","22"
"48000","0.009232432581484318","0.009232432581484318","0.009232432581484318","23","23","23"
"50000","0.010101593099534512","0.010101593099534512","0.010101593099534512","24","24","24"
"52000","0.011117648333311081","0.011117648333311081","0.011117648333311081","25","25","25"
"54000","0.013699050061404705","0.013699050061404705","0.013699050061404705","26","26","26"
"56000","0.009235132485628128","0.009235132485628128","0.009235132485628128","27","27","27"
